,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF AVEC ÉTIQUETTE,88,"COLLI DI SUSO, ITALIA",SHEIN ,4XL / 48 / 20,2022-05-12 12:25:36.295300,Maglietta,12.0,"Maglietta nuova con spalline particolare di pizzo molto bella 
Ordinata su shein"
1,NEUF SANS ÉTIQUETTE,116,"SAINT-LOUIS, FRANCE",SHEIN ,XXXL / 46 / 18,2022-05-09 17:25:36.295321,T-shirt fleuri,5.0,"Porté très rarement, manche ouverte. Très agréable à porter. 3XL correspond à un 50."
2,TRÈS BON ÉTAT,75,BELGIQUE / BELGIË,SHEIN ,M / 38 / 10,2022-05-12 17:25:36.295325,T-shirt oversize,5.0,"T-shirt en très bon état porté quelques fois, taille bien 
Taille M mais pourrait correspondre à un L/XL"
3,TRÈS BON ÉTAT,254,"SAINT-GILLES, FRANCE",SHEIN ,XL / 42 / 14,2022-05-05 17:25:36.295328,Lot de 3 t-shirt Shein,15.0,"Taille XL et L ni petit ni trop grand

Hello 🌸🌺💮

Le t-shirt avec la rose à une tâche 

Pour toute information complémentaire veuillez me contacter :) 

Ah bientôt"
4,BON ÉTAT,58,"SAINT-ROMAIN-DE-COLBOSC, FRANCE",SHEIN ,XS / 34 / 6,2022-05-08 17:25:36.295331,Tee shirt blanc avec dentelle,2.0,"Vends tee shirt blanc avec dentelle 
Bon état marque shein"
5,TRÈS BON ÉTAT,57,NEDERLAND,SHEIN ,M / 38 / 10,2022-05-05 17:25:36.295333,SHEIN shirt maat s,1.5,vrolijk shirtje maat m van SHEIN
6,NEUF AVEC ÉTIQUETTE,132,ITALIA,SHEIN ,XS / 34 / 6,2022-05-08 17:25:36.295336,Maglia corta,4.0,Nuova!
7,TRÈS BON ÉTAT,19,"MESSINA, ITALIA",SHEIN ,S,2022-05-12 10:25:36.295338,T-Shirt Shein S,2.0,Indossata 1 volta
8,NEUF SANS ÉTIQUETTE,42,"APELDOORN, NEDERLAND",SHEIN ,4XL / 48 / 20,2022-05-12 17:25:36.295341,Nasa shirt,9.0,"Leuk shirt
Shein
Maat 4XL"
9,NEUF SANS ÉTIQUETTE,35,"APELDOORN, NEDERLAND",SHEIN ,XXXL / 46 / 18,2022-05-12 17:25:36.295343,Shirt,6.5,"Leuk shirt met v hals
Shein curve
Maat 3xl
Kort model 
Nieuw"
10,TRÈS BON ÉTAT,13,"APELDOORN, NEDERLAND",SHEIN ,5XL / 50 / 22,2022-05-12 17:25:36.295346,Shirt,8.0,"Maat 4xl
Shein
1x gedragen
Ananas"
11,BON ÉTAT,320,"APELDOORN, NEDERLAND",M&S MODE ,5XL / 50 / 22,2022-05-12 17:25:36.295348,Leuke jurk,6.0,"Msmode
Maat xxl
Pluist iets"
12,TRÈS BON ÉTAT,306,"APELDOORN, NEDERLAND",CANDA ,4XL / 48 / 20,2022-05-12 17:25:36.295350,Dunne trui,5.0,"Canda
Maat L 
Valt iets groter
Pluist iets"
13,TRÈS BON ÉTAT,18,"MESSINA, ITALIA",SHEIN ,S,2022-05-12 10:25:36.295353,T-Shirt Shein S,2.0,Indossata 1 volta
14,NEUF SANS ÉTIQUETTE,156,FRANCE,SHEIN ,XL / 42 / 14,2022-05-12 17:25:36.295355,t shirt écriture dans le dos,15.0,"jamais porté
oversize 






































y2k vintage vintageluxe luxe luxury skate brand fashion mode streetwearvintage 90s 80s 70s large tie and dye aesthetic outfit casual cute fourrure zip serpent léopard homme femme straight puffer skinny large wide boyfriend unisexe crop top hoodie vintzgehypebeast streetwear street streetstyle baggy evasé noir blanc rosé jaune vert orange bleu rouge gris violet beige turquoise marron clair foncé denim soie laine coton serré ample satin yesstyle goth varsity hip hop los angeles new york california tendance"
15,NEUF AVEC ÉTIQUETTE,7,FRANCE,SHEIN ,M,2022-05-12 10:25:36.295358,T-shirt shein homme,4.0,"Taille M 
Neuf"
16,NEUF SANS ÉTIQUETTE,36,"LAGOS, PORTUGAL",SHEIN ,M / 38 / 10,2022-05-09 17:25:36.295360,T-shirt,4.0,Nunca usado
17,TRÈS BON ÉTAT,35,"ROUBAIX, FRANCE",SHEIN ,XXL / 44 / 16,2022-05-12 14:25:36.295363,T-shirt jaune shein Xxl,2.0,Très bon état
