,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF SANS ÉTIQUETTE,5,"VILLEURBANNE, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 14:19:21.177414,T-shirt été,2.0,T-shirt été
1,NEUF SANS ÉTIQUETTE,19,"HYÈRES, FRANCE",MISSGUIDED ,XS,2022-05-12 18:19:21.177450,T-shirt missguided,2.0,jamais porté
2,BON ÉTAT,6,"BERGEN OP ZOOM, NEDERLAND",MISSGUIDED ,XS / 34 / 6,2022-05-12 15:19:21.177455,Playboy polo/body,15.0,paar x gedragen. Prijs is bespreekbaar
3,TRÈS BON ÉTAT,13,"CHIVA, ESPAÑA",MISSGUIDED ,S,2022-05-11 21:19:21.177458,Camiseta Playboy,20.0,Playboy MISSGUIDED. Puesta de una vez para una foto. Es camiseta vestido. Con botas queda brutal. Talla S/M pero queda oversize. Es ese estilo.
4,NEUF SANS ÉTIQUETTE,4,ESPAÑA,MISSGUIDED ,XS / 34 / 6,2022-05-12 14:19:21.177462,Top Deportivo,3.0,Nunca usado.
5,TRÈS BON ÉTAT,1,"ALLAUCH, FRANCE",MISSGUIDED ,S,2022-05-12 16:19:21.177464,T-shirt MissGuided,4.0,"T-shirt Missguided 
Très peu porte 
#missguided #missguidedtop"
6,TRÈS BON ÉTAT,4,"ARCHAMPS, FRANCE",MISSGUIDED ,L / 40 / 12,2022-05-12 10:19:21.177467,Crop top Barbie,4.0,Porté peu de fois
7,NEUF AVEC ÉTIQUETTE,20,"PARIS, FRANCE",MISSGUIDED ,XXL,2022-05-12 18:19:21.177470,T-shirt missguided,2.5,t-shirt neuf missguided coupe large
8,TRÈS BON ÉTAT,16,"RENAIX, BELGIQUE / BELGIË",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177472,Tee-shirt imprimé bandana,10.0,Tee-shirt imprimer bandana oversize taille 36
9,TRÈS BON ÉTAT,8,"RENAIX, BELGIQUE / BELGIË",MISSGUIDED ,S / 36 / 8,2022-05-07 18:19:21.177475,Tee-shirt Barbie,5.0,Tee-shirt Barbie taille 36
10,NEUF SANS ÉTIQUETTE,132,"RENAIX, BELGIQUE / BELGIË",,,2022-05-12 18:19:21.177477,Collier coeur,17.0,Chaînette a perles d'email blanches avec coeur acier inoxydable
11,TRÈS BON ÉTAT,21,"RENAIX, BELGIQUE / BELGIË",H&M ,S / 36 / 8,2022-05-07 18:19:21.177480,Caraco noir dentelle,3.0,Caraco noir avec dentelle au décolleté taille 36
12,NEUF SANS ÉTIQUETTE,29,"RENAIX, BELGIQUE / BELGIË",ZARA ,S / 36 / 8,2022-05-07 18:19:21.177482,Jolie body,6.0,Jolie body blanc et noir neuf taille 36
13,TRÈS BON ÉTAT,1,"ECKBOLSHEIM, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 10:19:21.177485,T-shirt Missguided,4.0,"Taille S 
Col rond 

(MM)"
14,TRÈS BON ÉTAT,5,FRANCE,MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177488,Tshirt Notorious B.I.G,4.0,"T shirt The Notorious B.I.G
Taille M
Pas de défaut comme neuf"
15,TRÈS BON ÉTAT,4,"LES ULIS, FRANCE",MISSGUIDED ,4XL / 48 / 20,2022-05-12 10:19:21.177491,Ensemble bleu ciel,20.0,Très confortable avec élastique à la taille.
16,TRÈS BON ÉTAT,10,"PARIS, FRANCE",MISSGUIDED ,XXS / 32 / 4,2022-04-29 18:19:21.177494,T shirt oversize Missguided effet délavé,3.0,jamais porté en très bon état
17,TRÈS BON ÉTAT,26,"AMSTERDAM, NEDERLAND",MISSGUIDED ,XS,2022-05-12 18:19:21.177496,Missguided oversized t-shirt,4.99,Barely worn
18,NEUF SANS ÉTIQUETTE,31,FRANCE,MISSGUIDED ,XXS / 32 / 4,2022-05-12 18:19:21.177498,T-shirt Barbie x MissGuided,5.0,"Jamais porté
Coupe large
Non repassé"
19,NEUF SANS ÉTIQUETTE,41,"MARSEILLE, FRANCE",PLAYBOY X MISSGUIDED ,S,2022-05-09 18:19:21.177501,Tee-shirt Playboy,20.0,"Neuf, 
Jamais porté, 
style mixte homme ou femme,
taille grand"
20,NEUF AVEC ÉTIQUETTE,40,"TOURS, FRANCE",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177503,T-shirt froncé noir Missguided,7.0,"T shirt noir, Ras du cou, Cotés froncés noués, Coupe slim
Inscription « Baby » sur le devant
Acheté sur ASOS
Taille 38"
21,NEUF SANS ÉTIQUETTE,6,"TALENCE, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177506,T-shirt motif vache,12.0,"Porté très peu de fois.
Il est assez épais."
22,NEUF SANS ÉTIQUETTE,19,"BASTIA, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177508,🦋 T-shirt fantaisie neuf « Missguided »,11.0,"🦋 T-shirt fantaisie neuf « Missguided »🦋
Taille S
Joli tissu 95 % viscose/5 % élasthane￼"
