,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF AVEC ÉTIQUETTE,13,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-05-12 15:29:20.706662,T shirt beige à slogan au dos PLT,8.0,"Jamais portée, juste lavée"
1,TRÈS BON ÉTAT,15,"SAINTE-GENEVIÈVE-DES-BOIS, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-05-12 08:29:20.706683,T-shirt plt,3.0,"Quelque fois porté
Très bon état 
Motif 
Matière très douce et légère"
2,TRÈS BON ÉTAT,78,"NANCY, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-05-06 17:29:20.706687,T-shirt orange fluo,5.0,"T-shirt orange fluo , manche longue, crop top. Taille bien et de bonne qualité"
3,NEUF AVEC ÉTIQUETTE,21,"JUZIERS, FRANCE",PRETTYLITTLETHING ,M / 38 / 10,2022-05-12 17:29:20.706690,Tshirt,7.0,"beige/rosé tshirt avec ficelle.
jamais porté"
4,BON ÉTAT,50,"NANTES, FRANCE",VINTAGE ,M / 38 / 10,2022-05-12 12:29:20.706693,Tee shirt jaune boutonné style camionneur,3.0,"Tee shirt jaune boutonné 
Pas de marque, style vintage
Pas de Taille mais il est loose, je dirais M ( a voir en fonction de ma photo portée )




zara bershka mango Levi’s prettylittlething nakd robe à pois robe à fleurs pantalon à pince robe d’été Jupe short cuire tailleur pull camionneur rayures mousseline soirée paillettes vintage jean taille haute mom pantalon droit jean wide leg évasé tendance combishort shein teeshirt débardeur veste cuire veste jean trench pantalon large simili cuir ikks converse maillot de bain robe patineuse robe moulante teeshirt moulant décolleté robe boutonnée robe chemise pull&bear short en tweed pied de poule carreaux motifs couleurs XS S M L XL enfant garçons bermuda sweat pull col roulé taille 32 taille 34 taille 36 taille 38 robe fille femmes vêtements femmes pantalon wide leg pantalon de tailleur ensemble tailleur combishort fleurs pois été crop top manteau jean droit jean taille haute Jean straight wide leg blanc haut corset"
5,TRÈS BON ÉTAT,57,"NANTES, FRANCE",VINTAGE ,M / 38 / 10,2022-05-12 13:29:20.706695,Petit teeshirt en maille côtelée,4.0,"Petit tee shirt bleu ciel, col rond, côtelé, assez fin.
Vintage !
Taille S/M





zara bershka mango Levi’s prettylittlething nakd robe à pois robe à fleurs pantalon à pince robe d’été Jupe short cuire tailleur pull camionneur rayures mousseline soirée paillettes vintage jean taille haute mom pantalon droit jean wide leg évasé tendance combishort shein teeshirt débardeur veste cuire veste jean trench pantalon large simili cuir ikks converse maillot de bain robe patineuse robe moulante teeshirt moulant décolleté robe boutonnée robe chemise pull&bear short en tweed pied de poule carreaux motifs couleurs XS S M L XL enfant garçons bermuda sweat pull col roulé taille 32 taille 34 taille 36 taille 38 robe fille femmes vêtements femmes pantalon wide leg pantalon de tailleur ensemble tailleur combishort fleurs pois été crop top manteau jean droit jean taille haute Jean straight wide leg blanc haut corset"
6,TRÈS BON ÉTAT,71,"RENNES, FRANCE",PRETTYLITTLETHING ,XS / 34 / 6,2022-05-12 00:29:20.706698,Haut blanc à manches longues PLT,4.0,"- très bon état
- un peu transparent mais ce n'est pas choquant
- taille petit
- envoie rapide par mondial relai
- plus d'infos en privé si besoin
#plt #prettylittlething #blanc #tshirtcolv #fashion #femme #coton"
7,NEUF SANS ÉTIQUETTE,43,FRANCE,PRETTYLITTLETHING ,XS,2022-04-30 17:29:20.706701,Top zébré,8.0,Jamais porté
8,TRÈS BON ÉTAT,268,"MINORI, ITALIA",DISNEY ,S / 36 / 8,2022-05-12 17:29:20.706704,T shirt Disney,8.0,T shirt disney Alice in Wonderland. indossata 1/2 volte come nuova.
9,TRÈS BON ÉTAT,127,"MINORI, ITALIA",ARENA ,S / 36 / 8,2022-05-12 17:29:20.706706,Top sportivo Arena,5.0,Top sportivo donna . taglia S . indossato 1 volta . come nuovo
10,NEUF AVEC ÉTIQUETTE,100,"MINORI, ITALIA",BERSHKA ,S / 36 / 8,2022-05-12 17:29:20.706708,T shirt Bershka,3.5,T shirt con scritta avanti . nuova con cartellino. veste anche una M🙂🙂
11,TRÈS BON ÉTAT,17,"MINORI, ITALIA",NEW SENSATION ,S / 36 / 8,2022-05-12 17:29:20.706710,Magliettina polo,3.0,Indossata 1 volta . come da foto .
12,NEUF AVEC ÉTIQUETTE,34,"MINORI, ITALIA",BERSHKA ,S / 36 / 8,2022-05-12 17:29:20.706713,T shirt Bershka,4.5,t shirt bershka collaborazione Disney con stampa di Aladdin e Jasmine . nuova con cartellino
13,NEUF SANS ÉTIQUETTE,1,FRANCE,PRETTYLITTLETHING ,L,2022-05-12 15:29:20.706715,Tee shirt blanc,7.0,Neuf jamais porté
14,SATISFAISANT,2,FRANCE,PRETTYLITTLETHING ,M,2022-05-12 13:29:20.706718,T-shirt prettylittlething beige,3.0,Poté une fois. Tache sur la manche
15,BON ÉTAT,8,"MARANGE-SILVANGE, FRANCE",PRETTYLITTLETHING ,XS,2022-04-27 17:29:20.706720,Haut pretty little thing,1.0,"vert 
kaki
34
xs"
16,TRÈS BON ÉTAT,17,"CERGY, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-05-11 22:29:20.706723,tee shirt oversize,5.0,rarement été porté est quasi neuf
17,TRÈS BON ÉTAT,7,"DRANCY, FRANCE",PRETTYLITTLETHING ,XXS / 32 / 4,2022-05-10 17:29:20.706726,Crop top plt,7.0,porté plusieurs fois
18,TRÈS BON ÉTAT,4,"DRANCY, FRANCE",PRETTYLITTLETHING ,XXS / 32 / 4,2022-05-10 17:29:20.706728,Crop top beige plt,7.0,jamais porté
19,NEUF AVEC ÉTIQUETTE,29,"BONDY, FRANCE",PRETTYLITTLETHING ,XXXL / 46 / 18,2022-04-26 17:29:20.706731,T-shirt PLT,5.0,jamais mis tendance
20,BON ÉTAT,33,"PARIS, FRANCE",PRETTYLITTLETHING ,M,2022-05-09 17:29:20.706733,T shirt pulp fiction troué,5.0,T shirt noir pulp fiction troué (exprès ce n’est pas moi qui l’ai déchiré) PLT
21,TRÈS BON ÉTAT,5,FRANCE,PRETTYLITTLETHING ,XXS / 32 / 4,2022-05-08 17:29:20.706736,Haut court,5.0,Porté quelques fois
22,TRÈS BON ÉTAT,4,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-05-12 13:29:20.706739,Crop top manches longues,4.0,"effet peau de serpent 
beige / marrons"
23,TRÈS BON ÉTAT,164,FRANCE,PRETTYLITTLETHING ,S / 36 / 8,2022-05-08 17:29:20.706741,T shirt mesh graphique style jpg,8.0,Manche transparente
24,BON ÉTAT,60,"TRAPPES, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-04-26 17:29:20.706744,T-shirt oversize,2.0,T-shirt manche courte oversize. L’écriture est légèrement abimée.
25,BON ÉTAT,2,"CHABANAIS, FRANCE",PRETTYLITTLETHING ,XS / 34 / 6,2022-05-12 13:29:20.706747,Teeshirt blanc,2.0,Taille correctement
26,NEUF SANS ÉTIQUETTE,3,FRANCE,PRETTYLITTLETHING ,XS / 34 / 6,2022-05-12 13:29:20.706749,Maillot femme,17.0,Vends maillot femme jamais mis top court manche mi bouffante jamais mis payer 30 euros
27,TRÈS BON ÉTAT,153,"BONDOUFLE, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-04-19 17:29:20.706752,Crop top rose pale,5.0,jamais porté
28,TRÈS BON ÉTAT,30,FRANCE,PRETTYLITTLETHING ,S / 36 / 8,2022-05-10 17:29:20.706754,Tshirt oversize,8.0,Très bon état
29,TRÈS BON ÉTAT,31,FRANCE,PRETTYLITTLETHING ,S / 36 / 8,2022-05-10 17:29:20.706757,Tshirt oversize,8.0,Très bon état
30,NEUF SANS ÉTIQUETTE,91,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-04-29 17:29:20.706759,Body de sport moulant sans coutures,5.0,"neuf 
taille M
matiere stretch qui s’adapte aux formes"
31,NEUF SANS ÉTIQUETTE,25,NEDERLAND,PRETTYLITTLETHING ,S / 36 / 8,2022-04-24 17:29:20.706762,Tshirt van PrettyLittleThing,7.5,"Maat S

#prettylittlething"
32,TRÈS BON ÉTAT,45,"JOUÉ-LÈS-TOURS, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-04-22 17:29:20.706764,Tee shirt,2.0,Porté quelques fois
