,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF AVEC ÉTIQUETTE,16,"MADRID, ESPAÑA",MANGO ,M,2022-05-12 00:53:54.800444,Camisa manga corta de verano hombre,25.0,Camisa muy fresca y elegante que irá genial este verano si necesitas medidas exactas déjamelo saber
1,TRÈS BON ÉTAT,1,"LE RHEU, FRANCE",MANGO ,XS,2022-05-12 18:16:54.800468,T shirt mango,2.0,Marinière mango
2,NEUF SANS ÉTIQUETTE,3,"NIJLEN, BELGIQUE / BELGIË",MANGO ,XS / 34 / 6,2022-05-12 15:53:54.800520,Gestreept T-shirt van Mango,8.0,"Aanpassend, rekstof
Niet gedragen"
3,NEUF AVEC ÉTIQUETTE,56,"UTRECHT, NEDERLAND",MANGO ,10 ANS / 134-140 CM,2022-05-10 18:53:54.800543,Bordeaux rode blouse,10.0,"Alleen gedragen voor de foto, maat 10 jaar valt normaal"
4,NEUF AVEC ÉTIQUETTE,5,FRANCE,MANGO ,S / 36 / 8,2022-05-12 18:53:54.800550,Teeshirt écru,20.0,Neuf sorti direct de l emballage
5,NEUF SANS ÉTIQUETTE,24,"BARRET, FRANCE",MANGO ,M / 38 / 10,2022-04-27 18:53:54.800554,Tee shirt mango,8.0,Vends tee shirt mango jamais porte bon état tissu agréable à porter
6,NEUF SANS ÉTIQUETTE,2,"LAGORD, FRANCE",MANGO ,XS,2022-05-12 12:53:54.800558,Tee shirt noir Mango T xs,3.0,Tee shirt noir Mango T XS
7,TRÈS BON ÉTAT,37,FRANCE,MANGO ,S / 36 / 8,2022-05-10 18:53:54.800561,T shirt à motif,7.0,"porté peu, taille correctement couleur gris/noir"
8,TRÈS BON ÉTAT,85,"L’AIGUILLON-SUR-VIE, FRANCE",MANGO ,S / 36 / 8,2022-05-12 18:53:54.800564,top paillettes,12.0,"Petit top à paillettes 

#paillettes #tshirt #top"
9,TRÈS BON ÉTAT,29,"L’AIGUILLON-SUR-VIE, FRANCE",MANGO ,S / 36 / 8,2022-05-12 18:53:54.800566,top sequin,11.0,"Petit top mango idéal pour les fêtes

#mango #paillettes #strass"
10,TRÈS BON ÉTAT,13,"L’AIGUILLON-SUR-VIE, FRANCE",MANGO ,S / 36 / 8,2022-05-12 18:53:54.800569,top paillettes,9.0,"petit t-shirt mango paillettes 

#paillettes #top #tshirt #mango"
11,NEUF SANS ÉTIQUETTE,120,"L’AIGUILLON-SUR-VIE, FRANCE",ZARA ,S / 36 / 8,2022-05-05 18:53:54.800571,top popeline,14.0,"joli top popeline, acheté en boutique parisienne, ressemble top zara 

#été #zara #pop"
12,TRÈS BON ÉTAT,1999,"L’AIGUILLON-SUR-VIE, FRANCE",PIMKIE ,S / 36 / 8,2022-05-12 18:53:54.800574,Blazer bleu,18.0,"Jolie blazer bleu en superbe état 

#blazer #femme #pimkie #tendance #chic"
13,NEUF AVEC ÉTIQUETTE,124,"CASTELNAU-LE-LEZ, FRANCE",MNG ,M,2022-05-12 18:53:54.800576,Tee-shirts,8.0,neuf avec étiquette coton m’angoisse
14,TRÈS BON ÉTAT,44,FRANCE,MANGO ,XXL / 44 / 16,2022-05-12 08:53:54.800579,T-shirt Mango,4.0,"Tres bon etat
Taille XXL"
15,NEUF AVEC ÉTIQUETTE,48,FRANCE,MANGO ,S / 36 / 8,2022-05-11 22:53:54.800582,Très beau u t-shirt à mini fleurs 🌷 Mango,10.0,"Très beau u t-shirt à mini fleurs 🌷 Mango. 
En coton organique. 
Aisselle à aisselle 47cm. 
Longueur depuis l’épaule 56cm. 
Couleurs écru et rouge. 
Neuf avec étiquette. Aucun défaut. 

Envoi par Mondial Relais ou shop2shop (e-Chronopost). 


#mango #tshirt #coton #organiccoton #organique #ecru #fleurs"
16,NEUF AVEC ÉTIQUETTE,53,FRANCE,MANGO ,S,2022-05-12 18:53:54.800585,T-shirt rayé manches bouffantes,9.0,"état neuf, Longueur total environ 48 cm￼s, oui estcorrespondant davantage à un 36/38"
17,TRÈS BON ÉTAT,97,"MADRID, ESPAÑA",MANGO ,L / 40 / 12,2022-05-12 18:53:54.800588,Lote camisetas varios modelos,5.0,"lote de camisetas varios modelos 5€ unidad 
L y XL"
18,TRÈS BON ÉTAT,2,"TOULOUSE, FRANCE",MANGO ,XS,2022-05-08 18:53:54.800591,flowery mango T-shirt,3.5,100% organic cotton
19,NEUF SANS ÉTIQUETTE,27,"GONESSE, FRANCE",MANGO ,M,2022-05-12 18:53:54.800593,Tee shirt blanc elegant mango taille m neuf,15.0,Tee shirt blanc elegant mango taille m neuf
20,TRÈS BON ÉTAT,3,"MAIZIÈRES-LÈS-METZ, FRANCE",MANGO ,11 ANS / 140-146 CM,2022-05-10 18:53:54.800596,T-shirt rose Mango 11/12A,3.5,"T-shirt rose pale Mango
11/12A
ParfAit état"
21,BON ÉTAT,3,"LAMPERTHEIM, FRANCE",MANGO ,11 ANS / 140-146 CM,2022-05-12 18:53:54.800599,T-shirt Mango 11/12ans,2.0,Bon état
22,TRÈS BON ÉTAT,31,"PEYPIN-D’AIGUES, FRANCE",MANGO ,S / 36 / 8,2022-05-06 18:53:54.800602,T shirt Mango,8.0,"Très joli t-shirt mango porté seulement quelque fois il est en très bon état :) 
Écru et gris à l'arrière 
Taille S"
23,NEUF SANS ÉTIQUETTE,38,"CAPELLE AAN DEN IJSSEL, NEDERLAND",MANGO ,XS / 34 / 6,2022-05-10 18:53:54.800605,Roze shirtje van Mango,5.0,"Amper gedragen
XS maar valt als S/M"
