,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,BON ÉTAT,82,"MARCINELLE, BELGIQUE / BELGIË",GUESS ,XL,2022-05-12 20:13:49.360436,T-shirtGuess,7.0,"porté, bon état"
1,NEUF AVEC ÉTIQUETTE,8,"SAINT-BREVIN-LES-PINS, FRANCE",RETOUR ,,2022-05-12 20:13:49.360455,Tee-shirt Guess T34,33.8,"Tee shirt Guess TXS



✉N'hésitez pas à me contacter

⚠️pas d'échange ⚠️pas de retour _sauf erreur de ma part

👚🛍 bon shopping

#tee-shirt
#tee-shirtguess
#tee-shirtfemme34"
2,BON ÉTAT,17,"LE SOLER, FRANCE",GUESS ,M,2022-05-12 20:13:49.360458,Tee shirtGuess,3.0,Tee-shirt noir à porter en toute occasion
3,BON ÉTAT,99,"PERPIGNAN, FRANCE",GUESS ,XL / 42 / 14,2022-05-12 20:13:49.360460,#T-shirt Guess 💎,4.0,".bon état 
. blanc 
. motif ciseaux devant 
.manches courte 
.long 

Lots activées 💎💎


#T-shirtGuess
#T-shirtblanc
#T-shirtGuess4244"
4,TRÈS BON ÉTAT,9,"SINAAI-WAAS, BELGIQUE / BELGIË",GUESS JEANS ,S / 36 / 8,2022-04-29 20:13:49.360466,T-Shirt Guess Jeans,5.0,"T-ShirtGuess Jeans
Maat L, maar tailleert erg klein! (S-M)"
5,NEUF SANS ÉTIQUETTE,55,"ORLÉANS, FRANCE",GUESS ,10 ANS / 134-140 CM,2022-05-12 20:13:49.360469,T-shirtGuess,9.5,T-shirt Guess fille motif argenté
6,TRÈS BON ÉTAT,19,"CLUNY, FRANCE",,16 ANS / 170-176 CM,2022-05-12 20:13:49.360471,Tee shirtGuess 16 ans,3.0,"se porte court niveau nombril
marqué Guess 
brillant argenté sur fond noir 
tbe"
7,TRÈS BON ÉTAT,9,ITALIA,GUESS JEANS ,XS,2022-05-12 20:13:49.360474,T shirt maniche lunghe elasticizzata a righe rosse e blu - Guess jeans,25.0,"misura cm 41 da ascella ad ascella e cm 55 di altezza totale - l’articolo non presenta nessun difetto o segno di usura

#shirtmancheslongues 
#shirtmanicalunga 
#shirtguess 
#guessjeans 
#shirtarighe
#righeorizzontali 
#shirtelastique 
#elasticizzata 
#biancaerossa 
#taglaxs 
#ottimecondizioni"
8,NEUF SANS ÉTIQUETTE,177,"TILBURG, NEDERLAND",KILLSTAR ,XL / 42 / 14,2022-05-07 20:13:49.360476,Killstar gothic Regiment Skater 80s Dress,27.5,"Slechts 1x gedragen
Jurk heeft wat stretch
Maat XL
Geen beschadigingen

Uit rookvrije omgeving"
9,TRÈS BON ÉTAT,102,"TILBURG, NEDERLAND",DR. MARTENS ,42,2022-05-03 20:13:49.360479,Dr Martens Limited Edition Metallic Purple,90.0,"Slechts 2x gedragen
Geen orginele doos meer.

Uit rookvrije omgeving

Heeft toen €125 gekost"
