,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,TRÈS BON ÉTAT,23,FRANCE,TOMMY HILFIGER ,XS,2022-05-12 20:06:41.280033,Tee-shirtTomy hilfiger,8.0,Tee shirt Bon etat
1,NEUF AVEC ÉTIQUETTE,50,"SAINTE-BAZEILLE, FRANCE",TOMMY HILFIGER ,XS,2022-05-12 20:06:41.280053,T-shirtTommy Jeans neuf avec étiquettes 🏷,20.0,Neuf taille xs
2,NEUF AVEC ÉTIQUETTE,53,"MOUROUX, FRANCE",TOMMY HILFIGER ,L,2022-05-12 20:06:41.280056,t-shirt tommy hilfiger blanc,28.0,t-shirttommy hilfiger logo velours rouge neuf taille M avec étiquette🏷
3,BON ÉTAT,6,NEDERLAND,TOMMY HILFIGER ,XXXS / 30 / 2,2022-05-12 20:06:41.280059,Tommy Hilfiger Shirt,9.0,Super leuk denim shirt van Tommy Hilfiger. Voor mij helaas te klein. Ziet er nog top uit #TOMMYHILFIGERSHIRT #Shirttommy #Blauwdenimshirt
4,NEUF SANS ÉTIQUETTE,34,"LA MACHINE, FRANCE",TOMMY HILFIGER ,M,2022-05-12 20:06:41.280061,T-shirtTommy Hilfiger,20.0,"t-shirt jamais portée
t-shirt homme 
taille M"
5,TRÈS BON ÉTAT,27,"TOURS, FRANCE",TOMMY HILFIGER ,M / 38 / 10,2022-05-12 20:06:41.280063,Teeshirt Tommy Hilfiger,9.0,"Tee shirtTommy Hilfiger parfait état
taille M"
6,TRÈS BON ÉTAT,10,"MUDAISON, FRANCE",TOMMY HILFIGER ,L,2022-05-12 20:06:41.280065,Tee ShirtTommy Hilfiger,15.0,Très beau TeeshirtTommy Hilfiger homme taille M.
7,TRÈS BON ÉTAT,6,"SIMIANE-COLLONGUE, FRANCE",TOMMY HILFIGER ,M / 38 / 10,2022-05-12 20:06:41.280068,T-shirtTommy,12.0,modèle femme taille M
8,TRÈS BON ÉTAT,1152,"GIJON, ESPAÑA",TOMMY HILFIGER ,L / 40 / 12,2022-05-12 20:06:41.280070,Camisa blanca romántica con bordado veraniega Tommy Hilfiger,30.0,"Talla: L (talla 10 de Tommy Hilfiger)
Marca: Tommy Hilfiger
Medidas: Cintura 48cms / Largo 65cms / Mangas 61cms / Sisa 21cms
Uso: Algunas ocasiones

Camisa blanca impoluta, con un precioso trabajo bordado que recorre desde el cuello hasta el filo de la camisa. Muy veraniega y primaveral, perfecta para estas épocas. De la lujosa marca Tommy Hilfiger.
Cualquier duda sobre medidas o la prenda en sí, contacta conmigo por favor. 💌

[🇫🇷] Chemise blanche immaculée, avec un beau travail de broderie qui part du cou jusqu'au bord de la chemise. Très estival et printanier, parfait pour cette saison. De la marque de luxe Tommy Hilfiger."
9,TRÈS BON ÉTAT,359,"GIJON, ESPAÑA",TOMMY HILFIGER ,M / 38 / 10,2022-05-12 20:06:41.280072,Camisa manga corta verano vichy vichi rosa intenso Tommy Hilfiger,20.0,"Talla: M
Marca: Tommy Hilfiger
Medidas: Cintura cms 46/ Largo 62cms / Mangas 822cms / Sisa cms
Uso: Pocas ocasiones

Camisa de manga corta perfecta para el verano, de un precioso estampado vichy y un color hermoso rosa intenso. De la lujosa marca Tommy Hilfiger. Valorada en 110€.
Cualquier duda sobre medidas o la prenda en sí, contacta conmigo por favor. 💌

[🇫🇷] Chemise à manches courtes parfaite pour l'été, dans un bel imprimé vichy et une belle couleur rose foncé. De la marque de luxe Tommy Hilfiger. Estimé à 110€."
