,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,TRÈS BON ÉTAT,149,"SAINT-ANDRÉ-LES-VERGERS, FRANCE",ADIDAS ,S,2022-05-12 20:01:35.291670,T-shirt adidas vintage,10.0,"GROS DESTOCKAGE SUR LA BOUTIQUE, TOUS LES ARTICLES À 15€ PRIX FERME CAR DÉJÀ SOLDÉ 

➿ taille : S homme 
➿ couleur : noir 
➿ 100% authentique 

-> longueur :
-> largeur :
-> longueur des manches :


🔎 très bon état général 9/10
〽️ pour les lots me contacter en privé"
1,TRÈS BON ÉTAT,29,"COTIGNAC, FRANCE",ADIDAS ,XL,2022-05-12 16:01:35.291699,T-shirt adidas taille XL,5.0,Très bon état
2,NEUF SANS ÉTIQUETTE,99,"PARIS, FRANCE",ADIDAS ,M,2022-04-29 20:01:35.291706,Tee-shirt rouge Adidas taille M,12.5,"Tee-shirt rouge Adidas impeccable en 38 - T2 - M.

#adidas #adidasoriginals #adidassport 
#teeshirtadidas #teeshirt #tshirt"
3,NEUF AVEC ÉTIQUETTE,133,ESPAÑA,ADIDAS ,S,2022-05-12 20:01:35.291709,Camiseta Fútbol,17.0,Camiseta del Madrid nueva y sin usar con su etiqueta y del año 2017
4,TRÈS BON ÉTAT,33,"SAINT-HERBLAIN, FRANCE",ADIDAS ,XS,2022-05-07 20:01:35.291713,Tshirt adidas,10.0,"Tshirt simple adidas, porté quelques fois, taille xs"
5,NEUF SANS ÉTIQUETTE,107,FRANCE,ADIDAS ,S,2022-05-04 20:01:35.291716,Pull été adidas,10.0,Pull neuf
6,NEUF SANS ÉTIQUETTE,162,"DUNKERQUE, FRANCE",ADIDAS ,S,2022-05-10 20:01:35.291720,Tee-shirts adidas,5.0,Porté quelque fois
7,TRÈS BON ÉTAT,121,"BOLAÑOS DE CALATRAVA, ESPAÑA",ADIDAS ,M,2022-05-10 20:01:35.291723,Camiseta Adidas basica,12.0,"Puesta un par de veces, la vendo porque ya no me gusta como me queda"
8,TRÈS BON ÉTAT,94,"LAGNY-SUR-MARNE, FRANCE",ADIDAS ,M / 38 / 10,2022-05-12 20:01:35.291726,tee shirt bleu,4.0,tee shirt bleu ADIDAS pour faire du sport ou courir
9,NEUF SANS ÉTIQUETTE,69,"LAGNY-SUR-MARNE, FRANCE",ADIDAS ,L / 40 / 12,2022-05-12 20:01:35.291729,Top turquoise pour courir,9.0,Top turquoise pour courir ....tissu clima/cool ....soutien -gorge intégré ..neuf jamais porté ...Taille 40.
10,TRÈS BON ÉTAT,401,"LAGNY-SUR-MARNE, FRANCE",DES FILLES À LA VANILLÉ ,L / 40 / 12,2022-05-12 20:01:35.291732,Magnifique bustier style vintage,10.0,"Magnifique bustier style vintage : noir et rouge 
Acheté et indiqué 42 mais correspondrait mieux à un 40 au niveau buste et 85 B /90 B pas plus moi je fais 95 B trop serré :) dentelle et plumetis, satin rouge bordeaux irisé.
Il sera du plus bel effet sur vous !!!"
11,TRÈS BON ÉTAT,350,"LAGNY-SUR-MARNE, FRANCE",CHANTAL THOMASS ,90B,2022-05-12 20:01:35.291735,Bustier rose et gris Chantal Thomas,25.0,Bustier rose et gris Chantal Thomas ..ce n est pas de la dentelle mais l 'impression du tissu .Tout le bustier est transparent ...11 agrafes pour le dos .Taille 90C .porté 1 fois .état irréprochable.il est classe et sexy .
12,TRÈS BON ÉTAT,143,"LAGNY-SUR-MARNE, FRANCE",,85B,2022-05-12 20:01:35.291738,bustier blanc,7.0,bustier blanc .....belle dentelle et beaux détails ..7 agrafes pour le dos .plus d étiquette mais 85B...Les bretelles peuvent se retirer.
13,NEUF AVEC ÉTIQUETTE,145,ESPAÑA,ADIDAS ,L,2022-05-09 20:01:35.291741,Camiseta España,20.0,Nueva
14,TRÈS BON ÉTAT,295,"CAVEIRAC, FRANCE",ADIDAS ,L,2022-05-10 20:01:35.291744,Tee shirt Adidas,25.0,Porté quelquefois mais en très bon état
15,SATISFAISANT,23,"BREST, FRANCE",ADIDAS ,S,2022-05-12 16:01:35.291748,T shirt Adidas,4.0,"T shirt Adidas 
Taille S 
Bon état"
16,BON ÉTAT,17,"STRASBOURG, FRANCE",ADIDAS ,S / 36 / 8,2022-05-12 14:01:35.291751,T-shirt adidas,4.0,T-shirt blanc
17,TRÈS BON ÉTAT,47,"MEZZOLOMBARDO, ITALIA",ADIDAS ,M / 38 / 10,2022-05-12 20:01:35.291754,Maglia maniche corte,3.0,maglia maniche corte Adidas taglia M
18,TRÈS BON ÉTAT,61,"SAINT-ANDRÉ-LES-VERGERS, FRANCE",ADIDAS ,M,2022-05-10 20:01:35.291757,T-shirt adidas vintage,10.0,"GROS DESTOCKAGE SUR LA BOUTIQUE, TOUS LES ARTICLES À 15€ PRIX FERME CAR DÉJÀ SOLDÉ 

➿ taille : M homme 
➿ couleur : kaki / blanc 
➿ 100% authentique 

-> longueur :
-> largeur :
-> longueur des manches :


🔎 très bon état général 9/10
〽️ pour les lots me contacter en privé"
19,TRÈS BON ÉTAT,76,"SAINT-ANDRÉ-LES-VERGERS, FRANCE",ADIDAS ,M,2022-05-10 20:01:35.291761,T-shirt adidas vintage,10.0,"GROS DESTOCKAGE SUR LA BOUTIQUE, TOUS LES ARTICLES À 15€ PRIX FERME CAR DÉJÀ SOLDÉ 

➿ taille : M homme 
➿ couleur : noir 
➿ 100% authentique 

-> longueur :
-> largeur :
-> longueur des manches :


🔎 très bon état général 9/10
〽️ pour les lots me contacter en privé"
20,NEUF SANS ÉTIQUETTE,66,"MALZÉVILLE, FRANCE",ADIDAS ,M,2022-05-07 20:01:35.291764,Adidas,25.0,Jamais porté taille M
21,NEUF SANS ÉTIQUETTE,21,"BEAUCAIRE, FRANCE",ADIDAS ,M,2022-05-12 17:01:35.291775,Adidas t shirt swag juice M,15.0,Jamais porté
22,TRÈS BON ÉTAT,11,"LA PENNE-SUR-HUVEAUNE, FRANCE",ADIDAS ,S,2022-05-12 18:01:35.291779,T-shirt adidas rouge,8.0,"Très peu porté, comme neuf !"
23,NEUF SANS ÉTIQUETTE,19,FRANCE,ADIDAS ,M,2022-05-12 17:01:35.291783,T-shirt Adidas Climalite jaune tM,9.0,"T-shirt Adidas Climalite col rond
Couleur jaune
Taille M
Jamais porté"
24,TRÈS BON ÉTAT,116,FRANCE,ADIDAS ,M,2022-05-07 20:01:35.291786,T-shirt jaune Adidas homme M,17.0,"Jamais porté
⛔⛔ Merci de vous abstenir pour les offres de 5€ ou 10€ car je ne baisserai pas autant."
25,NEUF SANS ÉTIQUETTE,36,ITALIA,ADIDAS ,M,2022-05-10 20:01:35.291790,Adidas,30.0,Bellissima maglia sportiva deutscher fussball - Bund 1972/ 2012 in ottime condizioni mai indossata
26,TRÈS BON ÉTAT,148,"MORBEGNO, ITALIA",ADIDAS ,L,2022-05-08 20:01:35.291793,T-shirt arancione/bianca Adidas,15.0,"Articolo in ottime condizioni e senza segni d'usura apparte l'etichetta tagliata
Ottima vestibilità"
27,TRÈS BON ÉTAT,4,FRANCE,ADIDAS ,M / 38 / 10,2022-05-10 20:01:35.291796,Tee-shirt Adidas,8.0,Tee-shirt manche courte
28,NEUF SANS ÉTIQUETTE,90,ESPAÑA,ADIDAS ,XS / 34 / 6,2022-05-11 23:01:35.291800,Camiseta/top manga larga adidas,10.0,Nueva
29,NEUF SANS ÉTIQUETTE,67,"MALZÉVILLE, FRANCE",ADIDAS ,M,2022-05-07 20:01:35.291804,Adidas,25.0,Jamais porté taille M
30,NEUF SANS ÉTIQUETTE,9,FRANCE,ADIDAS ,XS,2022-05-12 18:01:35.291807,💖 t-shirt adidas neuf taille XS 💖,15.0,#zasa2604homme
