,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,TRÈS BON ÉTAT,34,"PAGNY-SUR-MOSELLE, FRANCE",KENZO ,S,2022-05-12 15:40:52.011819,Magnifique t-shirt Kenzo,25.0,Très beau . Véritable Kenzo
1,TRÈS BON ÉTAT,2,"FLÉMALLE, BELGIQUE / BELGIË",KENZO ,L,2022-05-12 19:40:52.011839,T shirt kenzo,35.0,Bon etat
2,TRÈS BON ÉTAT,9,FRANCE,KENZO ,XL,2022-05-12 17:40:52.011843,Blanc kenzo t shirt,45.0,"La qualité est très bonne, mais je n'aime pas ce cadeau"
3,BON ÉTAT,2,"OSS, NEDERLAND",KENZO ,S / 36 / 8,2022-05-12 17:40:52.011846,Baby groen/blauw t-shirt van Kenzo,4.0,"Goed gedragen, logo zit er nog prima op, 2 kleine gaatjes"
4,NEUF SANS ÉTIQUETTE,1,"NAMUR, BELGIQUE / BELGIË",KENZO ,XS,2022-05-12 19:40:52.011848,T-shirt Kenzo,55.0,t-shirt neuf
5,NEUF SANS ÉTIQUETTE,15,"ROUJAN, FRANCE",KENZO ,M,2022-05-12 14:40:52.011851,T-shirt Kenzo,50.0,"T-shirt Kenzo taille M
Porté 2 fois"
6,NEUF SANS ÉTIQUETTE,17,FRANCE,KENZO ,M,2022-05-12 17:40:52.011854,Tee shirt kenzo,20.0,Porter 1 fois a vendre .
7,NEUF SANS ÉTIQUETTE,72,NEDERLAND,KENZO ,L,2022-05-12 19:40:52.011856,"T-Shirt, Kenzo Paris, maat L",55.0,"reden verkoop, helaas te klein.
orgineel shirt!"
8,NEUF AVEC ÉTIQUETTE,24,FRANCE,KENZO ,8 ANS / 122-128 CM,2022-05-12 19:40:52.011870,Tee shirt Kenzo fille neuf,40.0,"Tee shirt fille Kenzo 
rose fushia
neuf, avec étiquette et sous blister
taille 8 ans
article authentique"
9,TRÈS BON ÉTAT,13,FRANCE,KENZO ,10 ANS / 134-140 CM,2022-05-12 19:40:52.011881,Tee shirt/ top Kenzo rose,35.0,"top Kenzo fille rose fushia 
bordures satinées 
taille 10 ans 
très bon état, porté une fois 
article authentique"
10,TRÈS BON ÉTAT,29,FRANCE,KENZO ,12 ANS / 146-152 CM,2022-05-12 19:40:52.011884,Tee shirt manches longues Kenzo,35.0,"Tee shirt manches longues Kenzo
couleur écru avec dessin bleu marine
très bon état, porté une fois
taille 12 ans
produit authentique 
d’autres articles de luxe à voir dans mon dressing"
11,BON ÉTAT,1736,FRANCE,GUCCI ,,2022-05-12 19:40:52.011886,Ceinture Gucci toile et cuir,150.0,"ceinture Gucci en toile et cuir 
boucle en métal doré 
bon état, utilisé quelques fois
un trou ou deux supplémentaire ont été fait car ils étaient trop espacés 
taille 85
dès micro rayures sur la boucle du au frottement 
unisexe 
produit authentique 
sans dustbag"
12,BON ÉTAT,1112,FRANCE,PRADA ,,2022-05-12 19:40:52.011889,Sac Prada marron en cuir et toile marron,255.0,"sac à main Prada en cuir et toile marron chocolat 
bon état
dimensions: 35x22x13 cm
usure normale du temps, coins légèrement éraflés, petite tache en dessous du sac, se voit à peine ( voir dernière photo)
article authentique 
acheté sur vestiaires collectives 
d’autres articles de luxe sont visibles dans mon dressing"
13,NEUF SANS ÉTIQUETTE,230,FRANCE,KENZO ,S,2022-05-11 23:40:52.011893,Tee shirt Kenzo,25.0,Taille S neuf
14,NEUF AVEC ÉTIQUETTE,92,"MARSEILLE 11, FRANCE",KENZO ,M,2022-05-10 19:40:52.011910,Haut kenzo neuf,50.0,Neuf avec l’étiquette
