,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF SANS ÉTIQUETTE,22,FRANCE,LACOSTE ,S,2022-05-12 17:43:48.211013,Polo Lacoste 🐊,35.0,"Article comme neuf

Taille 3 : S"
1,TRÈS BON ÉTAT,73,"NICE, FRANCE",LACOSTE ,XL,2022-05-12 15:43:48.211036,T-shirt Lacoste,12.0,Vend t-shirt Lacoste bleu taille Xl en très bon état. Envoi rapide
2,TRÈS BON ÉTAT,47,"OOSTERHOUT, NEDERLAND",LACOSTE ,M,2022-05-12 15:43:48.211041,Lacoste T-shirt,15.0,Amper gedragen
3,TRÈS BON ÉTAT,62,FRANCE,LACOSTE ,XS,2022-05-02 19:43:48.211044,Polo Lacoste gris,25.0,"Porté très peux, taille correctement (vrai polo pas comme tout ce que l’on peux voir) édition spéciale "" militaire """
4,BON ÉTAT,60,"LIMOGES, FRANCE",LACOSTE ,S,2022-05-12 16:43:48.211048,T shirt lacoste,25.0,Bon état
5,TRÈS BON ÉTAT,61,"VAULX-EN-VELIN, FRANCE",LACOSTE ,XS,2022-05-09 19:43:48.211051,Polo Lacoste,20.0,Très bon état
6,TRÈS BON ÉTAT,19,"SAINTE-GEMMES-SUR-LOIRE, FRANCE",LACOSTE ,XS,2022-05-12 19:43:48.211054,T-shirt Lacoste,15.0,T-shirt Lacoste édition limitée
7,TRÈS BON ÉTAT,66,"LE CABANIAL, FRANCE",LACOSTE ,L,2022-05-12 14:43:48.211057,T-shirt lacoste noir,20.0,"T-shirt lacoste noir taille L en très bon état 

#lacoste #tshirtlacoste #vintage"
8,TRÈS BON ÉTAT,111,FRANCE,LACOSTE ,M,2022-05-12 19:43:48.211060,Polo Lacoste,12.0,Bon état rien à signaler
9,BON ÉTAT,116,FRANCE,LACOSTE ,S,2022-05-12 19:43:48.211063,Polo Lacoste,8.0,Petit trou devant voir photos
10,TRÈS BON ÉTAT,59,FRANCE,LACOSTE ,M / 38 / 10,2022-05-12 19:43:48.211066,Polo Lacoste,10.0,"Bon état rien à signaler, 
Expédié sous 48H."
11,TRÈS BON ÉTAT,80,FRANCE,LACOSTE ,M,2022-05-12 19:43:48.211068,Polo Lacoste,12.0,Bon état rien à signaler
12,TRÈS BON ÉTAT,25,FRANCE,LACOSTE ,S,2022-05-12 19:43:48.211071,Polo Lacoste,10.0,Bon état rien à signaler
13,TRÈS BON ÉTAT,217,"ROMA, ITALIA",LACOSTE ,XS,2022-05-12 19:43:48.211073,Polo Lacoste manica corta taglia XS Classic fit,23.0,"Polo Lacoste
usata poco 
tenuta bene"
14,TRÈS BON ÉTAT,131,ESPAÑA,LACOSTE ,M,2022-05-12 14:43:48.211076,Polo Lacoste,20.0,"Polo Lacoste de color morado y manga corta
En muy buen estado
Talla M
Medidas:59cm largo/49cm ancho de pecho

#pololacoste
#lacoste 
#polo"
15,TRÈS BON ÉTAT,133,"OIGNIES, FRANCE",LACOSTE ,XS,2022-05-12 11:43:48.211080,Polo Lacoste,25.0,"Polo Lacoste rouge XS en EXCELLENT ÉTAT ✅
JD Sports 80€ 🏷
Envoi sous 24h 🚚
Plus de photos sur demande 📸"
16,TRÈS BON ÉTAT,9,"MARIGNAC-LASPEYRES, FRANCE",LACOSTE ,XS,2022-05-12 19:36:48.211083,t-shirt lacoste,12.0,très bon état
17,TRÈS BON ÉTAT,64,FRANCE,LACOSTE ,S,2022-05-12 17:43:48.211086,T-shirt Lacoste,15.0,"✅ T-shirt Lacoste, taille S, très bon état 

🚚💨Envoi rapide"
18,BON ÉTAT,31,"CHÂTEAUGIRON, FRANCE",LACOSTE ,M,2022-05-12 17:43:48.211090,T shirt manche longue Lacoste blanc,25.0,"T Shirt manche longue blanc , Taille M , bon état"
19,TRÈS BON ÉTAT,64,"VIATOR, ESPAÑA",LACOSTE LIVE ,M,2022-05-12 15:43:48.211093,Polo de rayas de Lacoste Live.,28.0,"Usado pero en perfecto estado,es de algodón y la talla es la 3 ."
20,TRÈS BON ÉTAT,129,ITALIA,LACOSTE ,S,2022-05-12 12:43:48.211096,Polo Lacoste,15.5,"🇮🇹 Indossato poche volte, ottime condizioni e perfetta vestibilitá
🇫🇷 Porté quelques fois, excellent état et coupe parfaite"
21,NEUF SANS ÉTIQUETTE,125,"HEYRIEUX, FRANCE",LACOSTE ,S,2022-05-12 19:43:48.211099,Polo Lacoste,27.0,"Taille S, coupe Slim 
Polo Classique Vert foncé 

Article très peut porté car il était trop petit pour moi 
Acheter au Lacoste Lyon Bellecour"
22,NEUF SANS ÉTIQUETTE,44,"MARTIGUES, FRANCE",LACOSTE ,XS,2022-05-12 14:43:48.211102,T-shirt lacoste,15.0,Neuf jamais porter top petit
23,TRÈS BON ÉTAT,18,FRANCE,LACOSTE ,M,2022-05-12 19:14:48.211106,T shirt manches longues lacoste,19.0,"t shirt manches longues lacoste 
taille M 

⚠️ attention livraison via mondial relay uniquement pour plus de rapidité ! 
> des questions, n’hésitez pas 😉 
> aucune tache ni défaut, sauf si je l’ai mentionné 
> articles originals, aucune contrefaçon dans mon dressing. Consultez mes évaluations ✅ 
> autres articles dispos dans mon dressing, je peux faire des lots à prix intéressants !"
24,TRÈS BON ÉTAT,39,FRANCE,LACOSTE ,L,2022-05-12 19:43:48.211109,T-shirt Lacoste,20.0,"T-shirt Lacoste en très bon état.
Taille L."
25,NEUF AVEC ÉTIQUETTE,114,FRANCE,LACOSTE ,L,2022-05-12 12:43:48.211112,T shirt Lacoste vert,38.0,"Jamais porté , neuf avec étiquette"
26,TRÈS BON ÉTAT,28,"ESSEY-LÈS-NANCY, FRANCE",LACOSTE ,L,2022-05-12 17:43:48.211115,T-shirt lacoste,18.0,"Porté quelques fois, taille L (ça taille petit)"
27,NEUF AVEC ÉTIQUETTE,174,"ROANNE, FRANCE",LACOSTE ,XL,2022-05-12 08:43:48.211119,T-shirt Lacoste,40.0,"T-shirt Lacoste taille 6 (XL), slim fit"
28,TRÈS BON ÉTAT,161,"POMPONNE, FRANCE",LACOSTE ,XS,2022-05-12 19:43:48.211122,T-shirt lacoste,15.0,T-shirt Lacoste
29,NEUF SANS ÉTIQUETTE,45,"MARTIGUES, FRANCE",LACOSTE ,XS,2022-05-12 14:43:48.211125,T-shirt lacoste,15.0,Neuf jamais porter top petit
30,NEUF AVEC ÉTIQUETTE,157,"BEZONS, FRANCE",LACOSTE ,XS,2022-05-05 19:43:48.211128,Polo Lacoste homme,39.0,Très beau polo Lacoste pour homme taille deux c’est-à-dire taille XS
31,TRÈS BON ÉTAT,19,FRANCE,LACOSTE ,M,2022-05-12 19:14:48.211131,T shirt manches longues lacoste,19.0,"t shirt manches longues lacoste 
taille M 

⚠️ attention livraison via mondial relay uniquement pour plus de rapidité ! 
> des questions, n’hésitez pas 😉 
> aucune tache ni défaut, sauf si je l’ai mentionné 
> articles originals, aucune contrefaçon dans mon dressing. Consultez mes évaluations ✅ 
> autres articles dispos dans mon dressing, je peux faire des lots à prix intéressants !"
32,TRÈS BON ÉTAT,40,FRANCE,LACOSTE ,L,2022-05-12 19:43:48.211134,T-shirt Lacoste,20.0,"T-shirt Lacoste en très bon état.
Taille L."
33,BON ÉTAT,478,"ROUEN, FRANCE",LACOSTE ,S,2022-05-07 19:43:48.211137,Polo Lacoste,15.0,"Polo Lacoste

- Taille: S/3📏
- Couleur: rose
- Dimension: largeur: 50 cm Longueur: 67 cm
- Composition: 100% coton
- En état, taches voir dernières photo✅

Vêtement de seconde main👕

Envoie rapide (sous 48h)📦

Pour plus de renseignements ne pas hésiter à envoyer un message. 📥"
34,NEUF AVEC ÉTIQUETTE,115,FRANCE,LACOSTE ,L,2022-05-12 12:43:48.211140,T shirt Lacoste vert,38.0,"Jamais porté , neuf avec étiquette"
35,TRÈS BON ÉTAT,29,"ESSEY-LÈS-NANCY, FRANCE",LACOSTE ,L,2022-05-12 17:43:48.211143,T-shirt lacoste,18.0,"Porté quelques fois, taille L (ça taille petit)"
36,NEUF SANS ÉTIQUETTE,170,FRANCE,LACOSTE ,XL,2022-05-12 11:43:48.211146,Polo Lacoste neuf,37.0,Encore dans sa pochette d'emballage.
37,BON ÉTAT,43,"MANDUEL, FRANCE",LACOSTE ,M,2022-05-12 19:43:48.211149,Polo manches longues lacoste,18.0,"Col velours,bon état"
38,BON ÉTAT,11,"MANDUEL, FRANCE",LACOSTE ,M,2022-05-12 19:43:48.211152,Polo lacoste,8.0,Tbe t 3
