,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,TRÈS BON ÉTAT,9,"LAXOU, FRANCE",PAUL SMITH ,L,2022-05-12 17:46:51.950751,Paul Smith,5.0,"taille L-XL
largeur 49.5cm
longueur 61cm"
1,TRÈS BON ÉTAT,3,FRANCE,PAUL SMITH ,S,2022-05-12 19:46:51.950783,Polo x Paul Smith,20.0,"Polo manches courtes, blanc, col classique, fermeture à 2boutons, motifs rayures a l'intérieur du col

Marque : Paul Smith

Taille indiquée : S

Composition : 100% coton

NI* = Non indiqué

N'hésitez pas à nous suivre sur Instagram : @friperie_lsmh"
2,TRÈS BON ÉTAT,14,ITALIA,PS PAUL SMITH ,S,2022-05-10 19:46:51.950787,T-shirt PS by Paul Smith,22.0,"Indossata poche volte, taglia S, vestibilità regular."
3,TRÈS BON ÉTAT,36,BELGIQUE / BELGIË,PAUL SMITH ,M,2022-04-30 19:46:51.950791,"PS Paul Smith, t-shirt",25.0,"t-shirt met print van PS Paul Smith
Originele prijs: €65
Stuur gerust voor meer informatie of foto’s :)"
4,NEUF SANS ÉTIQUETTE,28,"SANT ANTONI DE PORTMANY, ESPAÑA",PAUL SMITH ,XS,2022-05-07 19:46:51.950793,Joli t shirt homme,6.0,Neuf jamais porté.
5,NEUF SANS ÉTIQUETTE,24,"BIERBEEK, BELGIQUE / BELGIË",PAUL SMITH ,12 ANS / 146-152 CM,2022-05-12 19:46:51.950796,T-shirt van Paul smith,4.0,nooit gedragen T-shirt
6,TRÈS BON ÉTAT,14,"ITALY, ITALIA",PAUL SMITH ,L,2022-05-12 16:46:51.950799,Polo paul smith,15.0,Bella perfetta colore nera taglia L
7,TRÈS BON ÉTAT,2,"AMSTERDAM, NEDERLAND",PAUL SMITH ,M,2022-05-12 17:46:51.950802,Paul Smith summer t-shirt,30.0,"Size medium 
Worn once"
8,TRÈS BON ÉTAT,42,"BONNE, FRANCE",PAUL SMITH ,S,2022-05-02 19:46:51.950804,T-shirt S,5.0,"Porté quelques fois
#vetementhommes"
9,TRÈS BON ÉTAT,9,"BONNE, FRANCE",PAUL SMITH ,S,2022-05-02 19:46:51.950807,T-shirt S,5.0,"Porté quelques fois
#vetementhommes"
10,TRÈS BON ÉTAT,28,"BONNE, FRANCE",PAUL SMITH ,S,2022-05-02 19:46:51.950810,T-shirt S,5.0,"Porté quelques fois
#vetementhommes"
11,TRÈS BON ÉTAT,42,"BONNE, FRANCE",PAUL SMITH ,M,2022-05-12 19:46:51.950812,T-shirt uni M,5.0,"Porté quelques fois
#vêtementhommem"
12,TRÈS BON ÉTAT,22,"BONNE, FRANCE",PAUL SMITH ,S,2022-05-12 19:46:51.950814,T-shirt S,5.0,"Porté quelques fois
#vetementhommes"
13,TRÈS BON ÉTAT,16,"PUJAUDRAN, FRANCE",PAUL SMITH ,9-12 MOIS / 74-80 CM,2022-05-12 19:46:51.950817,"T-shirts 12 mois, Zara, Paul smith et boutchou",10.0,"5 T-shirts 12 mois, Zara, Paul smith et boutchou."
14,BON ÉTAT,66,"CAZEDARNES, FRANCE",PAUL SMITH ,S,2022-05-09 19:46:51.950819,T shirt,2.0,T shirt Paul Smith imprimé
15,NEUF AVEC ÉTIQUETTE,29,"SAINT-ÉTIENNE-DU-ROUVRAY, FRANCE",PAUL SMITH ,XS,2022-05-06 19:46:51.950822,T-shirt Paul Smith,33.0,"Nouvelle collection 
Valeur: 95€
Lien descriptif 

https://www.paulsmith.com/fr/white-scattered-stickers-print-t-shirt"
16,TRÈS BON ÉTAT,10,"PROVINS, FRANCE",PAUL SMITH ,4 ANS / 98-104 CM,2022-05-12 13:46:51.950824,Tee-shirts manches longues Paul Smith garçon 👦🏼,5.0,"Excellent état 
Taille 4 ans"
17,NEUF AVEC ÉTIQUETTE,22,"SAINT-ÉTIENNE-DU-ROUVRAY, FRANCE",PAUL SMITH ,XS,2022-05-06 19:46:51.950827,T-shirt Paul Smith manches longues,32.0,"Nouvelle collection 
Valeur: 95€
Lien descriptif 

https://www.paulsmith.com/fr/men-s-black-long-sleeve-cotton-happy-pocket-t-shirt"
18,TRÈS BON ÉTAT,43,"SAINT-PIERRE-D'OLÉRON, FRANCE",PAUL SMITH ,8 ANS / 122-128 CM,2022-05-08 19:46:51.950830,Tee-shirt rouge,6.0,"Tee-shirt rouge,dinosaure bleu
Très bon état. Pas dude tache
Taille petit.
📦 envoie rapide
#paulsmithjunior"
19,TRÈS BON ÉTAT,95,FRANCE,PAUL SMITH ,M,2022-05-09 19:46:51.950832,T-shirt Paul smith,10.0,Taille M
20,TRÈS BON ÉTAT,12,FRANCE,PAUL SMITH ,5 ANS / 104-110 CM,2022-05-12 16:46:51.950835,T shirt Paul smith,12.0,T shirt Paul Smith
21,NEUF SANS ÉTIQUETTE,42,"CARAVAGGIO, ITALIA",PAUL SMITH ,L,2022-05-01 19:46:51.950843,Paul Smith t-shirt grigia con stampa nuova,59.0,"NO RESO

originale
nuova mai indossata, senza cartellino
colore: grigia con stampa
taglia L 

visita il mio armadio per trovare stupendi pezzi a prezzi onesti"
22,TRÈS BON ÉTAT,13,FRANCE,PAUL SMITH ,8 ANS / 122-128 CM,2022-05-12 08:46:51.950846,Tee shirt Paul smith,5.0,Petite poche qui s'ouvre devant
23,NEUF SANS ÉTIQUETTE,43,"PONTE SAN NICOLO', ITALIA",PAUL SMITH ,M,2022-05-12 19:46:51.950848,Maglietta Paul Smith,10.0,"Indossata due volte, veste slim fit. Condizioni ottime, tessuto abbastanza leggero."
24,TRÈS BON ÉTAT,25,FRANCE,PAUL SMITH ,5 ANS / 104-110 CM,2022-05-12 19:46:51.950851,Teeshirt paul Smith 5 ans,5.0,Tee shirt noir Paul Smith 5 ans
25,TRÈS BON ÉTAT,65,"HOUDEMONT, FRANCE",PAUL SMITH ,12-18 MOIS / 80-86 CM,2022-04-24 19:46:51.950853,T-shirt Paul Smith,5.0,Joli t-shirt manches courtes ; très pratique et confortable . Taille 18 mois .
