,État,Designer,Taille,En ligne depuis le,nom,prix
0,Très bon état,Alexander McQueen,35 EU,2022-03-22,Chaussure basket Alexander Mqueen couleur blanc taille 35Traduire,"240 €
+15 € Contrôle et authentification"
1,Très bon état,Valentino Garavani,44 EU,2022-03-21,"Chaussures baskets Valentino, en excellent état, blanches et entièrement en cuir. 
 Semelle légèrement haute avec une texture sale.Traduire",167 €
2,Jamais porté,Burberry,41 EU,2022-04-01,"Chaussures baskets Burberry
Taille 41
Modèle : Ronnie
Couleur : blanc et noir
Neuf sans boite à chaussures
Lacets un peu abîmés car coincé dans le velcro 
 Ajustement fidèle à la tailleTraduire","223,43 €
+15 € Contrôle et authentification"
3,Très bon état,Celine,37 EU,2022-03-15,Chaussures baskets Celine taille 37 avec logoTraduire,147 €
4,Très bon état,Lanvin,9 UK,2022-03-13,"Chaussures baskets basses Lanvin pour hommes Gris avec détails en cuir. 

Bout en amande, fermeture à lacer sur le devant, coutures ton sur ton, semelle intérieure à logo, chevilles rembourrées, détails d’œillets, semelle plate en caoutchou...Lire la suiteTraduire",81 €
5,Jamais porté,Valentino Garavani,37 EU,2022-03-13,"Chaussures baskets Valentino avec logo V imprimé sur le côté 
 cuir de veau. Semelle en caoutchouc blanc.Traduire",230 €
6,Jamais porté,Nike,38 EU,2022-03-22,"chaussures baskets mixtes à lacets
En cuir 
Marque: Nike
pointure: 38 (elles taillent normalement)
couleurs: noir et blanc 
authentiques
neuves jamais portées
Packaging : Boite à chaussuresTraduire",58 €
7,Correct,Prada,43.5 EU,2022-03-27,Chaussures Baskets Prada. Voir les photos pour évaluer les conditionsTraduire,115 €
8,Jamais porté,Tod's,39.5 EU,2022-03-10,"Chaussure basket tods noir 
Portées 2 fois, comme neuvesTraduire",75 €
9,Très bon état,Jimmy Choo,37.5 EU,2022-03-05,"Chaussures baskets Jimmy Choo Miami en suede/paillettes beige/platinum ice taille 37,5. Je les ai porté 3x et elles sont neuves/en excellent état (voir semelles sur photos). Soigneusement gardées. Je les vends car elles sont légèrement trop...Lire la suiteTraduire",180 €
10,Très bon état,Hogan,39 EU,2022-03-30,"Chaussures baskets à bout en daim beige et tissu lurex doré.
Traduire","70 €
+15 € Contrôle et authentification"
11,Jamais porté,JORDAN,43 EU,2022-01-17,"Chaussures baskets - Air Jordan 1 mid se ""Dark Mocha"" 
 Mod.num. DC7294-200 
 Coloration : Chocolat noir / crimson bliss 
 Taille eur 43 / us 9.5 / UK 8.5 
 Nouveau produit original avec facture prouvant l'authenticité.
Packaging : Boite à ...Lire la suiteTraduire",189 €
12,Jamais porté,Nike,42.5 EU,2022-01-03,"Chaussures / baskets / baskets neuves d'origine de la marque nike.
 nike dunk hi, avec une plateforme interne d'environ 8 cm environ 
 édition spéciale 
 taille 42,5 européenne, 27,6 cmTraduire",74 €
13,Bon état,Veja,24 FR,2022-04-03,Chaussures baskets petite fille taille 24 taille petitTraduire,"40 €
+15 € Contrôle et authentification"
14,Correct,Disney x Gucci,9 UK,2022-02-17,Chaussures baskets homme Gucci. Disney trois petits cochons. Semelle intérieure neuve jamais utilisée. Boîte disponibleTraduire,"136,61 €"
15,Très bon état,Valentino Garavani,38 EU,2022-03-25,"Chaussures baskets Valentino Garavani 
 modèle sans lacets 
 100% d'origine 
 taille 38 
 blanc-rose 
 avec boite d'origine, sac, étiquettes [[2] ]] excellent état, porté très peu de fois. 
 prix d'origine 490 €Traduire","260 €
+15 € Contrôle et authentification"
16,Bon état,Converse,38 EU,2022-03-25,"Chaussures baskets All Star en velours noir avec intérieur en laine colorée 
 taille 5 1/5 ou 38. 
 introuvable 

Packaging : Boite à chaussuresTraduire",45 €
17,Jamais porté,Furla,39.5 EU,2022-03-25,"Chaussures baskets FURLA noir/doré/blanc

État neuf

Achetées 245 £

Taille 39 EUR, taille parfaitement 39.5 UK 6.5

Semelles environ 26cmTraduire","121,29 €
+15 € Contrôle et authentification"
18,Très bon état,Moschino Love,37 IT,2022-02-06,"Chaussures baskets en cuir et daim noir. 
 Semelle et doublure intérieure couleur crème avec écriture 
 Love Moschino. 
 Lacets blancs et côtés cœur en cuir noir. 

Packaging : Boite à chaussuresTraduire",48 €
19,Bon état,Cesare Paciotti,44 EU,2022-03-27,Chaussure baskets Paciotti 4US. Utilisé mais en excellente condition. n.m. 44. belleTraduire,49 €
20,Jamais porté,Baby Dior,22 FR,2021-12-18,"Chaussures baskets montantes baby Dior 
en cuir retourné gris nights 
fourrure intérieur 
en pointure 22
parfait pour cet hiver
neuf
jamais porté 
avec boîte et dustbag 
parfait pour un cadeau 
valeur 390€Traduire",124 €
21,Jamais porté,Moncler,41 EU,2022-03-15,"CHAUSSURES BASKETS MONCLER ""JACQUES"" POUR HOMMES EN BLEU FONCÉ

TAILLE : 41

État : les chaussures sont neuves

OVP . 475€

Livraison sans boite d'origineTraduire",310 €
22,Jamais porté,Bally,37.5 EU,2021-11-25,"Chaussure basket BALLY, en cuir pleine fleur, 

 avec détails de laque rose. Jamais portée. 

 Coffret disponible. (Le pris de vente était de 450 € )
Packaging : Boite à chaussuresTraduire","95 €
+15 € Contrôle et authentification"
23,Bon état,Santoni,40 EU,2022-01-18,Chaussures baskets Santoni taille 40 blanches et beiges bon état.Traduire,45 €
24,Bon état,Miu Miu,36.5 IT,2022-03-17,"Chaussure baskets Miu Miu chic avec plateau et diamants à la pointe de la chaussure. Très peu porté, en excellent état. Le tissu est en nappa (cuir souple) et présente de petits défauts dans le cuir comme sur la photo (très petites taches)....Lire la suiteTraduire","469 €
+15 € Contrôle et authentification"
25,Très bon état,Saint Laurent,41.5 IT,2021-11-15,"chaussures/baskets en cuir noir avec étoiles dorées en excellent état très peu portées.
 41,5 unisexe 
Traduire",150 €
26,Très bon état,Polo Ralph Lauren,4.5 US,2022-03-22,"Chaussures baskets rouges Polo !! taille 20 EU.13,4 cm.chaussures unisexes modernes 🎈🎈☺️☺️en très bon état !!Traduire",33 €
27,Bon état,Adidas,38.5 EU,2022-01-16,Chaussures baskets Adidas Campus en bon étatTraduire,35 €
28,Très bon état,Nike,40.5 EU,2021-11-06,"Chaussures baskets Nike, très bonne configuration. Noir avec silvestru et signal Nike doré, matière textile.Traduire","48,64 €"
29,Très bon état,Hogan,39 EU,2021-10-22,Chaussures baskets modèle hogan bien conservées puisque portées quelques foisTraduire,57 €
30,Bon état,Hogan,37 EU,2022-03-21,"Chaussures baskets en daim bleu Hogan portées quelques fois, en bon état, pointure 37Traduire","45 €
+15 € Contrôle et authentification"
31,Très bon état,Saint Laurent,39 EU,2021-09-25,"Chaussures Baskets Yves Saint Laurent
Taille 39
En etat très très bien
Ca vient avec le dustbagTraduire",105 €
32,Jamais porté,Adidas,6 US,2021-10-20,"Chaussures Basket Sport style basketball de marque Adidas en taille 38/5.  
Neufs dans leur boîte d’origine (en parfait état)

Packaging : Boite à chaussuresTraduire",44 €
33,Jamais porté,Pierre Hardy,39 EU,2021-08-20,"Chaussures baskets basses pour femmes Pierre Hardy en cuir verni bleu clair. 

Taille uk 6 Eu 39

Avec boite et dustbag ainsi que lacets de rechange.Traduire","80,43 €"
34,Très bon état,Philippe Model,39 IT,2022-03-04,"Chaussures baskets en cuir noir, sur le côté il y a une myriade de clous argentés. 
 Très glamour. Ils correspondent à un droit 39Traduire","100 €
+15 € Contrôle et authentification"
35,Jamais porté,Harrys of London,39 EU,2021-08-20,"Chaussures baskets à enfiler Harry's of London pour hommes, en cuir multicolore noir et blanc. 

Taille Uk 6 Eu 39


Avec boîte et sac à poussière.Traduire","84,26 €"
36,Très bon état,Dior Homme,41 EU,2021-05-06,"Chaussures / Baskets DIOR à lacets.
Très classe, pour une tenue habillée ou casual.
Pointure: marqué 41.
Intérieur en cuir !
Portés 2 fois seulement !
Article ORIGINAL, voir tous les inscriptions de la marque : sur la semelle intérieure, se...Lire la suiteTraduire",134 €
37,Jamais porté,DC SHOES,6 US,2021-08-05,"Chaussures / baskets très confortables à carreaux noirs et blancs. Avoir une autre paire similaire, donc vendre celle-ci.Traduire","56,18 €"
