,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF SANS ÉTIQUETTE,19,"SAINT-GENIS-LAVAL, FRANCE",THE KOOPLES ,M,2022-04-04 16:58:12.710885,T shirt The Kooples,55.0,"T shirt The Kooples en très bon état
porté une fois seulement."
1,NEUF AVEC ÉTIQUETTE,155,FRANCE,RALPH LAUREN ,L,2022-04-03 23:58:12.711520,ralph lauren,28.0,t-shirt taille l
2,TRÈS BON ÉTAT,13,"LIMOGES, FRANCE",NEW YORKER ,XXS / 32 / 4,2022-04-04 18:58:12.711531,T’shirt uni,1.0,porter 1 fois en bon état
3,TRÈS BON ÉTAT,15,FRANCE,DSQUARED2 ,S,2022-04-04 18:58:12.711535,T-shirt dsquared2,60.0,pas mis beaucoup de fois
4,NEUF AVEC ÉTIQUETTE,11,"LYON, FRANCE",KARL LAGERFELD ,XL,2022-04-04 16:58:12.711538,Tshirt karl lagarfeld,50.0,neuf jamais porter
5,NEUF AVEC ÉTIQUETTE,42,"CHELLES, FRANCE",SUPREME ,M,2022-04-04 18:58:12.711541,T-shirt supreme,25.0,"Supreme Store Paris

- 1 t-shirt supreme blanc avec petit logo supreme en bas à droite

- Tshirt neuf, jamais porté, sorti de l’emballage uniquement pour les photos 

- 100% authentique, acheté au supreme store a Paris 

Dm pour + d ’info"
6,NEUF SANS ÉTIQUETTE,289,"RUEIL-MALMAISON, FRANCE",HUGO ,XXL,2022-03-25 18:58:12.711543,T-shirt Hugo Boss XXL Noir,25.0,T-shirt neuf avec étiquette et emballage prix ferme Collection 2022
7,TRÈS BON ÉTAT,24,"SAINT-RÉMY-BOSCROCOURT, FRANCE",ELEMENT ,M,2022-04-03 22:58:12.711547,T-Shirt Element,10.0,"Porter quelque fois,pas de taches ni de trou ✅"
8,NEUF AVEC ÉTIQUETTE,65,"VILLENEUVE-LA-GARENNE, FRANCE",THE KOOPLES ,M / 38 / 10,2022-03-25 18:58:12.711550,T-shirt the kooples,40.0,t-shirt taille 1 donc taille 38
9,NEUF AVEC ÉTIQUETTE,17,"VILLENEUVE-LA-GARENNE, FRANCE",JACADI ,12-18 MOIS / 80-86 CM,2022-04-04 18:58:12.711553,T-shirt 18 mois,10.0,t-shirt jacadi
10,NEUF AVEC ÉTIQUETTE,136,"VILLENEUVE-LA-GARENNE, FRANCE",JACADI ,24-36 MOIS / 92-98 CM,2022-04-04 18:58:12.711555,Blouse jacadi,25.0,blouse taille 3 ans
11,TRÈS BON ÉTAT,44,"VILLENEUVE-LA-GARENNE, FRANCE",JACADI ,24-36 MOIS / 92-98 CM,2022-03-27 18:58:12.711558,Blouse 3 ans,20.0,blouse jacadi
12,NEUF AVEC ÉTIQUETTE,12,"VILLENEUVE-LA-GARENNE, FRANCE",DU PAREIL AU MÊME ,12-18 MOIS / 80-86 CM,2022-03-13 18:58:12.711561,T-shirt 18 mois,5.0,t-shirt 5 euros
13,TRÈS BON ÉTAT,5,"TROYES, FRANCE",NASA ,M,2022-04-01 18:58:12.711563,Tee shirt naza,15.0,"tee shirt NASA M très peu porté #teeshirt #teeshirtnasaBlanc #teeshirtblanc 
#nasa #nasahomme #teeshirthomme #nasa #NASA"
14,BON ÉTAT,8,"BLANZAC, FRANCE",RALPH LAUREN ,M,2022-04-04 18:29:12.711566,👕 T-Shirt Ralph Lauren,20.0,"👕 T-Shirt Ralph Lauren 
🎨 Rouge
📌 Taille M
✅ Bon état 
💶 Prix négociable 
📱 Envoyez moi un message pour plus d’informations je répond au plus vite 
📦 Envoi rapide et soigné"
15,NEUF SANS ÉTIQUETTE,14,"CASTELBAJAC, FRANCE",LH ,L,2022-04-04 15:58:12.711569,Lot 2 t-shirt coton LH L,5.0,"✍ neuf mises 1 fois
✍ mesure epaules: 45 cm
✍ longuer: 63 cm
✍ d'autres articles homme disponibles dans mon dressing
✍ faitez des offres, j'etudie toute proposition
#saradressinghomme"
16,TRÈS BON ÉTAT,38,"AUMETZ, FRANCE",THE KOOPLES ,M,2022-04-04 11:58:12.711572,T-shirt The Kooples blanc,45.0,"t-shirt the kooples, porté quelque fois, comme neuf, un crâne comme motif en haut à gauche du t-shirt
prix négociable"
17,TRÈS BON ÉTAT,93,"ESCH-SUR-ALZETTE, LUXEMBOURG",ELLESSE ,M,2022-04-04 10:58:12.711576,T-shirt Ellesse,6.5,porté quelques fois
18,TRÈS BON ÉTAT,11,"VENDÉE, FRANCE",SOL'S ,M / 38 / 10,2022-04-04 13:58:12.711579,Tee shirt uni femme t m 38,4.9,"Neuf
Marque sol's 
Taille m 38

#dvfemme38"
19,TRÈS BON ÉTAT,14,"PARIS, FRANCE",CHEVIGNON ,S,2022-04-04 18:58:12.711581,T-shirt Chevignon,22.0,"Tshirt Chevignon
gris foncé chiné
taille S
100% coton

Très bon état, peu porté"
20,TRÈS BON ÉTAT,118,"ARLON, BELGIQUE / BELGIË",THE KOOPLES ,M,2022-04-04 13:58:12.711584,T-shirt The Kooples,33.0,"porte peu de fois , taille M"
21,NEUF AVEC ÉTIQUETTE,207,FRANCE,THE NORTH FACE ,XS,2022-04-04 18:58:12.711586,T-shirt The North Face Bleu Marine,20.0,"🎗T-shirt The North Face Bleu Marine 🎗

✴️plusieurs articles de marque disponible✴️

🎁 -5% pour les abonnés 🎁

•Couleur Bleu marine 🔵 
•État 10/10 🏷
•Taille XS📏 
•Neuf avec étiquette 🏷 
•Envoie 24h/48h 🚀 
•Colis soigner ♻️

🔜 Si vous avez des questions n'hésitez pas, je ferais de mon mieux pour répondre au plus vite.

#thenorthface #thenorthfacevintage #thenorthfacejacket #thenorthfacefleece #thenorthface700"
22,NEUF SANS ÉTIQUETTE,286,FRANCE,KENZO ,L,2022-03-29 18:58:12.711590,Tee-shirts kenzo,35.0,neuf jamais porté
23,NEUF AVEC ÉTIQUETTE,14,FRANCE,LACOSTE ,S,2022-04-04 18:58:12.711592,T-shirt Lacoste bleu marine,45.0,"tee shirt Lacoste bleu marine homme 👕 

taille S

neuf avec étiquette d'achat , jamais porté

100% coton

acheté en boutique Lacoste 65€ ✅

Envoie rapidement !

#lacoste #teeshirtlacoste #lacosteoriginal #lacostehomme #tendance #tendance2022 #été2022 #été #lacostevintage #sportswear #editionlimitee #editionlimité #nouvellecollection"
