,État,Marque,Date,nom,Prix,Description,cat
1,TRÈS BON ÉTAT,AMI,2022-03-17,COL ROULÉ AMI,280.0,COL ROULÉ AMI EN PARFAIT ÉTAT,Fashion
5,TRÈS BON ÉTAT,SMOG,2022-04-04,PULL BLANC COL ROULÉ,19.0,PULL EN TRÈS BON ÉTAT QUI TIENT CHAUD,UltraFastFashion
7,TRÈS BON ÉTAT,C.P. COMPANY,2022-03-30,COL ROULÉ CP COMPANY ORANGE,170.0,"COL ROULÉ ORANGE CP COMPANY
ARTICLE PLUS DISPONIBLE SUR INTERNET
ACHETÉ EN ITALIE 250€

PORTÉ UNE SEULE FOIS POUR A PHOTO MAIS UN PEU TROP GRAND POUR MOI",Fashion
13,TRÈS BON ÉTAT,COODRONY,2022-03-30,PULLS,25.0,"VEND PULL COL ROULÉ EN CACHEMIRE, TAILLE SLIM.PEU PORTÉ",UltraFastFashion
14,TRÈS BON ÉTAT,CELIO PRESTIGE,2022-04-04,PULL-OVER HOMME COL ROULÉ,25.0,"55% SOIE 
45% CACHEMIRE 
PORTÉ QUELQUES FOIS",UltraFastFashion
16,NEUF SANS ÉTIQUETTE,NEW YORKER,2022-04-04,COL ROULÉ GRIS,10.0,COL ROULÉ GRIS 100% COTON,UltraFastFashion
17,TRÈS BON ÉTAT,ARTE,2022-04-04,PULL ARTE MARRON,60.0,"PULL/SWEAT DE QUALITÉ COL ROULÉ COL CHEMINÉ MARRON.
TAILLE M 
PORTÉ 5-6 FOIS
TRÈS BON ÉTAT
ARTE ANTWERP",Undefined
22,TRÈS BON ÉTAT,CARHARTT,2022-04-04,PULL À COL ROULÉ CARHARTT,35.0,"👔 PULL À COL ROULÉ GRIS CARHARTT 
✅ EN TRÈS BON ÉTAT (PORTÉ 1OU 2 FOIS)
❌ AUCUNE TACHES NI MARQUE D’USURE
📏 TAILLE NORMALEMENT (M)",UltraFastFashion
25,TRÈS BON ÉTAT,DEFACTO,2022-04-04,PULLS COL ROULÉ,7.5,COMME NEUF,UltraFastFashion
27,TRÈS BON ÉTAT,EDEN PARK,2022-04-02,COL ROULÉ EDEN PARK,40.0,"COL ROULÉ EDEN PARK 
TAILLE M (JE FAIS 1M78) 
TRÈS BON ÉTAT
MARINE",UltraFastFashion
28,TRÈS BON ÉTAT,HUGO,2022-04-04,PULL COL ROULÉ HUGO BOSS,15.0,"PULL 100% LAINE VIERGE, CHAUD ET CONFORTABLE.
PORTÉ QUELQUES FOIS, TRÈS BON ÉTAT.
BRODÉ HUGO SUR MANCHE GAUCHE
ENVOI SOUS 24 HEURES. 
TAILLE M MAIS CONVIENT L (COMME MOI)",UltraFastFashion
