,État,Marque,TAILLE,Date,nom,Prix,Description
0,NEUF AVEC ÉTIQUETTE,VETEMENTS,M,2022-04-09,T-SHIRT VETEMENTS ÉDITION LIMITÉE,160.0,"T-SHIRT NEUF AVEC ÉTIQUETTES 
ONESIZE CORRESPOND À UNE TAILLE M"
1,NEUF AVEC ÉTIQUETTE,TWIGGY CREATIVE UNIVERSE,M,2022-04-09,T SHIRT TWIGGY CREATIVE UNIVERSE,25.0,"T SHIRT 100% COTON NOIR DÉLAVÉ DE LA MARQUE FRANÇAISE DE STREETWEAR TWIGGY CREATIVE UNIVERSE EN COLLABORATION AVEC L'ARTISTE DE STREET ART OLIVIER WELSCH.
SERIE LIMITÉE.
DESSIN GRIS DANS LE DOS
NEUF AVEC ÉTIQUETTE"
2,BON ÉTAT,ARC'TERYX,S,2022-04-09,PREFORMANCE T-SHIRT,15.0,100% KATOEN WEL GEDERAGEN ZIET ER NETJES UIT
3,TRÈS BON ÉTAT,ZARA,L,2022-04-09,T-SHIRT ZARA,5.0,QUASI NEUF ( PORTÉ QUE QUELQUES FOIS )
4,TRÈS BON ÉTAT,ACNE STUDIOS,M,2022-04-09,ACNE STUDIOS NECK T SHIRT (XS),70.0,"VALT HEEL OVERSIZED (ALS EEN M/L NORMALE SHIRTS, BEN ZELF 1.83) 
HEEL WEINIG GEDRAGEN"
5,NEUF SANS ÉTIQUETTE,PHILIPP PLEIN,M,2022-04-03,T-SHIRT PHILIPP PLEIN,170.0,PIÙ COMPI MENO SPENDI 👍🏻😉
6,NEUF SANS ÉTIQUETTE,MARCELO BURLON,XL,2022-04-09,T SHIRT MARCELO BURLON,50.0,"OTTIME CONDIZIONI 
XL 
#BURLON #MARCELOBURLON #COUNTYOFMILAN"
7,NEUF AVEC ÉTIQUETTE,CHEVIGNON,L,2022-04-09,T-SHIRT CHEVIGON NEUF,28.0,"JAMAIS PORTÉ 
NEUF AVEC EMBALLAGE 
XL MAIS CORRESPOND À UN L"
8,NEUF SANS ÉTIQUETTE,MANO,M / 38 / 10,2022-04-09,T-SHIRT RICAMATA A MANO,25.0,RICAMATA A MANO #EMBROIDERY #RICAMO #HANMADE #FLOWERS @MISHIRT.HANDMADE
9,TRÈS BON ÉTAT,THE KOOPLES,M,2022-04-09,T-SHIRT THE KOPPLES,45.0,"COMME NEUF 
TAILLE M"
10,TRÈS BON ÉTAT,,XXXL / 46 / 18,2022-04-09,T-SHIRT TAILLE 46/48,4.0,"PORTÉ QUELQUES FOIS, TRÈS BON ÉTAT"
11,TRÈS BON ÉTAT,RALPH LAUREN,XL,2022-04-09,T-SHIRT RALPH LAUREN,18.0,"T-SHIRT MANCHES COURTES RALPH LAUREN EN TAILLE XL EN EXCELLENT ÉTAT.

#TSHIRT #TSHIRTOVERSIZE #TSHIRTVINTAGE #VINTAGE #RALPHLAUREN #POLORALPHLAUREN #TSHIRTRALPHLAUREN"
12,NEUF AVEC ÉTIQUETTE,NIKE,M,2022-04-09,T-SHIRT NIKE,17.0,T-SHIRT NIKE NEUF JAMAIS PORTÉ
13,TRÈS BON ÉTAT,PATRIZIA PEPE,S / 36 / 8,2022-04-09,T-SHIRT MANICHE LUNGHE PATRIZIA PEPE TG S,10.0,BELLISSIMA IN LINO. PARTICOLARE IL RETRO CON BALZE. INDOSSATA SOLO UNA VOLTA. BELLA SU UN JEANS O UN PANTALONE.
14,NEUF SANS ÉTIQUETTE,VERSACE,S,2022-04-09,T-SHIRT VERSACE BLACK,70.0,"MANICHE CORTE 
COLORE: NERA/ORO
PREZZO NON TRATTABILE"
15,TRÈS BON ÉTAT,RALPH LAUREN,XL,2022-04-09,POLO T-SHIRT RALPH LAUREN,24.9,"POLO T-SHIRT RALPH LAUREN 
TAGLIA XL 
COLORE VERDE 
OTTIME CONDIZIONI 🤩
#RALPHLAUREN #POLO #RALPHLAURENPOLO #TSHIRT"
