,addresse,prix,date_vente,details
0,"101 RUE LIBRE PENSEE
93230 ROMAINVILLE","368 421€*
4 386€/m²","Vendu le 21/06/2021
Analyser ce bien",Maison 4 pièces84m²171m²*
1,"107 RUE DIDOT
75014 PARIS","842 857€*
16 209€/m²","Vendu le 21/05/2021
Analyser ce bien",Maison 3 pièces52m²0m²
2,"107 RUE DIDOT
75014 PARIS","1 130 000€
20 545€/m²","Vendu le 20/09/2017
Analyser ce bien",Maison 3 pièces55m²0m²
3,"107 RUE DIDOT
75014 PARIS","900 000€
13 636€/m²","Vendu le 31/01/2017
Analyser ce bien",Maison 2 pièces66m²0m²
4,"48 RUE ARAGO
93230 ROMAINVILLE","599 000€
8 557€/m²","Vendu le 29/03/2021
Analyser ce bien",Maison 3 pièces70m²182m²
5,"9 RUE KLEBER
92130 ISSY-LES-MOULINEAUX","1 010 000€
11 099€/m²","Vendu le 05/02/2021
Analyser ce bien",Maison 4 pièces91m²0m²
6,"40B RUE DU FORT
92130 ISSY-LES-MOULINEAUX","598 000€
8 794€/m²","Vendu le 13/01/2021
Analyser ce bien",Maison 3 pièces68m²0m²
7,"41 RUE LOUVAIN
92400 COURBEVOIE","646 144€*
8 284€/m²","Vendu le 17/12/2020
Analyser ce bien",Maison 4 pièces78m²0m²
8,"68 RUE JULLIEN
92170 VANVES","1 250 000€
11 364€/m²","Vendu le 14/12/2020
Analyser ce bien",Maison 5 pièces110m²113m²
9,"26 VLA DE BELLEVUE
75019 PARIS","1 294 740€
21 579€/m²","Vendu le 07/12/2020
Analyser ce bien",Maison 4 pièces60m²118m²
10,"18B AV DU BELVEDERE
93310 LE PRÉ-SAINT-GERVAIS","457 000€
7 617€/m²","Vendu le 25/11/2020
Analyser ce bien",Maison 3 pièces60m²0m²
11,"22 RUE ANATOLE FRANCE
93170 BAGNOLET","655 000€
7 278€/m²","Vendu le 14/09/2020
Analyser ce bien",Maison 4 pièces90m²145m²
12,"17 AV LEDRU ROLLIN
75012 PARIS","279 714€
9 324€/m²","Vendu le 03/09/2020
Analyser ce bien",Maison 2 pièces30m²0m²
13,"11 RUE RENON
94300 VINCENNES","1 200 000€
13 793€/m²","Vendu le 22/07/2020
Analyser ce bien",Maison 4 pièces87m²152m²
14,"182 AV HENRI BARBUSSE
92140 CLAMART","300 000€*
5 556€/m²","Vendu le 06/07/2020
Analyser ce bien",Maison 3 pièces54m²105m²
15,"33 RUE DE REIMS
94700 MAISONS-ALFORT","585 366€
12 725€/m²","Vendu le 02/07/2020
Analyser ce bien",Maison 3 pièces46m²319m²
16,"14 SEN DES ECONOMES
93230 ROMAINVILLE","429 990€
4 942€/m²","Vendu le 12/06/2020
Analyser ce bien",Maison 3 pièces87m²147m²
17,"6 PAS ARCOLE
92240 MALAKOFF","598 500€
14 962€/m²","Vendu le 11/06/2020
Analyser ce bien",Maison 3 pièces40m²0m²
18,"44 CITE JOUFFROY RENAULT
92110 CLICHY","775 600€
8 618€/m²","Vendu le 25/05/2020
Analyser ce bien",Maison 3 pièces90m²55m²
19,"11 RUE NAVOISEAU
93100 MONTREUIL","680 500€
6 481€/m²","Vendu le 19/05/2020
Analyser ce bien",Maison 4 pièces105m²33m²
20,"29 RUE BOIELDIEU
93500 PANTIN","545 800€
6 822€/m²","Vendu le 18/05/2020
Analyser ce bien",Maison 3 pièces80m²108m²
21,"49A RUE DU SAHEL
75012 PARIS","313 902€*
8 049€/m²","Vendu le 10/03/2020
Analyser ce bien",Maison 2 pièces39m²48m²*
22,"47 RUE LOUIS DAVID
93170 BAGNOLET","300 000€
7 500€/m²","Vendu le 26/02/2020
Analyser ce bien",Maison 2 pièces40m²61m²
23,"51 RUE GAMBETTA
93400 SAINT-OUEN-SUR-SEINE","30 169€*
419€/m²","Vendu le 07/02/2020
Analyser ce bien",Maison 3 pièces72m²96m²
24,"155 AV DU GEN DE GAULLE
92170 VANVES","3 000 000€
18 987€/m²","Vendu le 06/02/2020
Analyser ce bien",Maison 8 pièces158m²995m²
25,"99 RUE PAUL DE KOCK
93230 ROMAINVILLE","570 000€
5 876€/m²","Vendu le 20/01/2020
Analyser ce bien",Maison 4 pièces97m²314m²
26,"4 RUE DES MESSIERS
93100 MONTREUIL","615 000€
7 500€/m²","Vendu le 30/12/2019
Analyser ce bien",Maison 5 pièces82m²87m²
27,"20 AV PIERRE LAROUSSE
92240 MALAKOFF","550 000€
6 962€/m²","Vendu le 27/12/2019
Analyser ce bien",Maison 3 pièces79m²240m²
28,"10 RUE ROGER GOBAUT
93500 PANTIN","477 000€
7 950€/m²","Vendu le 05/12/2019
Analyser ce bien",Maison 3 pièces60m²228m²
29,"112B AV DE LA DHUYS
93170 BAGNOLET","350 000€
8 333€/m²","Vendu le 29/11/2019
Analyser ce bien",Maison 2 pièces42m²94m²
30,"114 BD CAMELINAT
92240 MALAKOFF","680 000€
11 333€/m²","Vendu le 13/11/2019
Analyser ce bien",Maison 3 pièces60m²330m²
31,"10 RUE JULES DAVID
93260 LES LILAS","572 016€*
13 952€/m²","Vendu le 30/10/2019
Analyser ce bien",Maison 2 pièces41m²131m²*
32,"51 RUE ANTOINE THOMAS
94200 IVRY-SUR-SEINE","265 000€
6 463€/m²","Vendu le 18/10/2019
Analyser ce bien",Maison 3 pièces41m²0m²
33,"16 RUE FALLET
92400 COURBEVOIE","850 000€
14 167€/m²","Vendu le 29/08/2019
Analyser ce bien",Maison 4 pièces60m²130m²
34,"90 RUE FRANCOIS ARAGO
93100 MONTREUIL","218 163€*
2 397€/m²","Vendu le 12/07/2019
Analyser ce bien",Maison 4 pièces91m²1576m²*
35,"17 RUE BERTHELOT
94200 IVRY-SUR-SEINE","500 000€
7 143€/m²","Vendu le 24/04/2019
Analyser ce bien",Maison 3 pièces70m²215m²
36,"2B PAS CHARLES ALBERT
75018 PARIS","675 000€
9 000€/m²","Vendu le 21/02/2019
Analyser ce bien",Maison 2 pièces75m²65m²
37,"7 IMP CESAIRE
92240 MALAKOFF","380 000€
6 786€/m²","Vendu le 30/01/2019
Analyser ce bien",Maison 2 pièces56m²85m²
38,"48 RUE DE LA BEAUNE
93100 MONTREUIL","717 000€
8 056€/m²","Vendu le 04/01/2019
Analyser ce bien",Maison 4 pièces89m²81m²
39,"4 RUE HENRI MARTIN
93310 LE PRÉ-SAINT-GERVAIS","540 000€
4 909€/m²","Vendu le 04/01/2019
Analyser ce bien",Maison 5 pièces110m²153m²
