,État,Designer,Taille,En ligne depuis le,nom,prix
0,Correct,SISLEY,S International,2022-02-05,"col roulé Sisley unisexe. en laine avec côtes horizontales dans la partie centrale et verticales aux poignets, à la fin et au col.Traduire",17 €
1,Jamais porté avec étiquette,Trussardi,XL International,2020-10-06,Pull col roulé unisexe marron en laine et acrylique. Correspond à la taille indiquée sur l'étiquette. Petit logo en bas.Traduire,"115 €
+15 € Contrôle et authentification"
2,Très bon état,Hartford,XL International,2021-02-05,"Pull col roulé fluide en laine et cachemire 
Peut se porter unisexTraduire","75 €
+15 € Contrôle et authentification"
3,Bon état,Dolce & Gabbana,50 IT,2018-04-06,Col roulé en laine mérinos avec lettres SNOV en morceaux de la même laine cousus sur le dessus. Il est droit sans élastique. Il peut être unisexe .... Longueur des manches 67cm.Traduire,130 €
4,Bon état,Balenciaga,38 FR,2022-02-16,Tunique col roulé en laine noire Balenciaga dos drapé manches longues. Taille de l'étiquette d'entretien : 38. Taille : UK 10 | États-Unis 6 | UE 38. 100% Laine. Condition excellente. L'article montre des signes d'utilisation douce. Veuille...Lire la suiteTraduire,"91,92 €
+15 € Contrôle et authentification"
5,Jamais porté avec étiquette,Trussardi,XL International,2020-10-04,Pull col roulé unisexe bleu foncé en laine et acrylique. Correspond à la taille indiquée sur l'étiquette. Petit logo en bas.Traduire,"115 €
+15 € Contrôle et authentification"
6,Jamais porté avec étiquette,Trussardi,L International,2020-10-04,Pull col roulé unisexe bleu foncé en laine et acrylique. Correspond à la taille indiquée sur l'étiquette. Petit logo en bas.Traduire,"115 €
+15 € Contrôle et authentification"
7,Très bon état,Isabel Marant Etoile,Taille Unique FR,2021-11-27,"Poncho/cape col roulé en laine mélangée multi-patchwork aux tons gris. 
Le style est connu sous le nom de « Raquel » et comporte un tricot multi-texturé sur le devant et un tricot uni à l'arrière.
Un look surdimensionné qui flatte toutes le...Lire la suiteTraduire",466 €
8,Jamais porté,Caramel,M International,2020-03-05,"Superbe pull à col roulé en laine Caramel pour femmes. Acheté l'automne dernier mais jamais porté. Convient au Royaume-Uni 6-12 pour un joli look surdimensionné. 100% laine. De la maison sans animaux et sans fumée. 
 
Traduire","121,29 €
+15 € Contrôle et authentification"
9,Bon état,Calvin Klein Collection,L International,2022-02-20,"Collection Calvin Klein - Pull noir à col roulé en laine tricotée.
Taille L, mais convient également à M.
100 % pure laine vierge.
Maille structurée de type 2.[[2] ]] Doublé uni sur le col roulé et le bas. Autre- sur le corps et les manches...Lire la suiteTraduire","49,79 €
+15 € Contrôle et authentification"
10,Bon état,Balmain,36 FR,2022-01-28,Pull Col Roulé Balmain en laine mélangée noire à col montant. Taille de l'étiquette d'entretien : 36. Taille : UK 8 | États-Unis 4 | UE 36. Mohair 42%; 40 % polyamide ; 18% Laine. Condition excellente. L'article montre des signes d'utilisat...Lire la suiteTraduire,"204,28 €"
