,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF SANS ÉTIQUETTE,1,"PAVIA, ITALIA",CALLIOPE ,XXL,2022-04-04 18:10:18.404121,Dolcevita in cotone,15.0,"nuovo, mai indossato"
1,TRÈS BON ÉTAT,297,"BORDEAUX, FRANCE",AMI ,L,2022-03-17 18:40:18.404425,Col Roulé AMI,280.0,Col Roulé AMI en parfait état
2,TRÈS BON ÉTAT,2,"HUMMELO, NEDERLAND",REINDERS ,XS,2022-04-04 18:19:18.404431,Glitter coltrui Reinders,15.0,"donkerblauw met glitters, enkele keer gedragen"
3,NEUF SANS ÉTIQUETTE,14,"ETTERBEEK, BELGIQUE / BELGIË",ABASI ROSBOROUGH ,M,2022-04-04 18:40:18.404434,ARC Turtleneck / Azure Blue,190.0,I bought it in New York and never worn
4,TRÈS BON ÉTAT,9,"ALGRANGE, FRANCE",EXTENSO ,XXL,2022-04-01 18:40:18.404437,Pull homme,5.0,Col zippe..en laine fine..col montant
5,TRÈS BON ÉTAT,1,"FELDBACH, FRANCE",SMOG ,M,2022-04-04 18:40:18.404439,Pull blanc col roulé,19.0,pull en très bon état qui tient chaud
6,TRÈS BON ÉTAT,1,"MILANO, ITALIA",BRUGI ,M,2022-04-04 16:40:18.404442,Micropile a mezza zip blu Brugi taglia 44,8.0,in perfette condizioni
7,TRÈS BON ÉTAT,435,"NANTES, FRANCE",C.P. COMPANY ,M,2022-03-30 18:40:18.404445,Col roulé CP Company orange,170.0,"Col roulé orange CP Company
Article plus disponible sur internet
Acheté en Italie 250€

Porté une seule fois pour a photo mais un peu trop grand pour moi"
8,TRÈS BON ÉTAT,10,FRANCE,ARMAND THIERY ,XL,2022-04-04 18:40:18.404448,Pull Armand Thiery homme,5.0,"Pull homme Armand Thiery 
taille XL 
coloris dégradé de marron 
col à pressions 
très bon état"
9,TRÈS BON ÉTAT,10,FRANCE,BASIC ONE ,L,2022-04-04 18:40:18.404450,Pull Basic One,4.0,"Pull homme Basic One
bleu marine 
taille L
fermeture éclair au niveau du col 
très bon état"
10,TRÈS BON ÉTAT,4,FRANCE,C&A ,M,2022-04-04 18:40:18.404452,Pull femme,5.0,"Pull femme
très bon état 
C&A
taille M
coloris bleu clair"
11,NEUF SANS ÉTIQUETTE,338,FRANCE,,XL / 42 / 14,2022-04-04 18:40:18.404455,Ensemble de nuit neuf,10.0,"Ensemble de nuit neuf 
taille 42/44
nuisette + peignoir 
coloris bleu"
12,NEUF AVEC ÉTIQUETTE,177,FRANCE,CAMAÏEU ,L / 40 / 12,2022-04-04 18:40:18.404457,Robe neuve Camaïeu,12.0,"Robe neuve Camaïeu 
taille 40
coloris corail 
achetée 35.99 euros"
13,TRÈS BON ÉTAT,43,"LE HAVRE, FRANCE",COODRONY ,XL,2022-03-30 18:40:18.404460,pulls,25.0,"vend pull col roulé en cachemire, taille slim.peu porté"
14,TRÈS BON ÉTAT,2,"TENTELING, FRANCE",CELIO PRESTIGE ,L,2022-04-04 18:40:18.404462,Pull-over homme col roulé,25.0,"55% Soie 
45% cachemire 
porté quelques fois"
15,TRÈS BON ÉTAT,69,ITALIA,ARMAND THIERY ,XXXL,2022-03-28 18:40:18.404465,Armand Thiery/AT Company,15.0,Maglietta Armand Thiery AT Company Bella
16,NEUF SANS ÉTIQUETTE,49,"HAUBOURDIN, FRANCE",NEW YORKER ,XS,2022-04-04 18:40:18.404467,Col roulé gris,10.0,col roulé gris 100% coton
17,TRÈS BON ÉTAT,167,"NANTES, FRANCE",ARTE ,M,2022-04-04 18:40:18.404469,Pull Arte marron,60.0,"Pull/Sweat de qualité col roulé col cheminé marron.
Taille M 
Porté 5-6 fois
Très bon état
Arte Antwerp"
18,TRÈS BON ÉTAT,7,"DAINVILLE, FRANCE",BERETTA ,L,2022-04-04 15:40:18.404472,Beretta pull,35.0,Pull beretta
19,BON ÉTAT,4,"CASTELNOVO DI SOTTO, ITALIA",OVS ,XXL,2022-03-25 18:40:18.404475,Maglia a collo alto OVS,10.0,Taglia XXL in buone condizioni
20,NEUF SANS ÉTIQUETTE,1,"WERKHOVEN, NEDERLAND",REINDERS ,XS,2022-04-04 16:40:18.404477,Reinders Pull,8.0,"niet gedragen, alleen waslabel eruit geknipt"
