,État,Designer,Taille,En ligne depuis le,nom,prix
0,Très bon état,Balenciaga,40 FR,2014-04-23,T shirt Balenciaga Noir esprit rock . Longueur manches 36 cm Traduire,120 €
1,Très bon état,Balenciaga,S ,2016-02-20,T-shirt. La partie supérieure est décorée d'un ornement en caoutchouc. Sera sur XS-STraduire,57 €
2,Très bon état,Burberry,6 months - until 26.5 inches ,2015-04-26,"Burberry T-shirt
Size 6 MTraduire",26 €
3,Très bon état,Sandro, ,2015-10-20,"T SHIRT SANDRO BLANC TAILLE 3 JUST COOL IT COTON BLANC INSCRIPTION FLUO 
ETE 2015 PARFAIT ETAT Traduire",29 €
4,Bon état,Balenciaga,36 FR,2014-08-19,T-shirt Balenciaga. Peu porté.Traduire,55 €
5,Très bon état,Givenchy,S ,2014-09-04,Unworn Givenchy long T-shirt. Size small. Stretchy material. Traduire,68 €
6,Très bon état,Marques Almeida,XS International,2016-07-12,Tout nouveau haut de style t-shirt Marques Almeida. Détail de motif cool. Couleur bleu / vert. Fermeture éclair à l'arrière. Taille XS. Étiquette toujours attachéeTraduire,"107,24 €"
7,Bon état,Non Signé / Unsigned,L International,2021-01-27,"Navy blue and white line cotton t-shirt, round collar, short sleeves, press stud up to the waist, a grey cotton band at the bottom. No size chip, estimation size L. No composition label, estimation cotton majority. Measurements: total lengt...Lire la suiteTraduire","23,09 €"
8,Très bon état,Carven,L ,2015-07-30,"SUPERBE T SHIRT CARVEN BLEU MARNE FLEURS ROSE 
MATIERE COTON ET STRETCH EPAIS 
TAILLE L TRES BON ETATTraduire",44 €
9,Très bon état,Givenchy,M International,2016-03-11,"T-shirt en coton blanc Givency avec détails sur tout le décolleté (devant et dos) en tulle représentant des crânes 
 Utilisé deux foisTraduire",200 €
10,Très bon état,Sandro, ,2013-11-09,"Super mignon Top Sandro en excellent état, porté seulement quelques fois. 100% Tencel.Traduire","48,12 €"
11,Très bon état,Yves Saint Laurent,38 FR,2015-07-24,"YSL t-shirt sans manche, en coton doux, motif serpent brodé tout autour du cou devant et derrière. Très beau à porter au dessous d'une veste. Très peu porté.  100% coton, made in Italy. Largeur au fond: 43,5 cm.Traduire","92,94 €"
12,Très bon état,See by Chloé,42 FR,2014-03-07,"T-shirt blanc cassé avec imprimé cordage et pompons noirs, coupe loose.
Composition : 70% viscose 30% lin.
Largeur poitrine : 50 cm.
Traduire","50 €
+15 € Contrôle et authentification"
13,Très bon état,Christopher Kane,XS ,2014-10-03,"Nouveau T-shirt Christopher Kane, avec motif fleurs violettes sur le devant. Blanc uni au dos. Fabriqué à 100% en coton fin de la meilleure qualité. Taille XS, mais conviendrait également à la taille S car elle est un peu plus grande. Très ...Lire la suiteTraduire","106,41 €"
14,Très bon état,Burberry,18 mois - jusqu'à 81cm ,2013-02-24,"Joli t-shirt classique Burberry en coton beige. Taille 18m/86cm. Col ras du cou, manches courtes de 10 cm et logo devant tartan. Deux boutons gravés la marque au cou. En très bon état. Dimensions : l 36cm, carrure 25cm, niv. poitrine 30cm.Traduire",30 €
15,Bon état,Burberry,L ,2015-09-02,"Porté, mais en très bon étatTraduire",44 €
16,Très bon état,Philipp Plein,S ,2015-03-10,"- blanc avec application kaki et or
- plus long derrière
- 55% coton, 45% polyesterTraduire",44 €
17,Très bon état,Calvin Klein,S ,2015-08-08,T-shirt Calvin Klein Tg avec écriture Swarovski payé 120 eurosTraduire,26 €
18,Très bon état,Iro,38 FR,2014-06-13,"T-shirt manches courtes modèle LEANEL écru 100% coton, motif ajouré sur le buste, épaulettes.Traduire",35 €
19,Très bon état,Diane Von Furstenberg, ,2013-05-15,"T-shirt de marque DIANE VON FURSTENBERG Limited Edition Produced by Buddhist Punk n° 494/500
100% rayon.
Tissu assez fin et très agréable à porter.
Sérigraphié Diana Von Fürstenberg.
Mesures, à plat: (sans tirer sur le tissu qui est str...Lire la suiteTraduire",77 €
20,Très bon état,Jonathan Saunders,XS ,2014-06-06,"T-shirt noir avec impression sur le devant. Col rond. Composition: 100% coton. Mesures prises à plat: largeur poitrine 48 cm, largeur taille 44 cm, longueur manche 13 cm.Traduire","49,37 €
+15 € Contrôle et authentification"
21,Très bon état,Bonpoint,3 ans - jusqu'à 98cm ,2015-06-11,"Couleur ardoise, taille grande coupe ampleTraduire",29 €
22,Très bon état,Wowo,12 ans - XS ,2014-03-03,"Bleu, imprimé devant, uni derriereTraduire",22 €
23,Très bon état,Bonpoint,18 mois - jusqu'à 81cm ,2015-06-11,En coton Traduire,19 €
24,Correct,Dsquared2,M ,2015-04-09,100% CotonTraduire,19 €
25,Très bon état,Rick Owens Lilies,44 IT,2014-07-28,T shirt Rick owens T 44 Traduire,120 €
26,Très bon état,Lili Gaufrette,12 mois - jusqu'à 74cm ,2014-01-31,"T-shirt à manches longues, lili gaufrette, taille 1 an, en parfait état.
Colori dominant, rose pale, avec au centre le dessin d'un biberon gris clair, cerclé de petites perles et noeud en ruban.
2 petits bouton nacrés rose au dos pour fer...Lire la suiteTraduire",17 €
27,Très bon état,Zadig & Voltaire,S ,2015-02-06,Top blanc simple et beau pour toutes les saisons par ZADIG & VOLTAIRE. Dans de très bonnes conditionsTraduire,62 €
28,Très bon état,Marc Jacobs,S ,2015-10-22,T-shirt 100% laine bleu col V. ParfaitTraduire,"215,29 €"
29,Très bon état,Givenchy,36 FR,2015-03-03,"Red cotton lace broderie t shirt Givenchy

Size XS cotton 100 %Traduire","348,53 €"
30,Très bon état,Balmain,38 FR,2015-03-28,"T shirt cotton Balmain
Size 38 France 
Green, black
Perfect condizionTraduire",240 €
31,Très bon état,Givenchy,36 FR,2015-03-06,T shirt coton GIVENCHY taille XS colore Haki FranceTraduire,"220,33 €"
32,Très bon état,Balmain,38 FR,2015-03-12,"T shirt Balmain 
 100 coton 
 Couleur crème, impression Leon 
 Nouveau! Taille 38 FranceTraduire","214,12 €"
33,Très bon état,Sonia Rykiel,,2011-07-04,"Ligne principale de la creatrice, un top a son image fait de velour avec les coutures a l envers..
Sr sur la poitrineTraduire",72 €
34,Très bon état,Sonia Rykiel,S ,2015-10-27,Très peu porté Traduire,57 €
35,Très bon état,Miu Miu,S ,2015-01-28,T-shirt simple noir pour les jours de folie. Dans de très bonnes conditionsTraduire,79 €
36,Très bon état,Givenchy,XS ,2015-04-08,"Top Givenchy
Size XS over
Black viscosa/elastan con star in tweed
Traduire","312,94 €"
37,Très bon état,Maje,1 ,2016-07-15,"Tee shirt manches courtes Maje taille 1.
Présence de fentes trous sur les deux côtés du terrain shirt.
Composition 80% coton et 20% laine.
Traduire",54 €
38,Très bon état,Iro,40 FR,2015-10-08,"IRO
T-shirt 
100% lin
longueur : 67 cm
largeur sous aisselle : 52 cmTraduire","79 €
+15 € Contrôle et authentification"
39,Très bon état,Emanuel Ungaro,42 IT,2016-09-07,"Emanuel Ungaro Tshirt 
 Jaune Pois noir 
 Derrière blanca Pois noir 
 Nouveau 
Traduire","120 €
+15 € Contrôle et authentification"
40,Très bon état,Dolce & Gabbana,40 IT,2015-05-08,"100% authentique Dolce Gabbana T-shirt en cuir blanc et python 
 
 Par Dolce Gabbana, nous avons ici ce superbe top !! 
 Le t-shirt collard super unique est composé de cuir Python côtelé viscose et coton. 
 Le haut a des manches courtes et ...Lire la suiteTraduire","185 €
+15 € Contrôle et authentification"
41,Très bon état,Claudie Pierlot,40 FR,2015-08-26,"- T-shirt étwisté Claudie Pierlot
- taille 40
- en état impeccable, comme neuf
- 69 % coton, 31 % lin
- carrure 40 cm
- poitrine 45 cm
- longueur 61 cm
- manches 45 cmTraduire","60 €
+15 € Contrôle et authentification"
42,Très bon état,Dkny,M ,2015-12-12,"Pull, col rond, manches courtes, paillettes. 
 Aucun défaut en excellent état 
 70% laine d'agneau 
 20% angora 
 10% nylonTraduire",45 €
43,Très bon état,Bonpoint,6 mois - jusqu'à 67cm ,2015-06-02,"T Shirt manches longues de marque Bonpoint
Taille : 6 mois (taille grand)
État neuf
100% coton, motif voiture mini sur le devant
Traduire",24 €
44,Très bon état,Bonpoint,4 ans - jusqu'à 102cm ,2015-08-20,Écru avec motif corail et vert Traduire,29 €
45,Très bon état,Bonpoint,12 mois - jusqu'à 74cm ,2015-06-02,"T Shirt vert (avec encolure et contour des manches rose dragée) de marque Bonpoint en taille 12 mois
État neuf
100% coton, motif grenouille sur le devantTraduire",24 €
46,Très bon état,Stella McCartney Kids,3 mois - jusqu'à 60cm ,2015-02-04,"Très joli t-shirt Stella Mccartney kids pour garçon ou fille.
Comme neuf, porté seulement 1 fois.Traduire",17 €
47,Très bon état,Bonpoint,6 ans - jusqu'à 114cm ,2015-08-20,"Maille légère , 2 poches avant , couleur ardoiseTraduire",34 €
