,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF AVEC ÉTIQUETTE,112,FRANCE,VETEMENTS ,M,2022-04-09 19:57:16.549385,T-Shirt Vetements Édition Limitée,160.0,"T-Shirt neuf avec étiquettes 
Onesize correspond à une taille M"
1,NEUF AVEC ÉTIQUETTE,44,"TOULON, FRANCE",TWIGGY CREATIVE UNIVERSE ,M,2022-04-09 16:57:16.550875,T shirt Twiggy creative universe,25.0,"T shirt 100% coton noir délavé de la marque Française de Streetwear Twiggy creative universe en collaboration avec l'artiste de Street art Olivier Welsch.
Serie limitée.
Dessin gris dans le dos
Neuf avec étiquette"
2,BON ÉTAT,13,"MALDEN, NEDERLAND",ARC'TERYX ,S,2022-04-09 19:42:16.550888,Preformance t-shirt,15.0,100% katoen wel gederagen ziet er netjes uit
3,TRÈS BON ÉTAT,2,FRANCE,ZARA ,L,2022-04-09 19:46:16.550891,T-shirt Zara,5.0,quasi neuf ( porté que quelques fois )
4,TRÈS BON ÉTAT,61,"LEIDEN, NEDERLAND",ACNE STUDIOS ,M,2022-04-09 15:57:16.550895,Acne Studios neck t shirt (XS),70.0,"Valt heel oversized (als een M/L normale shirts, ben zelf 1.83) 
Heel weinig gedragen"
5,NEUF SANS ÉTIQUETTE,161,"MONTOPOLI IN VAL D'ARNO, ITALIA",PHILIPP PLEIN ,M,2022-04-03 19:57:16.550898,T-shirt Philipp Plein,170.0,Più compi meno spendi 👍🏻😉
6,TRÈS BON ÉTAT,13,FRANCE,LACOSTE ,S,2022-04-09 19:57:16.550901,T-shirt à manche longue Lacoste,35.0,"Très bon état 
Taille S"
7,NEUF SANS ÉTIQUETTE,27,"GROSSETO, ITALIA",MARCELO BURLON ,XL,2022-04-09 15:57:16.550903,T shirt Marcelo Burlon,50.0,"Ottime condizioni 
XL 
#burlon #marceloburlon #countyofmilan"
8,TRÈS BON ÉTAT,97,"TOURLAVILLE, FRANCE",REEBOK ,L,2022-04-09 19:57:16.550906,Tee shirt,7.0,Tee shirt manches longues
9,TRÈS BON ÉTAT,13,"TOURLAVILLE, FRANCE",GAASTRA ,L / 40 / 12,2022-04-06 19:57:16.550909,Tee shirt bleu,8.0,Bon etat
10,NEUF SANS ÉTIQUETTE,43,"TOURLAVILLE, FRANCE",ESPRIT ,XXL,2022-04-09 19:57:16.550911,Tee shirt,5.0,Tee shirt jamais porté
