,État,Marque,Date,nom,Prix,Description,keep,cat
0,TRÈS BON ÉTAT,MONDAY DENIM,2022-04-04,JEAN FEMME TAILLE 38 TRÈS BON ÉTAT PUSH UP,8.0,"JEAN FEMME TAILLE 38 TRÈS BON ÉTAT PUSH UP
LONG TOTAL 97 CM ENTRE JAMBE 77 CM BAS DES JAMBES 13 CM LARGEUR TAILLE A PLAT PRIT D UN COTER 38 CM AVEC ELASTANE",False,UltraFastFashion
1,TRÈS BON ÉTAT,SALSA,2022-04-04,JEAN FEMME SALSA LIFE TAILLE 36 TRÈS BON ÉTAT,8.0,JEAN FEMME TAILLE 36 SALSA LIFE LARGEUR TAILLE A PLAT PRIT D UN COTER 37 CM AVEC ELASTANE LONG TOTAL 104 CM ENTRE JAMBE 86 CM BAS DE LA JAMBE 14 CM,False,UltraFastFashion
2,TRÈS BON ÉTAT,MANGO,2022-03-30,JEAN MOM FEMME,12.0,"BONJOUR,
ARTICLE TRÈS PEU PORTÉ ET EN PARFAIT ÉTAT. AUCUN DÉFAUT, AUCUNE COUTURE QUI DÉPASSE.
N’HÉSITEZ PAS À VENIR M’ENVOYER UN MESSAGE PRIVÉ.",False,FastFashion
3,NEUF SANS ÉTIQUETTE,LEVI'S,2022-04-04,JEAN LEVIS 629 BOOTCUT,17.0,"JEAN NEUF SANS ÉTIQUETTES, JAMAIS PORTÉ",False,FastFashion
4,TRÈS BON ÉTAT,ZARA,2022-04-04,JEAN KAKI ZARA TAILLE 38 TRÈS BON ÉTAT,8.0,"JEAN FEMME KAKI ZARA TAILLE 38 TRÈS BON ÉTAT
LONG TOTAL 98 CM ET ENTRE JAMBE 71 CM BAS DES JAMBES 12 CM LARGEUR TAILLE A PLAT PRIT D UN COTER 35 CM AVEC ELASTANE",False,FastFashion
5,TRÈS BON ÉTAT,SALSA,2022-04-04,JEAN FEMME TAILLE 38 SALSA LIFE TBE,9.0,"JEAN FEMME TAILLE 38 SALSA LIFE TRÈS BON ÉTAT
LARG TAILLE PRIT À PLAT D UN COTER 37 CM LONG TOTAL 106 CM ENTRE JAMBE 81CM BAS DES JAMBES 15 CM LARGEUR HAUT DES CUISSES PRIT À PLAT D UN COTER 24 CM AVEC ELASTANE",False,UltraFastFashion
6,BON ÉTAT,BOUTIQUE INDÉPENDANTE,2022-04-04,JEAN FEMME TAILLE 34 TRÈS BON ÉTAT,7.0,JEAN FEMME TAILLE 34 TRÈS BON ÉTAT LARGEUR TAILLE PRIT À PLAT D UN COTER 33 CM LONG TOTAL 91 CM ENTRE JAMBE 71 CM BAS DES JAMBES 14 CM,False,UltraFastFashion
7,TRÈS BON ÉTAT,SALSA,2022-04-04,JEAN FEMME TAILLE 36 TRÈS BON ÉTAT SALSA LIFE,9.0,JEAN FEMME TAILLE 36 TRÈS BON ÉTAT SALSA LIFE LARGEUR TAILLE PRIT À PLAT D UN COTER 35 CM AVEC ELASTANE LONG TOTAL 100 CM ZIPER EN BAS COTER ENTRE JAMBE 77 CM BAS DES JAMBES 14 CM LARGEUR HAUT DES CUISSES PRIT À PLAT D UN COTER 24 CM QUASIMENT NEUF,False,UltraFastFashion
8,TRÈS BON ÉTAT,H&M,2022-04-04,VAQUEROS,20.0,VAQUEROS DE LA TALLA 50,False,FastFashion
9,BON ÉTAT,HP,2022-04-04,VAQUEROS TALLA GRANDE,15.0,VAQUEROS TALLA 50.,False,UltraFastFashion
10,TRÈS BON ÉTAT,H&M,2022-04-04,PANTALÓN VAQUERO,20.0,PANTALÓN VAQUERO PARA VERANO A RAYAS,False,FastFashion
11,TRÈS BON ÉTAT,LEVI'S,2022-03-20,PANTALÓN LEVIS,55.0,PANTALON LEVI’S 514,False,FastFashion
12,NEUF SANS ÉTIQUETTE,ZARA,2022-04-04,CAMISA ESTILO ROMÁNTICO,25.0,"CAMISA BLANCA, ESTILO VINTAGE.",False,FastFashion
13,NEUF SANS ÉTIQUETTE,LEVI'S,2022-04-04,JEAN LÉVIS,20.0,JEAN LÉVIS NEUF JAMAIS PORTÉ TAILLE 32/32,False,FastFashion
14,NEUF SANS ÉTIQUETTE,LEVI'S,2022-04-04,JEAN LÉVIS NEUF,20.0,JEAN LÉVIS GRIS COULEUR RARE NEUF,False,FastFashion
