,État,Marque,Date,nom,Prix,Description,keep,cat
0,NEUF AVEC ÉTIQUETTE,VETEMENTS,2022-04-09,T-SHIRT VETEMENTS ÉDITION LIMITÉE,160.0,"T-SHIRT NEUF AVEC ÉTIQUETTES 
ONESIZE CORRESPOND À UNE TAILLE M",True,Undefined
1,NEUF AVEC ÉTIQUETTE,TWIGGY CREATIVE UNIVERSE,2022-04-09,T SHIRT TWIGGY CREATIVE UNIVERSE,25.0,"T SHIRT 100% COTON NOIR DÉLAVÉ DE LA MARQUE FRANÇAISE DE STREETWEAR TWIGGY CREATIVE UNIVERSE EN COLLABORATION AVEC L'ARTISTE DE STREET ART OLIVIER WELSCH.
SERIE LIMITÉE.
DESSIN GRIS DANS LE DOS
NEUF AVEC ÉTIQUETTE",True,Undefined
2,BON ÉTAT,ARC'TERYX,2022-04-09,PREFORMANCE T-SHIRT,15.0,100% KATOEN WEL GEDERAGEN ZIET ER NETJES UIT,True,Undefined
3,TRÈS BON ÉTAT,ZARA,2022-04-09,T-SHIRT ZARA,5.0,QUASI NEUF ( PORTÉ QUE QUELQUES FOIS ),True,FastFashion
4,TRÈS BON ÉTAT,ACNE STUDIOS,2022-04-09,ACNE STUDIOS NECK T SHIRT (XS),70.0,"VALT HEEL OVERSIZED (ALS EEN M/L NORMALE SHIRTS, BEN ZELF 1.83) 
HEEL WEINIG GEDRAGEN",True,Fashion
5,NEUF SANS ÉTIQUETTE,PHILIPP PLEIN,2022-04-03,T-SHIRT PHILIPP PLEIN,170.0,PIÙ COMPI MENO SPENDI 👍🏻😉,True,UltraFashion
6,TRÈS BON ÉTAT,LACOSTE,2022-04-09,T-SHIRT À MANCHE LONGUE LACOSTE,35.0,"TRÈS BON ÉTAT 
TAILLE S",True,Fashion
7,NEUF SANS ÉTIQUETTE,MARCELO BURLON,2022-04-09,T SHIRT MARCELO BURLON,50.0,"OTTIME CONDIZIONI 
XL 
#BURLON #MARCELOBURLON #COUNTYOFMILAN",True,Undefined
8,TRÈS BON ÉTAT,REEBOK,2022-04-09,TEE SHIRT,7.0,TEE SHIRT MANCHES LONGUES,False,FastFashion
9,TRÈS BON ÉTAT,GAASTRA,2022-04-06,TEE SHIRT BLEU,8.0,BON ETAT,False,Undefined
10,NEUF SANS ÉTIQUETTE,ESPRIT,2022-04-09,TEE SHIRT,5.0,TEE SHIRT JAMAIS PORTÉ,False,Undefined
11,BON ÉTAT,FREEQUENT,2022-04-06,TEE-SHIRT,3.0,BON. ÉTAT,False,Undefined
12,TRÈS BON ÉTAT,ROXY,2022-04-06,TEE-SHIRT,4.0,BON ÉTAT,False,Undefined
13,TRÈS BON ÉTAT,RALPH LAUREN,2022-04-09,T-SHIRT MANCHE LONGUE RALPH LAUREN,20.0,"ENVOIE SOUS 24H 📦
T-SHIRT MANCHE LONGUE RALPH LAUREN 🐎
TAILLE : S",True,Fashion
14,NEUF AVEC ÉTIQUETTE,CHEVIGNON,2022-04-09,T-SHIRT CHEVIGON NEUF,28.0,"JAMAIS PORTÉ 
NEUF AVEC EMBALLAGE 
XL MAIS CORRESPOND À UN L",True,Undefined
15,NEUF SANS ÉTIQUETTE,MANO,2022-04-09,T-SHIRT RICAMATA A MANO,25.0,RICAMATA A MANO #EMBROIDERY #RICAMO #HANMADE #FLOWERS @MISHIRT.HANDMADE,True,Undefined
16,TRÈS BON ÉTAT,THE KOOPLES,2022-04-09,T-SHIRT THE KOPPLES,45.0,"COMME NEUF 
TAILLE M",True,Undefined
17,TRÈS BON ÉTAT,nan,2022-04-09,T-SHIRT TAILLE 46/48,4.0,"PORTÉ QUELQUES FOIS, TRÈS BON ÉTAT",True,Undefined
18,TRÈS BON ÉTAT,RALPH LAUREN,2022-04-09,T-SHIRT RALPH LAUREN,18.0,"T-SHIRT MANCHES COURTES RALPH LAUREN EN TAILLE XL EN EXCELLENT ÉTAT.

#TSHIRT #TSHIRTOVERSIZE #TSHIRTVINTAGE #VINTAGE #RALPHLAUREN #POLORALPHLAUREN #TSHIRTRALPHLAUREN",True,Fashion
19,NEUF AVEC ÉTIQUETTE,NIKE,2022-04-09,T-SHIRT NIKE,17.0,T-SHIRT NIKE NEUF JAMAIS PORTÉ,True,FastFashion
20,TRÈS BON ÉTAT,PATRIZIA PEPE,2022-04-09,T-SHIRT MANICHE LUNGHE PATRIZIA PEPE TG S,10.0,BELLISSIMA IN LINO. PARTICOLARE IL RETRO CON BALZE. INDOSSATA SOLO UNA VOLTA. BELLA SU UN JEANS O UN PANTALONE.,True,Undefined
21,NEUF SANS ÉTIQUETTE,VERSACE,2022-04-09,T-SHIRT VERSACE BLACK,70.0,"MANICHE CORTE 
COLORE: NERA/ORO
PREZZO NON TRATTABILE",True,UltraFashion
22,TRÈS BON ÉTAT,RALPH LAUREN,2022-04-09,POLO T-SHIRT RALPH LAUREN,24.9,"POLO T-SHIRT RALPH LAUREN 
TAGLIA XL 
COLORE VERDE 
OTTIME CONDIZIONI 🤩
#RALPHLAUREN #POLO #RALPHLAURENPOLO #TSHIRT",True,Fashion
23,NEUF SANS ÉTIQUETTE,LEVI'S,2022-04-09,T SHIRT FEMME,25.0,"NEUF SANS ÉTIQUETTE 
2XL DONC 46/48",True,FastFashion
24,NEUF SANS ÉTIQUETTE,PHILIPP PLEIN,2022-04-09,MAGNIFIQUE T-SHIRT PHILIP PLEIN.,65.0,"TAILLE S, JAMAIS MIS.
ALLEZ VOIR MON DRESSING.",True,UltraFashion
25,NEUF AVEC ÉTIQUETTE,EMPORIO ARMANI,2022-04-09,MAGNIFIQUE T-SHIRT EMPORIO ARMANI NEUF AVEC ÉTIQUETTE TAILLE S,60.0,"MAGNIFIQUE T-SHIRT EMPORIO ARMANI NEUF AVEC ÉTIQUETTE TAILLE S, 100% AUTHENTIQUE AVEC CERTIFICAT. COULEUR ROUGE. 100% COTON.

CONSEIL TAILLE : PRENDRE SA TAILLE HABITUELLE.",True,Undefined
26,TRÈS BON ÉTAT,THE KOOPLES,2022-04-09,T-SHIRT THE KOPPLES,45.0,"TRÈS BON ÉTAT 
TAILLE M",True,Undefined
27,NEUF SANS ÉTIQUETTE,SHEIN,2022-04-09,PETIT T-SHIRT,5.0,PETIT T-SHIRT POUR L’ÉTÉ SHEIN,True,UltraFastFashion
28,TRÈS BON ÉTAT,NOBRAND,2022-04-09,T-SHIRT BIANCA CON STAMPA FATTA A MANO,17.0,"IN OTTIME CONDIZIONI, STAMPA FATTA A MANO",True,Undefined
29,TRÈS BON ÉTAT,SUBDUED,2022-04-09,LEUKE T-SHIRT,7.5,"LEUK -SHIRT VAN SUBDUED, MAAT XS

•WIL JE MEER WETEN WAT VOOR MATERIAAL HET IS OF IETS ANDERS !! DAN KAN IK ALTIJD VOOR JE KIJKEN
•VERZENDEN DOE IK BINNEN DE 4 DAGEN 
•VASTE PRIJS",True,Undefined
30,TRÈS BON ÉTAT,SUPERDRY,2022-04-09,T SHIRT LOGO VINTAGE SUPERDRY GRIS XXL,11.5,LOGO EFFET VINTAGE TRÉS BON ÉTAT,True,Fashion
31,NEUF AVEC ÉTIQUETTE,GUCCI,2022-04-09,T-SHIRT GUCCI X DISNEY,130.0,"NUOVO CON CARTELLINO
TAGLIA XXL
ORIGINALE
VENDO PER TAGLIA SBAGLIATA

NOUVEAU AVEC L'ÉTIQUETTE
TAILLE XXL
ORIGINAL
JE VENDS POUR LA MAUVAISE TAILLE",True,UltraFashion
32,NEUF AVEC ÉTIQUETTE,RALPH LAUREN,2022-04-09,T-SHIRT RALPH LAUREN,30.0,"T-SHIRT D'INTÉRIEUR DROIT POLO RALPH LAUREN EN COTON EST MUNI D'UN COL ROND CÔTELÉ ET DU PONY BRODÉ EN CONTRASTE SUR LE CÔTÉ GAUCHE DE LA POITRINE.
100% COTON
JAMAIS PORTÉ 
NEUF 
COULEUR NOIR

TAILLE : L

#RALPHLAUREN #TSHIRT #HOMME #TSHIRTRALPHLAUREN #RALPHLAURENHOMME #TSHIRTHOMME",True,Fashion
33,TRÈS BON ÉTAT,SUPERDRY,2022-04-06,T SHIRT LOGO SUPERDRY XXL NOIR,10.0,TRÉS BON ÉTAT,True,Fashion
34,NEUF AVEC ÉTIQUETTE,RALPH LAUREN,2022-04-09,T-SHIRT RALPH LAUREN,30.0,"T-SHIRT D'INTÉRIEUR DROIT POLO RALPH LAUREN EN COTON EST MUNI D'UN COL ROND CÔTELÉ ET DU PONY BRODÉ EN CONTRASTE SUR LE CÔTÉ GAUCHE DE LA POITRINE.
100% COTON
JAMAIS PORTÉ 
NEUF 
COULEUR BLANC
TAILLE : L

#RALPHLAUREN #TSHIRT #HOMME #TSHIRTRALPHLAUREN #RALPHLAURENHOMME #TSHIRTHOMME",True,Fashion
35,TRÈS BON ÉTAT,PULL & BEAR,2022-04-09,T-SHIRT PULL&BEAR,7.0,VENDO T-SHIRT USATA POCHISSIME VOLTE E IN OTTIME CONDIZIONI 💛,True,FastFashion
36,NEUF AVEC ÉTIQUETTE,AMIRI,2022-04-07,AMIRI T-SHIRT,149.9,#AMIRI #TSHIRT #DESIGNER,True,Undefined
37,NEUF AVEC ÉTIQUETTE,MOSCHINO,2022-04-09,T-SHIRT MOSCHINO,80.0,"T-SHIRT OVERSIZE DI MOSCHINO, ORIGINALE, MOLTO COOL, UNISEX, NOUOVO CON CARTELLINI, TAGLIA M",True,UltraFashion
38,TRÈS BON ÉTAT,& OTHER STORIES,2022-04-09,T-SHIRT & OTHER STORIES,20.0,"MAGLIETTA E ALTRE STORIE, TAGLIA 38 (MA È PIUTTOSTO PICCOLA, MEGLIO PER 36), USATA UNA VOLTA",True,Undefined
39,TRÈS BON ÉTAT,IDEXE,2022-04-06,SET MAGLIETE 18 MESI,10.0,"SET 3 MAGLIETTE TAGLIA 18 MESI IDEXE (UNA NUOVA CON CARTELLINO, DUE USATE POCHE VOLTE)",False,Undefined
40,TRÈS BON ÉTAT,& OTHER STORIES,2022-04-04,T-SHIRT &OTHER STORIES,20.0,"BELLISSIMA T-SHIRT MISTO COTONE E LINO, BIANCA, TAGLIA 38. USATA POCHE VOLTE",True,Undefined
41,TRÈS BON ÉTAT,MICHAEL KORS,2022-04-09,CAPOTTO CABAN MICHAEL KORS,65.0,"BELLISSIMO CABAN MICHAEL KORS, ORIGINALE, COLORE ROSSO VINO. USATO, IN PERFETTE CONDIZIONI. TAGLIA 6, MISTO LANA.",False,Undefined
42,NEUF AVEC ÉTIQUETTE,THE KOOPLES,2022-04-06,T-SHIRT THE KOOPLES,80.0,"T-SHIRT THE KOOPLES, TAILLE M, NOIR AVEC LE LOGO TIGRE, NEUF JAMAIS PORTÉ.

IDÉAL POUR LA SAISON, À PORTER AVEC UN STYLE TOTAL BLACK ! 

#THEKOOPLES #THEKOOPLESADDICT #TIGERPRINT #TIGER #TSHIRT #BLACKTSHIRT",True,Undefined
43,TRÈS BON ÉTAT,ADIDAS,2022-03-30,T-SHIRT ADIDAS ROUGE,10.0,"PORTÉ TRÈS PEU DE FOIS, TAILLE XS",True,FastFashion
44,NEUF AVEC ÉTIQUETTE,CHIARA FERRAGNI,2022-03-27,T-SHIRT CHIARA FERRAGNI,75.0,REGALO MA È UNA TAGLIA S E IO PORTO LA L L HA PAGATA 98,True,Undefined
45,NEUF SANS ÉTIQUETTE,MEGA X,2022-04-07,T-SHIRT,8.0,T-SHIRT TAILLE 46,True,Undefined
46,NEUF AVEC ÉTIQUETTE,BALENCIAGA,2022-04-06,T-SHIRT BALENCIAGA,130.0,"T SHIRT BALENCIAGA LOVE. NUOVA MAI USATA. PRODOTTO ORIGINALE AUTENTICO. PREZZO RETAIL 545€. TAGLIA M

SHIRT AMOUR BALENCIAGA. NEUF JAMAIS UTILISÉ. PRODUIT D'ORIGINE AUTHENTIQUE. PRIX BOUTIQUE 545€. TAILLE M",True,UltraFashion
47,BON ÉTAT,MISBHV,2022-04-07,MISBHV EUPHORIA T-SHIRT BLACK,75.0,ICONIC MISBHV T-SHIRT IN BLACK SIZE L,True,Undefined
