,État,Designer,Taille,En ligne depuis le,nom,prix
0,Très bon état,Levi's,32 US,2022-04-01,Jean's Levi's 510 32x32Traduire,25 €
1,Très bon état,Amiri,32 US,2022-04-04,Jean Amiri Bleu Taille 32 (look usé)Traduire,"240 €
+15 € Contrôle et authentification"
2,Très bon état,Amiri,32 US,2022-04-04,Jean Amiri Bleu Taille 32 (look usé)Traduire,"240 €
+15 € Contrôle et authentification"
3,Très bon état,Amiri,32 US,2022-04-04,Jeans amiri bleu taille 32 look kariertTraduire,"240 €
+15 € Contrôle et authentification"
4,Très bon état,Amiri,32 US,2022-04-04,Jean AMIRI noir à rayures blanches Taille 32Traduire,"300 €
+15 € Contrôle et authentification"
5,Jamais porté avec étiquette,Isabel Marant,36 FR,2022-03-28,Jean en coton Isabel Marant. tir haut Tout neufTraduire,118 €
6,Jamais porté avec étiquette,Zara,36 FR,2022-03-31,Jean en denim bleuTraduire,22 €
7,Très bon état,Jacquemus,25 US,2022-03-30,Modèle La Riviera en denim blanc large.Traduire,"120 €
+15 € Contrôle et authentification"
8,Très bon état,Études Studio,36 FR,2022-03-28,"Jean Études Studio size 46 (36 EU)

Très bon étatTraduire",54 €
9,Très bon état,Philipp Plein,36 FR,2022-04-04,Jean Philipp Plein super coupe droite. Élastiqué. Taille 34. Très bon état.Traduire,"90 €
+15 € Contrôle et authentification"
10,Très bon état,Diesel,44 FR,2022-03-31,"jean légèrement évasé, taille basseTraduire",21 €
