,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,TRÈS BON ÉTAT,47,"BARCELONA, ESPAÑA",PULL & BEAR ,S / 36 / 8,2022-04-02 14:25:07.149291,Jersey/Vestido del Pull & Bear,5.0,Jersey blanco (puede usarse como vestido) usado muy poco. Talla S. Pull & Bear. Buena calidad. No transparenta.
1,TRÈS BON ÉTAT,378,"BARCELONA, ESPAÑA",ZADIG & VOLTAIRE ,S / 36 / 8,2022-04-04 14:25:07.149540,Pull cachmere Zadig & Voltaire,110.0,"en taille S, convient à un 36/38, porté deux fois, en pafait état, 100% cachmere. #pull #zadigetvoltaire #cachemire #pullbleumarine"
2,TRÈS BON ÉTAT,168,"LEIOA, ESPAÑA",BERSHKA ,S / 36 / 8,2022-04-04 14:25:07.149548,Jersey con bufanda Pull avec echarpe multicolor,9.0,Jersey oversize multicolor con bufanda
3,TRÈS BON ÉTAT,29,"BARCELONA, ESPAÑA",LACOSTE ,L / 40 / 12,2022-03-30 14:25:07.149552,Pull Lacoste Yellow Logo Bordee L,35.0,"Expédition le jour même 📦 uniquement par DHL, UPS et Mondial Relay
🔥pull unique trés exclusive🔥
Bordeé 🧵
⚡️9/10 en parfait état⚡️
 100% d'origine🏷
Avez-vous besoin de mesures? Me demander!
 

Pull vintage Cotton camisa jersey rare vintage streetwear t sweater chaqueta abrigo cazadora harrington hoodie sudadera camisa"
4,TRÈS BON ÉTAT,37,"BARCELONA, ESPAÑA",LACOSTE ,XL / 42 / 14,2022-03-30 14:25:07.149570,Pull Lacoste Rouge Burdeos Logo Bordee XL,35.0,"Expédition le jour même 📦 uniquement par DHL, UPS et Mondial Relay
🔥pull unique trés exclusive🔥
Bordeé 🧵
⚡️9/10 en parfait état⚡️
 100% d'origine🏷
Avez-vous besoin de mesures? Me demander!
 

Pull vintage Cotton camisa jersey rare vintage streetwear t sweater chaqueta abrigo cazadora harrington hoodie sudadera camisa"
5,NEUF SANS ÉTIQUETTE,55,"UNCASTILLO, ESPAÑA",PULL & BEAR ,M / 38 / 10,2022-03-21 14:25:07.149573,Jersey punto Pull and Bear,12.0,"Está nuevo. Es tipo oversize, muy calentito."
6,NEUF AVEC ÉTIQUETTE,434,"MADRID, ESPAÑA",PULL & BEAR ,XS / 34 / 6,2022-03-27 14:25:07.149576,Jersey cuello vuelto pull and bear NUEVO,6.0,"No lo he usado nunca.
Lo compre y al probarmelo en casa me di cuenta que me queda un poco pequeño y me tira de la sisa, por que tengo mucho pecho. 
Es muy suabe y tiene una textura muy chula."
7,NEUF SANS ÉTIQUETTE,117,"AGUADULCE, ESPAÑA",SEE BY CHLOÉ ,S / 36 / 8,2022-04-04 14:25:07.149597,Jersey See by Chloé. Pull See by Chloé.,60.0,"Jersey See by Chloé talla S/36. Color base blanco con puños y bajos en negro y verde. Usado una vez.

#jersey #jerseymujer #jersey36 #pull #pullfemme #pull36 #jerseyseebychloé #pullseebychloé #seebychloé #seebychloé36"
8,TRÈS BON ÉTAT,261,ESPAÑA,COMPANIA FANTASTICA ,M / 38 / 10,2022-04-04 14:25:07.149600,Jersey Compañía Fantástica M,12.0,"Jersey color burdeos de Compañía Fantástica 
Talla M/L 
Cortito y calentito"
9,BON ÉTAT,188,ESPAÑA,COS ,XS / 34 / 6,2022-04-04 14:25:07.149602,Jersey Algodón COS,8.5,"Rojo, mangas 3/4 
Usado, de ahí el precio 
Cualquier duda, estoy 100% disponible"
10,NEUF AVEC ÉTIQUETTE,192,ESPAÑA,BIMBA Y LOLA ,L / 40 / 12,2022-04-04 14:25:07.149604,Jersey Bimba y Lola L,80.0,"Jersey nuevo a estrenar de Bimba y Lola en talla L 
65% Mohair 
Nuevo con etiquetas"
11,TRÈS BON ÉTAT,87,ESPAÑA,EL GANSO ,S,2022-04-04 14:25:07.149606,Jersey rayas S,27.0,"Jersey en algodón 100% de rayas de El Ganso 
talla S ( talla grande como para una M de mujer )
muy buen estado, sin uso apenas 
Medidas - ver fotos."
12,TRÈS BON ÉTAT,68,ESPAÑA,COS ,M / 38 / 10,2022-04-04 14:25:07.149608,Jersey gris COS,25.0,"Jersey gris talla M de COS 
manga larga cuello en V 
seda y algodón. 
muy buen estado usado dos veces 
medidas ver fotos"
13,TRÈS BON ÉTAT,315,"BARCELONA, ESPAÑA",YVES SAINT LAURENT ,L / 40 / 12,2022-04-04 14:25:07.149611,Pull Yves Saint Laurent Logo Bordee L,80.0,"61 cm largo
56 cm ancho 

 Expédition le jour même 📦 uniquement par DHL, UPS et Mondial Relay
🔥pull unique trés exclusive🔥
Bordeé 🧵
⚡️9/10 en parfait état⚡️
 100% d'origine🏷
Avez-vous besoin de mesures? Me demander!
 

Pull vintage Cotton camisa jersey rare vintage streetwear t sweater chaqueta abrigo cazadora harrington hoodie sudadera camisa"
14,TRÈS BON ÉTAT,26,"LEGANES, ESPAÑA",PULL & BEAR ,M / 38 / 10,2022-03-29 14:25:07.149613,Jersey fino malva Pull&Bear,5.0,"Perfectas condiciones. 
Genial para entretiempo. 
Poco usado. Lo vendo por error en color."
15,TRÈS BON ÉTAT,293,"BARCELONA, ESPAÑA",PULL & BEAR ,L / 40 / 12,2022-03-27 14:25:07.149616,Camisa beige Pull & Bear// Beige shirt Pull & Bear,5.0,"TG L, Beige claro, Pull & Bear, puede vestir bien una M tambien

TG L, Light Beige, Pull & Bear, can suit a M as well"
16,TRÈS BON ÉTAT,430,"PUERTO DE SAGUNTO, ESPAÑA",TOMMY HILFIGER ,S / 36 / 8,2022-04-04 14:25:07.149632,Pull tommy Hilfiger femme,23.0,Pull avec poches
17,TRÈS BON ÉTAT,36,"LA VERRIÈRE, FRANCE",RALPH LAUREN ,S,2022-03-26 14:25:07.149635,Pull Polo Ralph Lauren Vintage,38.0,"Bonjour , 

Je vend un pull Polo Ralph Lauren rouge vintage car il ne me va pas.

taille S

#vintage #ralphlauren #poloralphlauren #streetwear"
18,BON ÉTAT,295,"TUPIN-ET-SEMONS, FRANCE",MAJE ,M / 38 / 10,2022-04-04 14:25:07.149638,Pull MAJE cuir,30.0,"Pull MAJE gris clair chiné et cuir noir sur les manches. Coupe loose. 
Le cuir a légèrement déteint sur un des côtés, le prix en tient compte 😜"
19,TRÈS BON ÉTAT,281,"RUMINGHEM, FRANCE",KILKY ,TAILLE UNIQUE,2022-03-19 14:25:07.149659,Pull blanc,8.0,"pull blanc Kilky en parfaite état 
#kilky #pullfemme #white"
20,TRÈS BON ÉTAT,26,"FARGUES-SAINT-HILAIRE, FRANCE",VINTAGE ,S / 36 / 8,2022-03-26 14:25:07.149662,Pull court vintage,8.0,"Porté quelques fois, style très vintage avec un pantalon boyfriend, manches bouffantes , chaud et doux, en laine."
21,TRÈS BON ÉTAT,115,"LILLE, FRANCE",COMPTOIR DES COTONNIERS ,XS / 34 / 6,2022-04-04 14:25:07.149664,Pull angora Comptoir des cotonniers,35.0,"Pull bordeaux Comptoir des cotonniers.
Modèle Joupy.
50% angora.
Taille XS.

#comptoirdescotonniers"
22,BON ÉTAT,92,FRANCE,KIABI ,4 ANS / 98-104 CM,2022-04-04 14:25:07.149667,Pull garçon,2.0,bon état
23,TRÈS BON ÉTAT,55,"ROMAGNAT, FRANCE",RALPH LAUREN ,S,2022-03-30 14:25:07.149673,Pull Ralph Lauren,75.0,"Pull Ralph Lauren
Condition : très bon état
Taille : S 📏
Marque : Ralph Lauren
Couleur : Noir"
24,TRÈS BON ÉTAT,148,FRANCE,,TAILLE UNIQUE,2022-03-25 14:25:07.149675,Très jolie pull très fin bleu made Italy avec liseré argenté,17.9,Très jolie pull fin bleu avec liseré argenté au col et poignée et bas tout le bas du pull très mode avec écriture en doré juste lavé mais il est trop grand pour maheureusement les mesures sont sur les photos ne fais pas de retour ni de reprise uniquement en mondial relay pas de vente par la poste ni pas usp merci il taille grand pour moi ça dépend de vous morfologie bien regardé les mesures sur les photos la couleur qui ressemble la plus c est la dernière photo
25,TRÈS BON ÉTAT,88,"URRUGNE, FRANCE",LACOSTE ,S,2022-04-02 14:25:07.149678,Pull Lacoste,35.0,très bonne états
26,TRÈS BON ÉTAT,429,FRANCE,FAIT MAIN ,24-36 MOIS / 92-98 CM,2022-04-04 14:25:07.149680,Pull fait main,9.0,très bon etat taille 2 ans
27,TRÈS BON ÉTAT,21,"MONTBRISON, FRANCE",RALPH LAUREN ,S / 36 / 8,2022-03-29 14:25:07.149683,Pull Ralph Lauren,30.0,"- Marque : Ralph Lauren
-Type de vêtements : Pull
- Taille : S
- Etat : Très bon état
-Couleurs : Gris
Pour toute autre informations ou photos supplémentaires n'hésitez pas a me contacter

Réductions pour les abonnés !"
28,TRÈS BON ÉTAT,49,"MARLY, FRANCE",ZADIG & VOLTAIRE ,S / 36 / 8,2022-03-27 14:25:07.149686,Pull Zadig,85.0,Pul à manches courtes arrivant au coude.Zadig et Voltaire. Taille S. manches raglans.Longueur dos 61cm. Largeur sous les aisselles 50cm. Très bon état. convient très en pour un 38. Zadig taille grand. Sera sotie du pressing
29,TRÈS BON ÉTAT,50,"MARLY, FRANCE",ZADIG & VOLTAIRE ,S / 36 / 8,2022-03-27 14:25:07.149688,Pull Zadig,85.0,Pul à manches courtes arrivant au coude.Zadig et Voltaire. Taille S. manches raglans.Longueur dos 61cm. Largeur sous les aisselles 50cm. Très bon état. convient très en pour un 38. Zadig taille grand. Sera sotie du pressing
30,TRÈS BON ÉTAT,17,"NANTEUIL-LÈS-MEAUX, FRANCE",PRIMARK ,9-12 MOIS / 74-80 CM,2022-03-13 14:25:07.149691,Pull le livre de la jungle,3.0,Très bon état. Taille 9-12 mois.
31,NEUF SANS ÉTIQUETTE,34,"PARIS, FRANCE",AMI ,L / 40 / 12,2022-04-04 09:25:07.149694,Pull à col rouler Ami,165.0,pull à col rouler Ami original acheter le mois dernier
32,NEUF AVEC ÉTIQUETTE,25,"LOISON-SOUS-LENS, FRANCE",ITALY MODA ,TAILLE UNIQUE,2022-03-27 14:25:07.149697,Pull tendance,17.0,Très beau pull rouge avec du noir un peux de brillant peut convenir du 40 à un 44
33,NEUF AVEC ÉTIQUETTE,2,"NANTES, FRANCE",SANTA CRUZ ,M,2022-04-04 13:46:07.149701,Pull Santa Cruz speed Wheels,60.0,"Salut 
Je met en vente ce pull Santa Cruz 
totalement neuf avec étiquette 
si vous avez des questions, n’hésitez pas !"
