,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF SANS ÉTIQUETTE,16,"LE PONTET, FRANCE",PLEIN SPORT ,45,2022-04-04 01:23:58.480363,Baskets Philipp Plein Sport Homme,60.0,Véritables Baskets / Sneakers Philipp Plein Homme de taille 45 jamais porté
1,BON ÉTAT,9,FRANCE,KAPPA ,32,2022-04-04 13:23:58.480464,Baskets Kappa pointure 32,6.0,"Paire de baskets Kappa pointure 32
N hesitez pas a regarder mon profil j ai beaucoup de choses à vendre , voici le lien
https://www.vinted.fr/member/51588376-stephanie16400"
2,NEUF AVEC ÉTIQUETTE,169,"TROYES, FRANCE",BALENCIAGA ,37,2022-04-04 12:23:58.480469,Balenciaga Baskets femme blanches ,248.0,"Chaussures neuves. 
Aucune éraflure, aucune abrasion. 
La qualité est garantie. 
Besoin de commander rapidement "
3,NEUF AVEC ÉTIQUETTE,19,FRANCE,BALENCIAGA ,40,2022-04-04 15:23:58.480472,Balenciaga papa chaussures homme baskets ,285.0,"Belles chaussures neuves pour hommes. 
Aucune éraflure, aucune abrasion. 
Le prix est très beau, voulait commander "
4,TRÈS BON ÉTAT,35,"CAEN, FRANCE",ADIDAS ,40,2022-04-04 12:23:58.480474,Baskets Adidas,30.0,"Porté qu'une fois, taille 40
Payé 70€"
5,BON ÉTAT,15,"SAINT-PAUL-TROIS-CHÂTEAUX, FRANCE",HEELYS ,40,2022-04-04 01:23:58.480477,Baskets A Roulettes One Wil,18.0,"Elles ont été porté quelques fois.
Elles ont quelques signes d’usure visuelle au niveau du clapet de la roue.
Elles sont en bon état et entièrement fonctionnel.
Elle taille correctement. Et elles ont une jolie couleur dorée.
Le mécanisme pour faire sortir les roues sont très facile à utiliser.
Elles sont vendus encore dans la boîte d’origine."
6,NEUF SANS ÉTIQUETTE,27,"CHAMBÉRY, FRANCE",NIKE ,39,2022-04-04 12:23:58.480480,Baskets Nike air max,25.0,"Bonjour je vend cette Paire Nike air max porté que 1 seul fois , livraison rapide. Taille 39 pour plus d'informations contactez moi."
7,TRÈS BON ÉTAT,1051,BELGIQUE / BELGIË,NIKE ,35.5,2022-04-04 15:23:58.480482,"Baskets Nike Air Zoom - Taille 35,5",85.0,"Baskets Nike Air Zoom 
Taille 35,5 
Très bon état 
Prix d’achat : 189,99 euros"
8,TRÈS BON ÉTAT,363,"LIMOGES, FRANCE",NIKE ,37,2022-03-28 15:23:58.480485,Nike blanche et rose/rouge,110.0,"Nike rouge/rose et blanche 
Taille 37 
Portée 1/2 fois"
9,BON ÉTAT,14,"LIMOGES, FRANCE",PUMA ,37,2022-03-28 15:23:58.480487,Puma suede plateforme,30.0,"Puma Suède à Plateforme 
Taille 37"
10,BON ÉTAT,35,"LIMOGES, FRANCE",ADIDAS ,36.5,2022-03-28 15:23:58.480490,Stan Smith blanche et noir,30.0,"Stan Smith noir en velour et blanche 
Taille 36 2/3
Bon état"
11,BON ÉTAT,16,"LIMOGES, FRANCE",NIKE ,38,2022-04-04 10:23:58.480493,Nike zoom,50.0,"Nike zoom
taille 38"
12,TRÈS BON ÉTAT,19,"LIMOGES, FRANCE",NIKE ,38,2022-04-04 10:23:58.480495,Nike pegasus,80.0,"Nike pegasus noir 
Taille 38"
13,NEUF AVEC ÉTIQUETTE,148,"SAINT-LÉGER, BELGIQUE / BELGIË",GEOX ,35,2022-04-04 15:23:58.480498,Geox KILWI - Baskets bleu marine jeans,49.0,"Neuves, jamais portées, idéal rentrée scolaire"
14,TRÈS BON ÉTAT,16,"CHUZELLES, FRANCE",BONS BAISERS DE PANAME ,37,2022-04-04 10:23:58.480500,Baskets Bons Baisers de Paname T37,50.0,"En très bon état, couleur navy , très peu portées 
Taille 37"
15,NEUF AVEC ÉTIQUETTE,13,FRANCE,ADIDAS ,44,2022-04-04 15:23:58.480503,Baskets Adidas,59.0,"Baskets tout neufs, jamais porté, 
Envoie rapide et soigné"
16,NEUF AVEC ÉTIQUETTE,38,FRANCE,NIKE ,38,2022-04-04 11:23:58.480505,Baskets Nike,85.0,"Neuf avec étiquette 
Taille 38 
Dans sa boîte d’origine 
Homme/Femme

Baskets #nike"
17,TRÈS BON ÉTAT,3,FRANCE,KIDS BY GÉMO ,27,2022-04-04 14:57:58.480508,Baskets tissu pointure 27,6.0,"Baskets rose en tissu pointure 27, tache rose sur le bout des chaussures voir photos 
N hesitez pas a regarder mon profil j ai beaucoup de choses à vendre , voici le lien
https://www.vinted.fr/member/51588376-stephanie16400"
18,TRÈS BON ÉTAT,27,"BOULOGNE-BILLANCOURT, FRANCE",MARC BY MARC JACOBS ,41,2022-03-30 15:23:58.480511,"Baskets 'Marc by Marc Jacobs"" bleues marines et blanches 41",55.0,"Je vends cette paire de basket de la marque ""Marc by Marc Jabobs"" bleues marines et blanches. Pointure 41.
Elles sont en très bon état. Je les ai portées 4 fois (elles sont malheureusement trop petites pour moi).
Achetées 150 euros en magasin."
