,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,TRÈS BON ÉTAT,11,"BESSAN, FRANCE",MONDAY DENIM ,M / 38 / 10,2022-04-04 15:17:35.984232,Jean femme taille 38 très bon état push up,8.0,"Jean femme taille 38 très bon état Push up
Long total 97 cm entre jambe 77 cm bas des jambes 13 cm largeur taille a plat prit d un coter 38 cm avec elastane"
1,TRÈS BON ÉTAT,23,"BESSAN, FRANCE",SALSA ,S / 36 / 8,2022-04-04 15:17:35.984333,Jean femme salsa life taille 36 Très bon état,8.0,Jean femme taille 36 salsa life largeur taille a plat prit d un coter 37 cm avec elastane long total 104 cm entre jambe 86 cm bas de la jambe 14 cm
2,TRÈS BON ÉTAT,280,FRANCE,MANGO ,S / 36 / 8,2022-03-30 15:17:35.984346,Jean mom femme,12.0,"Bonjour,
Article très peu porté et en parfait état. Aucun défaut, aucune couture qui dépasse.
N’hésitez pas à venir m’envoyer un message privé."
3,NEUF SANS ÉTIQUETTE,298,"BARBIZON, FRANCE",LEVI'S ,XXXS / 30 / 2,2022-04-04 15:17:35.984349,Jean Levis 629 bootcut,17.0,"Jean Neuf sans étiquettes, jamais porté"
4,TRÈS BON ÉTAT,44,"BESSAN, FRANCE",ZARA ,M / 38 / 10,2022-04-04 15:17:35.984352,Jean kaki Zara taille 38 très bon état,8.0,"Jean femme kaki Zara taille 38 très bon état
Long total 98 cm et entre jambe 71 cm bas des jambes 12 cm largeur taille a plat prit d un coter 35 cm avec elastane"
5,TRÈS BON ÉTAT,10,"BESSAN, FRANCE",SALSA ,M / 38 / 10,2022-04-04 15:17:35.984354,Jean femme taille 38 salsa life TBE,9.0,"Jean femme taille 38 salsa life très bon état
Larg taille prit à plat d un coter 37 cm long total 106 cm entre jambe 81cm bas des jambes 15 cm largeur haut des cuisses prit à plat d un coter 24 cm avec elastane"
6,BON ÉTAT,5,"BESSAN, FRANCE",BOUTIQUE INDÉPENDANTE ,XS / 34 / 6,2022-04-04 15:17:35.984357,Jean femme taille 34 très bon état,7.0,Jean femme taille 34 très bon état largeur taille prit à plat d un coter 33 cm long total 91 cm entre jambe 71 cm bas des jambes 14 cm
7,TRÈS BON ÉTAT,17,"BESSAN, FRANCE",SALSA ,S / 36 / 8,2022-04-04 15:17:35.984359,Jean femme taille 36 très bon état salsa life,9.0,Jean femme taille 36 très bon état salsa life largeur taille prit à plat d un coter 35 cm avec elastane long total 100 cm ziper en bas coter entre jambe 77 cm bas des jambes 14 cm largeur haut des cuisses prit à plat d un coter 24 cm quasiment Neuf
8,TRÈS BON ÉTAT,48,"SANT SADURNI D'ANOIA, ESPAÑA",H&M ,5XL / 50 / 22,2022-04-04 15:17:35.984361,Vaqueros,20.0,vaqueros de la talla 50
9,BON ÉTAT,53,"SANT SADURNI D'ANOIA, ESPAÑA",HP ,5XL / 50 / 22,2022-04-04 15:17:35.984364,Vaqueros talla grande,15.0,vaqueros talla 50.
10,TRÈS BON ÉTAT,21,"SANT SADURNI D'ANOIA, ESPAÑA",H&M ,XXXL / 46 / 18,2022-04-04 15:17:35.984366,Pantalón vaquero,20.0,pantalón vaquero para verano a rayas
11,TRÈS BON ÉTAT,41,"SANT SADURNI D'ANOIA, ESPAÑA",LEVI'S ,XXL / 44 / 16,2022-03-20 15:17:35.984369,Pantalón levis,55.0,pantalon levi’s 514
12,NEUF SANS ÉTIQUETTE,206,"SANT SADURNI D'ANOIA, ESPAÑA",ZARA ,XL / 42 / 14,2022-04-04 15:17:35.984371,Camisa estilo romántico,25.0,"camisa blanca, estilo vintage."
13,NEUF SANS ÉTIQUETTE,3,"PIERREFITTE-SUR-SEINE, FRANCE",LEVI'S ,M,2022-04-04 15:05:35.984374,Jean Lévis,20.0,jean Lévis neuf jamais porté taille 32/32
14,NEUF SANS ÉTIQUETTE,4,"PIERREFITTE-SUR-SEINE, FRANCE",LEVI'S ,M,2022-04-04 15:11:35.984377,Jean Lévis neuf,20.0,Jean Lévis gris couleur rare neuf
15,NEUF AVEC ÉTIQUETTE,17,"BORDEAUX, FRANCE",MANGO ,XXS / 32 / 4,2022-03-16 15:17:35.984380,Jean neuf,8.0,"jean mango 
neuf avec étiquette 
taille 32"
16,TRÈS BON ÉTAT,37,"MAROMME, FRANCE",LEVI'S ,S / 36 / 8,2022-04-04 13:17:35.984383,Jean Lévis 571 W26,39.0,"jean Lévis 571 slim fit 
W26L32
largeur taille 36cm longueur totale 99cm"
17,TRÈS BON ÉTAT,66,"LE PETIT-QUEVILLY, FRANCE",LEVI'S ,XXXL / 46 / 18,2022-04-04 11:17:35.984386,Jean Levi's 514 tm slim straight bleu taille W36,39.0,"Jean Levi's 514 tm slim straight bleu en très bon état

Taille W36 * L30

Mesures prises à plat 
Taille 46cm
Cheville 23cm
Longueur 101cm

R 2204047"
18,NEUF SANS ÉTIQUETTE,3,"SAINT-RÉMY, FRANCE",X-MAX ,XXXL / 46 / 18,2022-04-04 14:54:35.984389,jean élastique neuf,12.0,"jean avec tissu élastique couleur bleu roi
65 % coton 33 % polyesther 2 % élasthane"
19,NEUF SANS ÉTIQUETTE,135,"SAINT-LÔ, FRANCE",,S / 36 / 8,2022-03-31 15:17:35.984392,Jean large,20.0,taille 34/36 neuf
20,NEUF SANS ÉTIQUETTE,47,"LA RICHE, FRANCE",ZARA ,XS,2022-04-04 15:17:35.984397,Jean skinny,10.0,Jean Jonny Zara taille 34
21,NEUF SANS ÉTIQUETTE,9,"PARIS, FRANCE",& OTHER STORIES ,S / 36 / 8,2022-04-04 14:46:35.984400,Jean Other stories,40.0,"jean Other storie jamais porté 
taille: EUR 25
En parfaite état"
22,TRÈS BON ÉTAT,154,"ESVRES-SUR-INDRE, FRANCE",LEE ,M,2022-04-04 15:17:35.984403,Jean slim Lee,15.0,"Très bon état, W29 L31"
23,TRÈS BON ÉTAT,3,"SAINT-ÉTIENNE, FRANCE",FREEMAN T. PORTER ,XS,2022-04-04 12:17:35.984406,Jean taille basse Freeman t porter,30.0,"taille 24
très bon état
jean slim"
24,TRÈS BON ÉTAT,102,"PIBRAC, FRANCE",KIABI ,XXXL / 46 / 18,2022-04-04 15:17:35.984408,Jean skinny noir,10.0,Trop grand pour moi
25,TRÈS BON ÉTAT,23,"PARIS, FRANCE",TRUE RELIGION ,M,2022-04-04 11:17:35.984411,Jean true religion vintage,90.0,jean true religion bleu foncé vintage convient à une taille M en parfait état peu porté coupe droite
26,TRÈS BON ÉTAT,2,"BESSAN, FRANCE",WALK AND TALK ,XL / 42 / 14,2022-04-04 15:17:35.984413,Jean femme taille 42 très bon état walk tak,9.0,Jean femme taille 42 très bon état quasiment neuf larg taille prit à plat d un coter 42 cm long total 108 cm entrejambe 84 cm bas des jambes 15 cm largeur haut des cuisses prit à plat d un coter 28 cm avez elastane
27,TRÈS BON ÉTAT,102,"ESVRES-SUR-INDRE, FRANCE",LEE ,L / 40 / 12,2022-04-04 15:17:35.984416,Jean Mom Straight bleu LEE,15.0,"Super état, taille haute et carotte en bas, bleu délavé. W30 L31"
28,NEUF SANS ÉTIQUETTE,26,FRANCE,SUPERDRY ,M / 38 / 10,2022-03-31 15:17:35.984418,Jean Superdry,22.0,"Un superbe jean Superdry, malheureusement trop petit pour moi.
Acheté neuf sans étiquette sur vinted, à mon grand regret je le revends (je fais dorénavant davantage du 40 que du 38).
Modele corporal slim. Je ne peux pas prendre de photo avec le jean pour les raisons citées ci-dessus.
Taille 28/32"
29,TRÈS BON ÉTAT,176,"LYON 01, FRANCE",LEVI'S ,XS / 34 / 6,2022-03-27 15:17:35.984421,Jean levi’s,12.0,jean levi’s skinny
30,NEUF SANS ÉTIQUETTE,39,"ABBEVILLE, FRANCE",ÉTÉ ROSE ,5XL / 50 / 22,2022-03-28 15:17:35.984424,Jean foncé,13.0,Jamais porté
31,NEUF SANS ÉTIQUETTE,26,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-04-01 15:17:35.984427,Jean taille haute ceinturé,9.0,"excellent état
taille 38"
32,TRÈS BON ÉTAT,103,"CHARLEVILLE-MÉZIÈRES, FRANCE",PULL & BEAR ,S / 36 / 8,2022-04-01 15:17:35.984429,Jean baggy,7.0,très bon état taille 36
33,NEUF SANS ÉTIQUETTE,13,FRANCE,TRUE RELIGION ,M,2022-04-04 12:17:35.984432,Jean True religion,150.0,"jean true religion 
taille 32"
34,BON ÉTAT,13,BELGIQUE / BELGIË,ZARA ,M,2022-04-04 15:17:35.984435,Jean Zara,10.0,"Jean brut
Marque Zara
Taille 40"
35,TRÈS BON ÉTAT,430,FRANCE,ZARA ,XS / 34 / 6,2022-03-16 15:17:35.984437,Jean noir mom,15.0,"- très peu porté
- acheté environ 30€ 
- taille 32 comme indiqué sur l’étiquette en photo"
36,NEUF SANS ÉTIQUETTE,10,"COURBEVOIE, FRANCE",MANGO ,XS / 34 / 6,2022-03-30 15:17:35.984440,Jean gris mango,20.0,"Jean gris mango taille 34
parfait état jamais porté"
37,NEUF SANS ÉTIQUETTE,188,"NICE, FRANCE",GOLD SK ,XS / 34 / 6,2022-04-04 15:17:35.984442,Jeans Gold SK,12.0,"Jeans gols SK Noir brillant 
Entièrement neuf jamais porté 
Marqué Taille M mais trop petit correspond a une taille XS VOIR XXS 
Matière brillante 
Élégant"
38,TRÈS BON ÉTAT,55,"NICE, FRANCE",KAPORAL ,S / 36 / 8,2022-04-04 15:17:35.984445,Jeans 👖 Skinny Kaporal,22.0,"Jeans 👖 bleu Kaporal 
Skinny 
Taille US 26 
Très peu porté 
A saisir 
Excellent état"
39,TRÈS BON ÉTAT,32,"NICE, FRANCE",BERSHKA ,S,2022-03-10 15:17:35.984448,Jeans Bershka,10.0,"Jeans blanc Bershka
Taille 40 
Excellent état"
40,TRÈS BON ÉTAT,35,"NICE, FRANCE",BERSHKA ,S,2022-03-10 15:17:35.984450,Jeans Bershka,10.0,"Jeans Denim Bershka
Noir / Gris foncé 
Taille 40 Usa 31
Excellent état"
41,TRÈS BON ÉTAT,80,"NICE, FRANCE",KAPORAL ,M,2022-03-10 15:17:35.984453,Jeans Kaporal,14.0,"Jeans kaporal Slim
Noir gris foncé 
Forme Slim
Taille W 33 L 34 
Excellent état"
42,NEUF SANS ÉTIQUETTE,112,"PARIS, FRANCE",BERSHKA ,L / 40 / 12,2022-04-04 15:17:35.984455,Jean berska mon taille haute,10.0,Jean mon bleu claire taille haute etat neuf vraie 40
43,NEUF SANS ÉTIQUETTE,256,"DOUCHY-LES-MINES, FRANCE",LEVI'S ,XXL,2022-04-04 15:17:35.984458,Jean levi’s 502 regular taper bleu t34/32,30.0,jeans levîs 502 regular taper bleu t34/32 correspond à un 44 fr
44,TRÈS BON ÉTAT,96,"PARIS, FRANCE",PEPE JEANS ,L / 40 / 12,2022-04-04 15:17:35.984460,Jean foncé PEPE,30.0,Jean skinny foncé de la marque PEPE
45,NEUF AVEC ÉTIQUETTE,46,"BORDEAUX, FRANCE",MANGO ,XS / 34 / 6,2022-03-16 15:17:35.984463,Jean neuf,8.0,"jean mango neuf
avec étiquette 
taille xs 34"
46,NEUF SANS ÉTIQUETTE,121,"BESSAN, FRANCE",RICA LEWIS ,XXL / 44 / 16,2022-04-01 15:17:35.984465,Jean femme Rica Lewis taille 44 Neuf,9.0,Jean femme taille 44 Neuf sans étiquette jamais porter Rica Lewis largeur taille prit à plat d un coter 44 cm long total 112 cm entre jambe 85 cm larg bas des jambes 21 cm largeur haut des cuisses prit à plat d un coter 33 cm avec un peu d elastane
47,TRÈS BON ÉTAT,88,"EYRAGUES, FRANCE",PEPE JEANS ,S / 36 / 8,2022-04-04 15:17:35.984468,🦉Liquidation 🦉Jean Pepejeans 36 🦅,10.0,"DERNIÈRE BAISSE DE PRIX 
🦉Jean Pepejeans 36 🦅

🎁 toujours 1 cadeau dans vos colis 

🚛 ⚠️Je préfère Mondial Relay ou Chronopost 
moins cher, à côté de chez moi, dépôts le jour même ou le lendemain.
📮la poste : 10kms, dépots le samedi matin.
et je ne peux pas avancer les fdp.

😘Je ne suis pas responsable des retards de vos colis, merci de votre compréhension😘.

💕 Mes vêtements sont NEUFS, quasi neufs, portés 1 ou 2 fois, voire quelques heures ! 
en très bon état, propres, repassés, parfumés. 
Passés au crible avant l'envoi. Si défaut : signalé dans le descriptif.

⛔ Pas d'échange, reprise , remboursement, tout est dit dans le descriptif, il suffit de le lire.
Vous pouvez revendre l'article s'il ne vous va pas comme je le fais lorsque je me trompe.

#kheops12tailles
#kheops12pantalon
#kheops12pepejeans
#pantalon
#jean
#pantalonjean
#pantalon36
#pantalonpepejeans
#pepejeans36
#pepejeans
#vinted
#vintedfrance"
