,brand,prix,Segment de marché,min,max
0,bershka,30.06,entrée de gamme / mass market,20.0,80.0
1,bershka,35.0,entrée de gamme / mass market,20.0,80.0
2,bershka,20.0,entrée de gamme / mass market,20.0,80.0
3,bershka,69.0,entrée de gamme / mass market,20.0,80.0
4,bershka,20.0,entrée de gamme / mass market,20.0,80.0
5,bershka,59.0,entrée de gamme / mass market,20.0,80.0
6,bershka,25.0,entrée de gamme / mass market,20.0,80.0
7,bershka,22.0,entrée de gamme / mass market,20.0,80.0
8,bershka,16.0,entrée de gamme / mass market,20.0,80.0
9,bershka,25.0,entrée de gamme / mass market,20.0,80.0
10,bershka,60.0,entrée de gamme / mass market,20.0,80.0
11,bershka,35.0,entrée de gamme / mass market,20.0,80.0
12,bershka,22.0,entrée de gamme / mass market,20.0,80.0
13,bershka,50.0,entrée de gamme / mass market,20.0,80.0
14,bershka,36.0,entrée de gamme / mass market,20.0,80.0
15,bershka,37.94,entrée de gamme / mass market,20.0,80.0
16,bershka,20.0,entrée de gamme / mass market,20.0,80.0
17,bershka,25.0,entrée de gamme / mass market,20.0,80.0
18,bershka,30.0,entrée de gamme / mass market,20.0,80.0
19,bershka,57.0,entrée de gamme / mass market,20.0,80.0
20,bershka,20.0,entrée de gamme / mass market,20.0,80.0
21,bershka,60.0,entrée de gamme / mass market,20.0,80.0
22,bershka,18.0,entrée de gamme / mass market,20.0,80.0
23,bershka,44.26,entrée de gamme / mass market,20.0,80.0
24,bershka,126.47,entrée de gamme / mass market,20.0,80.0
25,bershka,151.76,entrée de gamme / mass market,20.0,80.0
26,bershka,189.71,entrée de gamme / mass market,20.0,80.0
27,bershka,25.0,entrée de gamme / mass market,20.0,80.0
28,bershka,25.0,entrée de gamme / mass market,20.0,80.0
29,bershka,90.0,entrée de gamme / mass market,20.0,80.0
30,desigual,47.0,entrée de gamme / mass market,90.0,180.0
31,desigual,42.0,entrée de gamme / mass market,90.0,180.0
32,desigual,35.0,entrée de gamme / mass market,90.0,180.0
33,desigual,45.0,entrée de gamme / mass market,90.0,180.0
34,desigual,25.0,entrée de gamme / mass market,90.0,180.0
35,desigual,30.0,entrée de gamme / mass market,90.0,180.0
36,desigual,75.14,entrée de gamme / mass market,90.0,180.0
37,desigual,60.0,entrée de gamme / mass market,90.0,180.0
38,desigual,60.0,entrée de gamme / mass market,90.0,180.0
39,desigual,60.0,entrée de gamme / mass market,90.0,180.0
40,desigual,75.88,entrée de gamme / mass market,90.0,180.0
41,desigual,70.0,entrée de gamme / mass market,90.0,180.0
42,desigual,32.0,entrée de gamme / mass market,90.0,180.0
43,desigual,39.0,entrée de gamme / mass market,90.0,180.0
44,desigual,73.0,entrée de gamme / mass market,90.0,180.0
45,desigual,68.0,entrée de gamme / mass market,90.0,180.0
46,desigual,48.0,entrée de gamme / mass market,90.0,180.0
47,desigual,65.0,entrée de gamme / mass market,90.0,180.0
48,desigual,80.0,entrée de gamme / mass market,90.0,180.0
49,desigual,160.0,entrée de gamme / mass market,90.0,180.0
50,desigual,35.0,entrée de gamme / mass market,90.0,180.0
51,desigual,50.0,entrée de gamme / mass market,90.0,180.0
52,desigual,35.0,entrée de gamme / mass market,90.0,180.0
53,desigual,85.0,entrée de gamme / mass market,90.0,180.0
54,desigual,66.0,entrée de gamme / mass market,90.0,180.0
55,desigual,55.0,entrée de gamme / mass market,90.0,180.0
56,desigual,45.0,entrée de gamme / mass market,90.0,180.0
57,desigual,60.0,entrée de gamme / mass market,90.0,180.0
58,desigual,60.0,entrée de gamme / mass market,90.0,180.0
59,desigual,60.0,entrée de gamme / mass market,90.0,180.0
60,desigual,65.0,entrée de gamme / mass market,90.0,180.0
61,desigual,55.0,entrée de gamme / mass market,90.0,180.0
62,skechers,27.82,entrée de gamme / mass market,60.0,155.0
63,skechers,20.0,entrée de gamme / mass market,60.0,155.0
64,skechers,23.0,entrée de gamme / mass market,60.0,155.0
65,skechers,23.0,entrée de gamme / mass market,60.0,155.0
66,skechers,25.0,entrée de gamme / mass market,60.0,155.0
67,skechers,32.0,entrée de gamme / mass market,60.0,155.0
68,skechers,84.0,entrée de gamme / mass market,60.0,155.0
69,skechers,35.0,entrée de gamme / mass market,60.0,155.0
70,skechers,35.0,entrée de gamme / mass market,60.0,155.0
71,skechers,80.0,entrée de gamme / mass market,60.0,155.0
72,skechers,35.0,entrée de gamme / mass market,60.0,155.0
73,skechers,50.0,entrée de gamme / mass market,60.0,155.0
74,skechers,57.0,entrée de gamme / mass market,60.0,155.0
75,skechers,45.0,entrée de gamme / mass market,60.0,155.0
76,skechers,40.0,entrée de gamme / mass market,60.0,155.0
77,skechers,75.0,entrée de gamme / mass market,60.0,155.0
78,skechers,39.0,entrée de gamme / mass market,60.0,155.0
79,skechers,45.0,entrée de gamme / mass market,60.0,155.0
80,skechers,19.0,entrée de gamme / mass market,60.0,155.0
81,skechers,45.0,entrée de gamme / mass market,60.0,155.0
82,skechers,39.0,entrée de gamme / mass market,60.0,155.0
83,skechers,30.0,entrée de gamme / mass market,60.0,155.0
84,skechers,69.0,entrée de gamme / mass market,60.0,155.0
85,skechers,35.0,entrée de gamme / mass market,60.0,155.0
86,skechers,55.0,entrée de gamme / mass market,60.0,155.0
87,skechers,27.0,entrée de gamme / mass market,60.0,155.0
88,skechers,85.0,entrée de gamme / mass market,60.0,155.0
89,skechers,37.0,entrée de gamme / mass market,60.0,155.0
90,skechers,40.78,entrée de gamme / mass market,60.0,155.0
91,skechers,28.0,entrée de gamme / mass market,60.0,155.0
92,skechers,40.0,entrée de gamme / mass market,60.0,155.0
93,skechers,100.0,entrée de gamme / mass market,60.0,155.0
94,skechers,39.0,entrée de gamme / mass market,60.0,155.0
95,skechers,45.0,entrée de gamme / mass market,60.0,155.0
96,skechers,32.0,entrée de gamme / mass market,60.0,155.0
97,skechers,70.0,entrée de gamme / mass market,60.0,155.0
98,skechers,27.0,entrée de gamme / mass market,60.0,155.0
99,skechers,25.0,entrée de gamme / mass market,60.0,155.0
100,skechers,50.0,entrée de gamme / mass market,60.0,155.0
101,skechers,46.79,entrée de gamme / mass market,60.0,155.0
102,skechers,50.0,entrée de gamme / mass market,60.0,155.0
103,skechers,63.0,entrée de gamme / mass market,60.0,155.0
104,skechers,50.0,entrée de gamme / mass market,60.0,155.0
105,skechers,50.0,entrée de gamme / mass market,60.0,155.0
106,skechers,35.0,entrée de gamme / mass market,60.0,155.0
107,skechers,42.0,entrée de gamme / mass market,60.0,155.0
108,skechers,50.0,entrée de gamme / mass market,60.0,155.0
109,skechers,45.0,entrée de gamme / mass market,60.0,155.0
110,skechers,40.0,entrée de gamme / mass market,60.0,155.0
111,skechers,45.0,entrée de gamme / mass market,60.0,155.0
112,skechers,29.0,entrée de gamme / mass market,60.0,155.0
113,skechers,50.0,entrée de gamme / mass market,60.0,155.0
114,skechers,30.0,entrée de gamme / mass market,60.0,155.0
115,skechers,50.0,entrée de gamme / mass market,60.0,155.0
116,skechers,27.0,entrée de gamme / mass market,60.0,155.0
117,skechers,19.0,entrée de gamme / mass market,60.0,155.0
118,skechers,50.59,entrée de gamme / mass market,60.0,155.0
119,skechers,38.0,entrée de gamme / mass market,60.0,155.0
120,skechers,50.0,entrée de gamme / mass market,60.0,155.0
121,skechers,40.0,entrée de gamme / mass market,60.0,155.0
122,skechers,35.0,entrée de gamme / mass market,60.0,155.0
123,skechers,60.0,entrée de gamme / mass market,60.0,155.0
124,skechers,90.0,entrée de gamme / mass market,60.0,155.0
125,skechers,30.0,entrée de gamme / mass market,60.0,155.0
126,skechers,35.0,entrée de gamme / mass market,60.0,155.0
127,skechers,70.0,entrée de gamme / mass market,60.0,155.0
128,skechers,56.0,entrée de gamme / mass market,60.0,155.0
129,skechers,50.0,entrée de gamme / mass market,60.0,155.0
130,skechers,70.0,entrée de gamme / mass market,60.0,155.0
131,skechers,26.0,entrée de gamme / mass market,60.0,155.0
132,skechers,95.0,entrée de gamme / mass market,60.0,155.0
133,skechers,42.0,entrée de gamme / mass market,60.0,155.0
134,skechers,35.0,entrée de gamme / mass market,60.0,155.0
135,skechers,50.0,entrée de gamme / mass market,60.0,155.0
136,skechers,55.0,entrée de gamme / mass market,60.0,155.0
137,skechers,56.91,entrée de gamme / mass market,60.0,155.0
