,brand,prix,Segment de marché,min,max
0,nasty gal,67.03,ultra fast fashion / discount,29,68
1,nasty gal,164.41,ultra fast fashion / discount,29,68
2,nasty gal,164.41,ultra fast fashion / discount,29,68
3,nasty gal,90.0,ultra fast fashion / discount,29,68
4,nasty gal,44.26,ultra fast fashion / discount,29,68
5,nasty gal,60.0,ultra fast fashion / discount,29,68
6,nasty gal,135.25,ultra fast fashion / discount,29,68
7,nasty gal,75.14,ultra fast fashion / discount,29,68
8,nasty gal,215.4,ultra fast fashion / discount,29,68
9,nasty gal,126.01,ultra fast fashion / discount,29,68
10,nasty gal,50.09,ultra fast fashion / discount,29,68
11,nasty gal,105.81,ultra fast fashion / discount,29,68
12,nasty gal,55.0,ultra fast fashion / discount,29,68
13,nasty gal,35.0,ultra fast fashion / discount,29,68
14,nasty gal,37.0,ultra fast fashion / discount,29,68
15,nasty gal,35.07,ultra fast fashion / discount,29,68
16,pinko,101.99,milieu de gamme,295,445
17,pinko,55.0,milieu de gamme,295,445
18,pinko,50.0,milieu de gamme,295,445
19,pinko,50.0,milieu de gamme,295,445
20,pinko,94.85,milieu de gamme,295,445
21,pinko,60.0,milieu de gamme,295,445
22,pinko,61.0,milieu de gamme,295,445
23,pinko,77.0,milieu de gamme,295,445
24,pinko,125.0,milieu de gamme,295,445
25,pinko,460.0,milieu de gamme,295,445
26,pinko,161.88,milieu de gamme,295,445
27,pinko,186.0,milieu de gamme,295,445
28,pinko,60.0,milieu de gamme,295,445
29,pinko,100.0,milieu de gamme,295,445
30,pinko,48.0,milieu de gamme,295,445
31,pinko,100.0,milieu de gamme,295,445
32,pinko,100.0,milieu de gamme,295,445
33,pinko,149.0,milieu de gamme,295,445
34,pinko,570.0,milieu de gamme,295,445
35,pinko,65.0,milieu de gamme,295,445
36,pinko,115.0,milieu de gamme,295,445
37,pinko,165.0,milieu de gamme,295,445
38,pinko,280.0,milieu de gamme,295,445
39,pinko,175.0,milieu de gamme,295,445
40,pinko,89.0,milieu de gamme,295,445
41,pinko,82.21,milieu de gamme,295,445
42,pinko,100.0,milieu de gamme,295,445
43,pinko,60.0,milieu de gamme,295,445
44,pinko,150.0,milieu de gamme,295,445
45,pinko,149.0,milieu de gamme,295,445
46,pinko,1000.0,milieu de gamme,295,445
47,pinko,49.0,milieu de gamme,295,445
48,pinko,227.65,milieu de gamme,295,445
49,pinko,50.0,milieu de gamme,295,445
50,pinko,65.0,milieu de gamme,295,445
51,pinko,45.0,milieu de gamme,295,445
52,pinko,50.0,milieu de gamme,295,445
53,pinko,245.0,milieu de gamme,295,445
54,pinko,110.0,milieu de gamme,295,445
