,brand,prix,Segment de marché,min,max
0,nasty gal,30.0,ultra fast fashion / discount,16.8,59.5
1,pull & bear,25.0,entrée de gamme / mass market,15.0,46.0
2,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
3,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
4,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
5,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
6,pull & bear,20.04,entrée de gamme / mass market,15.0,46.0
7,pull & bear,18.03,entrée de gamme / mass market,15.0,46.0
8,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
9,pull & bear,35.0,entrée de gamme / mass market,15.0,46.0
10,pull & bear,17.0,entrée de gamme / mass market,15.0,46.0
11,pull & bear,17.0,entrée de gamme / mass market,15.0,46.0
12,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
13,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
14,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
15,pull & bear,25.0,entrée de gamme / mass market,15.0,46.0
16,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
17,pull & bear,45.0,entrée de gamme / mass market,15.0,46.0
18,pull & bear,30.0,entrée de gamme / mass market,15.0,46.0
19,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
20,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
21,pull & bear,31.0,entrée de gamme / mass market,15.0,46.0
22,pull & bear,23.0,entrée de gamme / mass market,15.0,46.0
23,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
24,pull & bear,22.0,entrée de gamme / mass market,15.0,46.0
25,pull & bear,20.0,entrée de gamme / mass market,15.0,46.0
26,pull & bear,27.0,entrée de gamme / mass market,15.0,46.0
27,pull & bear,56.1,entrée de gamme / mass market,15.0,46.0
28,pull & bear,23.0,entrée de gamme / mass market,15.0,46.0
29,pull & bear,25.0,entrée de gamme / mass market,15.0,46.0
30,pull & bear,23.0,entrée de gamme / mass market,15.0,46.0
31,pull & bear,17.0,entrée de gamme / mass market,15.0,46.0
32,pull & bear,18.0,entrée de gamme / mass market,15.0,46.0
33,pull & bear,17.0,entrée de gamme / mass market,15.0,46.0
34,pull & bear,20.0,entrée de gamme / mass market,15.0,46.0
35,pull & bear,20.0,entrée de gamme / mass market,15.0,46.0
36,pull & bear,16.0,entrée de gamme / mass market,15.0,46.0
