,brand,prix,Segment de marché,min,max
0,superdry,22.0,entrée de gamme / mass market,18.0,64.99
1,superdry,29.0,entrée de gamme / mass market,18.0,64.99
2,superdry,40.0,entrée de gamme / mass market,18.0,64.99
3,superdry,28.0,entrée de gamme / mass market,18.0,64.99
4,superdry,27.0,entrée de gamme / mass market,18.0,64.99
5,superdry,40.0,entrée de gamme / mass market,18.0,64.99
6,superdry,30.0,entrée de gamme / mass market,18.0,64.99
7,superdry,22.0,entrée de gamme / mass market,18.0,64.99
8,superdry,32.0,entrée de gamme / mass market,18.0,64.99
9,superdry,30.0,entrée de gamme / mass market,18.0,64.99
10,superdry,28.0,entrée de gamme / mass market,18.0,64.99
11,superdry,24.0,entrée de gamme / mass market,18.0,64.99
12,superdry,75.0,entrée de gamme / mass market,18.0,64.99
13,superdry,28.0,entrée de gamme / mass market,18.0,64.99
14,superdry,28.0,entrée de gamme / mass market,18.0,64.99
15,superdry,38.0,entrée de gamme / mass market,18.0,64.99
16,superdry,48.06,entrée de gamme / mass market,18.0,64.99
17,superdry,36.0,entrée de gamme / mass market,18.0,64.99
18,superdry,30.0,entrée de gamme / mass market,18.0,64.99
19,superdry,25.29,entrée de gamme / mass market,18.0,64.99
20,superdry,25.0,entrée de gamme / mass market,18.0,64.99
21,superdry,25.0,entrée de gamme / mass market,18.0,64.99
22,superdry,30.0,entrée de gamme / mass market,18.0,64.99
23,superdry,30.0,entrée de gamme / mass market,18.0,64.99
24,superdry,29.0,entrée de gamme / mass market,18.0,64.99
25,superdry,30.0,entrée de gamme / mass market,18.0,64.99
26,superdry,70.0,entrée de gamme / mass market,18.0,64.99
27,superdry,30.0,entrée de gamme / mass market,18.0,64.99
28,superdry,30.0,entrée de gamme / mass market,18.0,64.99
29,superdry,35.0,entrée de gamme / mass market,18.0,64.99
30,superdry,30.0,entrée de gamme / mass market,18.0,64.99
31,superdry,29.09,entrée de gamme / mass market,18.0,64.99
32,superdry,29.09,entrée de gamme / mass market,18.0,64.99
33,superdry,27.0,entrée de gamme / mass market,18.0,64.99
34,superdry,45.0,entrée de gamme / mass market,18.0,64.99
35,superdry,40.0,entrée de gamme / mass market,18.0,64.99
36,superdry,35.0,entrée de gamme / mass market,18.0,64.99
37,superdry,35.0,entrée de gamme / mass market,18.0,64.99
38,superdry,30.0,entrée de gamme / mass market,18.0,64.99
39,superdry,50.0,entrée de gamme / mass market,18.0,64.99
40,superdry,30.0,entrée de gamme / mass market,18.0,64.99
41,superdry,28.0,entrée de gamme / mass market,18.0,64.99
42,superdry,28.0,entrée de gamme / mass market,18.0,64.99
43,superdry,23.0,entrée de gamme / mass market,18.0,64.99
44,superdry,35.0,entrée de gamme / mass market,18.0,64.99
45,superdry,35.0,entrée de gamme / mass market,18.0,64.99
46,superdry,35.0,entrée de gamme / mass market,18.0,64.99
47,superdry,35.0,entrée de gamme / mass market,18.0,64.99
48,superdry,35.0,entrée de gamme / mass market,18.0,64.99
49,superdry,35.0,entrée de gamme / mass market,18.0,64.99
50,superdry,35.0,entrée de gamme / mass market,18.0,64.99
51,superdry,35.0,entrée de gamme / mass market,18.0,64.99
52,superdry,35.0,entrée de gamme / mass market,18.0,64.99
53,superdry,35.0,entrée de gamme / mass market,18.0,64.99
54,superdry,25.0,entrée de gamme / mass market,18.0,64.99
55,superdry,22.0,entrée de gamme / mass market,18.0,64.99
56,superdry,25.0,entrée de gamme / mass market,18.0,64.99
57,superdry,25.0,entrée de gamme / mass market,18.0,64.99
58,superdry,25.0,entrée de gamme / mass market,18.0,64.99
59,superdry,35.0,entrée de gamme / mass market,18.0,64.99
60,superdry,25.0,entrée de gamme / mass market,18.0,64.99
61,superdry,45.0,entrée de gamme / mass market,18.0,64.99
62,superdry,35.41,entrée de gamme / mass market,18.0,64.99
63,superdry,27.0,entrée de gamme / mass market,18.0,64.99
64,superdry,20.0,entrée de gamme / mass market,18.0,64.99
65,superdry,25.0,entrée de gamme / mass market,18.0,64.99
66,superdry,25.0,entrée de gamme / mass market,18.0,64.99
67,superdry,30.0,entrée de gamme / mass market,18.0,64.99
68,superdry,35.0,entrée de gamme / mass market,18.0,64.99
69,superdry,51.05,entrée de gamme / mass market,18.0,64.99
70,superdry,25.05,entrée de gamme / mass market,18.0,64.99
71,hollister,20.0,entrée de gamme / mass market,9.0,29.0
72,hollister,25.0,entrée de gamme / mass market,9.0,29.0
73,hollister,20.23,entrée de gamme / mass market,9.0,29.0
74,hollister,17.0,entrée de gamme / mass market,9.0,29.0
75,hollister,20.0,entrée de gamme / mass market,9.0,29.0
