,brand,incidence
0,& Other Stories,11
1,AALTO,0
2,ACNE,403
3,Reebok,1023
4,Adidas,6699
5,AF VANDEVORST,0
6,AGANOVICH,0
7,AGNES B,4
8,Aigle,7
9,AKRIS,0
10,Alain Figaret,0
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,1541
13,ALTUZZARA,0
14,American Vintage,0
15,AMI,0
16,André,4
17,ANDREW GN,0
18,ANN DEMEULEMEESTER,40
19,Antonelle,0
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,0
24,Armand Thiery,0
25,Armor Lux,0
26,Arthur,1
27,Asos,19
28,ATLEIN,0
29,Aubade,0
30,Autour Du Monde,0
31,AZZARO,2
32,Ba&Sh,8
33,Babou,0
34,La Bagagerie,0
35,Balenciaga,2629
36,Balibaris,1
37,BALMAIN,248
38,Banana Moon,0
39,BARBARA BUI,34
40,Bayard,0
41,Belair,0
42,Benetton,1
43,Bérénice,5
44,BERLUTI,50
45,Bershka,30
46,Besson,1
47,Best Mountain,0
48,Bizzbee,0
49,Blackstore,0
50,Blanc du Nil,0
51,Bleu Cerise,0
52,Blue Box,0
53,Bocage,2
54,Bonobo,0
55,Bonpoint,3
56,Boohoo,0
57,BORIS BIDJAN SABERI,1
58,Bottega Veneta,407
59,Bréal ,0
60,Brice,0
61,Brunello Cucinelli,201
62,Bruno St Hilaire,0
63,Burberry,680
64,Burton Of London,0
65,C&A,0
66,Cache Cache,1
67,Café Coton,0
68,Atelier Coton,0
69,Calvin Klein,252
70,Calzedonia,0
71,Camaïeu,0
72,Carhartt,4
73,Caroll,1
74,CARVEN,18
75,Catimini,0
76,CCV,0
77,Celine,852
78,Celio,1
79,CERRUTI 1881,0
80,Chanel,1610
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,0
85,Chevignon,3
86,Chloé,415
87,CHRISTIAN DIOR,21
88,Dior homme,510
89,Dior,942
90,Christine Laure,0
91,Claudie Pierlot,38
92,La Compagnie des Petits,0
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,9
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,112
99,Coq Sportif,0
100,COS,0
101,Cosmoparis,0
102,Cotélac - Acoté,0
103,Courir,0
104,COURREGES,0
105,Cyrillus,0
106,Dalery,0
107,Damart,0
108,Darjeeling,0
109,DDP,0
110,Decathlon,0
111,Decimas,0
112,Derhy,0
113,Des Petits Hauts,0
114,Desigual,32
115,Devernois,0
116,Devianne,0
117,Devred,0
118,Diesel,239
119,Dim,0
120,Eres,0
121,Distri Center,0
122,Doré Doré 1819,0
123,DRIES VAN NOTEN,49
124,Du Pareil au Même,0
125,DUNHILL,14
126,Eden Park,1
127,Ekyog,0
128,ELIE SAAB,1
129,ELLERY,2
130,EMANUEL UNGARO,0
131,Éminence ,0
132,Athena,0
133,Distribem,0
134,Endurance Shop,0
135,Éram,4
136,Giorgio Armani,81
137,Eric Bompard,0
138,Escada,23
139,Espace Foot,0
140,Esprit,9
141,Etam,0
142,Etam Lingerie,0
143,ETUDES,0
144,Façonnable,3
145,Father And Sons,0
146,Fée Maraboutée,0
147,La Fée Maraboutée,1
148,Fiesta Révolution,0
149,Finsbury,0
150,Foot Locker,0
151,Formul,0
152,FRANCESCO SMALTO,0
153,Free Lance,13
154,Furla,30
155,Fusalp,0
156,Gant,36
157,Gap,0
158,Gémo,0
159,Geox,178
160,Gerard Darel,7
161,GIAMBATTISTA VALLI,2
162,Gucci,4798
163,Givenchy,935
164,Go Sport,0
165,Grain De Malice,0
166,GRES,0
167,G-Star Raw,8
168,J.M. Weston,0
169,Guess,351
170,GUY LAROCHE,1
171,H&M,21
172,HAIDER ACKERMANN,2
173,Halle,0
174,La Halle,0
175,HENRIK VIBSKOV,0
176,Hermès,741
177,Heyraud,0
178,Hollister,0
179,Hugo Boss,124
180,Hunkemöller,0
181,I.Code,0
182,Ikks,0
183,Indies,0
184,Intersport,0
185,Intimissimi,0
186,Iro,46
187,Isabel Marant,1139
188,ISSEY MIYAKE,9
189,Izac,0
190,Jimmy Choo,1199
191,Jacadi,0
192,Jack & Jones,8
193,JACQUEMUS,4
194,Janine Robin,0
195,Jd - Size?,0
196,JEAN-CLAUDE JITROIS,0
197,Jennyfer,0
198,Joseph,3
199,JOHN GALLIANO,63
200,JOHN RIBBE,0
201,Jonak,4
202,Loro Piana,70
203,Jott,3
204,Jules,0
205,JUNKO SHIMADA,0
206,JUUN.J,0
207,Kaporal,3
208,Karl Marc John,2
209,Kenzo,395
210,Khaan,0
211,Kiabi,0
212,Kiwi,0
213,KOCHE,0
214,Kookai,0
215,Lacoste,313
216,Eider,0
217,Millet,0
218,Lafuma,0
219,Lancel,0
220,LANVIN,820
221,Laurence Tavernier,0
222,Le Bourget,0
223,LEMAIRE,9
224,Leonard,0
225,Levi's,0
226,Levis,0
227,Levi's Store,0
228,Ligne'S,0
229,Liu Jo,0
230,Livy,0
231,Loavies,0
232,Loding,0
233,LOEWE,104
234,Lolë,0
235,Lollipops,1
236,Longchamp,36
237,Louboutin,0
238,Louis Vuitton,2963
239,LPB Woman,0
240,LUCIEN PELLAT-FINET,2
241,LUTZ POLUX,0
242,Mado et les Autres,0
243,Maison 123,0
244,Maison Lejaby,0
245,MAISON MARGIELA,893
246,MAISON RABIH KAYROUZ,0
247,Maje,104
248,Majestic Filatures,0
249,Manfield - Fairmount,0
250,Mango,0
251,MANISH ARORA THREE CLOTHING,0
252,Marina Rinaldi - Persona,0
253,MARINE SERRE,0
254,Massimo Dutti,55
255,Max Mara,129
256,Mellow Yellow,13
257,Mephisto Shop,0
258,Michael Kors,717
259,MIHARAYASUHIRO,0
260,Minelli,15
261,Mise au Green,0
262,Missguided,0
263,Mistigriff,0
264,Miu Miu,748
265,Morgan,1
266,Ms Mode,0
267,MUGLER,0
268,Naf Naf,1
269,Napapijri,24
270,Nasty Gal,0
271,New Look,0
272,New Yorker,1
273,Newco (Ex Styleco),0
274,Nice Things,0
275,Converse,3496
276,Nike,13776
277,NINA RICCI,0
278,Novmod (Ex Defi-Mode),0
279,OAMC,16
280,Odlo,0
281,OFFICINE GENERALE,1
282,Okaïdi,0
283,Oliver Grant,0
284,Ollygan,0
285,One Step,1
286,Orcanta,0
287,Orchestra,0
288,Oxbow,0
289,Oysho,2
290,Pablo,2
291,PACO RABANNE,4
292,Pain de sucre,0
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,2
295,Passionata,0
296,PATOU,0
297,Paul Smith,146
298,PAULE KA,4
299,Pepe Jeans,65
300,Petit Bateau,0
301,Petites (Les),0
302,Les Petites,1
303,Phildar,0
304,PIERRE CARDIN,5
305,Pimkie,0
306,Pinko,232
307,Point Mariage,0
308,Moncler,364
309,Prada,3140
310,PrettyLittleThing,0
311,Primark,0
312,Princesse Tam.Tam,0
313,Promise,0
314,Promod,1
315,Pronuptia Paris,0
316,Pull & Bear,22
317,Pullin,0
318,Punt Roma,0
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,34
321,Polo Ralph Lauren,228
322,Repetto,30
323,RICK OWENS,151
324,Riu Paris,0
325,ROCHAS,2
326,Rougegorge,0
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,12
330,Saint James,1
331,Saint Laurent,1672
332,Salamander,2
333,Salvatore Ferragamo,276
334,San Marina,8
335,Sandro,233
336,Scotch & Soda,12
337,Scottage,0
338,Serge Blanco,0
339,Sergent Major,0
340,Sézane - Octobre,0
341,Shein,0
342,SHIATZY CHEN,0
343,Simone Pérèle,0
344,Skechers,125
345,Slip français,0
346,Le Slip français,0
347,Soeur,0
348,Sonia Rykiel,21
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,675
352,Stokomani,0
353,Stradivarius,14
354,Sud Express,0
355,Superdry,10
356,Sym,0
357,Tally Weijl,0
358,Tamaris,16
359,Tanneur (Le),0
360,Le Tanneur,0
361,TAPE A L'OEIL,0
362,Tara Jarmon,3
363,Tati,0
364,Tbs,0
365,Le Temps Des Cerises,7
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,5
369,The Kooples,90
370,THOM BROWNE,31
371,Tod's France,0
372,Tommy Hilfiger,328
373,Toscane,0
374,Triumph,0
375,TSUMORI CHISATO,3
376,Un Jour Ailleurs,0
377,UNDERCOVER,19
378,Undiz,0
379,Uniqlo,0
380,Valège,0
381,VALENTIN YUDASHKIN,0
382,VALENTINO,2911
383,Vans,1725
384,VERONIQUE LEROY,0
385,Vert Baudet,0
386,VICTORIA TOMAS,0
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,1
390,VIVIENNE WESTWOOD,27
391,Weill,1
392,Wolford,0
393,WOOYOUNGMI,2
394,X And O,0
395,Y/PROJECT,0
396,YANG LI,0
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,83
399,Ysé,0
400,YVES SAINT LAURENT,98
401,Z,17
402,Zadig & Voltaire,142
403,Zapa,0
404,Zara,211
405,Zeeman,0
