,brand,incidence
0,& Other Stories,81
1,AALTO,4
2,ACNE,1607
3,Reebok,6
4,Adidas,10
5,AF VANDEVORST,0
6,AGANOVICH,0
7,AGNES B,15
8,Aigle,0
9,AKRIS,0
10,Alain Figaret,0
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,134
13,ALTUZZARA,0
14,American Vintage,59
15,AMI,37
16,André,0
17,ANDREW GN,0
18,ANN DEMEULEMEESTER,0
19,Antonelle,0
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,0
24,Armand Thiery,1
25,Armor Lux,0
26,Arthur,0
27,Asos,57
28,ATLEIN,0
29,Aubade,0
30,Autour Du Monde,0
31,AZZARO,1
32,Ba&Sh,101
33,Babou,0
34,La Bagagerie,0
35,Balenciaga,402
36,Balibaris,4
37,BALMAIN,616
38,Banana Moon,0
39,BARBARA BUI,50
40,Bayard,0
41,Belair,0
42,Benetton,7
43,Bérénice,14
44,BERLUTI,7
45,Bershka,174
46,Besson,0
47,Best Mountain,1
48,Bizzbee,0
49,Blackstore,0
50,Blanc du Nil,0
51,Bleu Cerise,0
52,Blue Box,0
53,Bocage,0
54,Bonobo,8
55,Bonpoint,1
56,Boohoo,0
57,BORIS BIDJAN SABERI,2
58,Bottega Veneta,76
59,Bréal ,0
60,Brice,0
61,Brunello Cucinelli,116
62,Bruno St Hilaire,0
63,Burberry,448
64,Burton Of London,0
65,C&A,0
66,Cache Cache,0
67,Café Coton,0
68,Atelier Coton,0
69,Calvin Klein,332
70,Calzedonia,26
71,Camaïeu,4
72,Carhartt,89
73,Caroll,7
74,CARVEN,5
75,Catimini,0
76,CCV,0
77,Celine,149
78,Celio,5
79,CERRUTI 1881,0
80,Chanel,218
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,0
85,Chevignon,10
86,Chloé,139
87,CHRISTIAN DIOR,2
88,Dior homme,221
89,Dior,221
90,Christine Laure,1
91,Claudie Pierlot,93
92,La Compagnie des Petits,0
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,114
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,0
99,Coq Sportif,0
100,COS,81
101,Cosmoparis,0
102,Cotélac - Acoté,0
103,Courir,0
104,COURREGES,2
105,Cyrillus,4
106,Dalery,0
107,Damart,0
108,Darjeeling,0
109,DDP,0
110,Decathlon,0
111,Decimas,0
112,Derhy,0
113,Des Petits Hauts,16
114,Desigual,67
115,Devernois,0
116,Devianne,0
117,Devred,2
118,Diesel,2243
119,Dim,0
120,Eres,0
121,Distri Center,0
122,Doré Doré 1819,0
123,DRIES VAN NOTEN,41
124,Du Pareil au Même,0
125,DUNHILL,0
126,Eden Park,0
127,Ekyog,2
128,ELIE SAAB,1
129,ELLERY,8
130,EMANUEL UNGARO,8
131,Éminence ,0
132,Athena,0
133,Distribem,0
134,Endurance Shop,0
135,Éram,0
136,Giorgio Armani,55
137,Eric Bompard,0
138,Escada,124
139,Espace Foot,0
140,Esprit,41
141,Etam,0
142,Etam Lingerie,0
143,ETUDES,7
144,Façonnable,9
145,Father And Sons,0
146,Fée Maraboutée,0
147,La Fée Maraboutée,0
148,Fiesta Révolution,0
149,Finsbury,0
150,Foot Locker,0
151,Formul,0
152,FRANCESCO SMALTO,0
153,Free Lance,0
154,Furla,0
155,Fusalp,0
156,Gant,20
157,Gap,78
158,Gémo,0
159,Geox,4
160,Gerard Darel,39
161,GIAMBATTISTA VALLI,4
162,Gucci,680
163,Givenchy,153
164,Go Sport,0
165,Grain De Malice,0
166,GRES,0
167,G-Star Raw,222
168,J.M. Weston,0
169,Guess,697
170,GUY LAROCHE,0
171,H&M,164
172,HAIDER ACKERMANN,1
173,Halle,0
174,La Halle,0
175,HENRIK VIBSKOV,0
176,Hermès,24
177,Heyraud,0
178,Hollister,122
179,Hugo Boss,133
180,Hunkemöller,0
181,I.Code,0
182,Ikks,56
183,Indies,0
184,Intersport,0
185,Intimissimi,1
186,Iro,255
187,Isabel Marant,381
188,ISSEY MIYAKE,12
189,Izac,0
190,Jimmy Choo,3
191,Jacadi,1
192,Jack & Jones,45
193,JACQUEMUS,22
194,Janine Robin,0
195,Jd - Size?,0
196,JEAN-CLAUDE JITROIS,0
197,Jennyfer,13
198,Joseph,46
199,JOHN GALLIANO,61
200,JOHN RIBBE,0
201,Jonak,0
202,Loro Piana,38
203,Jott,0
204,Jules,11
205,JUNKO SHIMADA,0
206,JUUN.J,0
207,Kaporal,29
208,Karl Marc John,4
209,Kenzo,118
210,Khaan,0
211,Kiabi,0
212,Kiwi,0
213,KOCHE,2
214,Kookai,12
215,Lacoste,35
216,Eider,0
217,Millet,0
218,Lafuma,0
219,Lancel,0
220,LANVIN,35
221,Laurence Tavernier,0
222,Le Bourget,0
223,LEMAIRE,15
224,Leonard,1
225,Levi's,5435
226,Levis,0
227,Levi's Store,0
228,Ligne'S,0
229,Liu Jo,0
230,Livy,0
231,Loavies,0
232,Loding,0
233,LOEWE,63
234,Lolë,0
235,Lollipops,0
236,Longchamp,0
237,Louboutin,0
238,Louis Vuitton,200
239,LPB Woman,0
240,LUCIEN PELLAT-FINET,3
241,LUTZ POLUX,0
242,Mado et les Autres,0
243,Maison 123,3
244,Maison Lejaby,0
245,MAISON MARGIELA,203
246,MAISON RABIH KAYROUZ,1
247,Maje,284
248,Majestic Filatures,0
249,Manfield - Fairmount,0
250,Mango,220
251,MANISH ARORA THREE CLOTHING,0
252,Marina Rinaldi - Persona,0
253,MARINE SERRE,4
254,Massimo Dutti,178
255,Max Mara,98
256,Mellow Yellow,0
257,Mephisto Shop,0
258,Michael Kors,116
259,MIHARAYASUHIRO,0
260,Minelli,0
261,Mise au Green,1
262,Missguided,0
263,Mistigriff,0
264,Miu Miu,76
265,Morgan,10
266,Ms Mode,0
267,MUGLER,17
268,Naf Naf,10
269,Napapijri,14
270,Nasty Gal,1
271,New Look,0
272,New Yorker,1
273,Newco (Ex Styleco),0
274,Nice Things,1
275,Converse,1
276,Nike,7
277,NINA RICCI,7
278,Novmod (Ex Defi-Mode),0
279,OAMC,1
280,Odlo,0
281,OFFICINE GENERALE,11
282,Okaïdi,0
283,Oliver Grant,0
284,Ollygan,0
285,One Step,5
286,Orcanta,0
287,Orchestra,0
288,Oxbow,1
289,Oysho,0
290,Pablo,5
291,PACO RABANNE,10
292,Pain de sucre,0
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,0
295,Passionata,0
296,PATOU,2
297,Paul Smith,83
298,PAULE KA,2
299,Pepe Jeans,164
300,Petit Bateau,0
301,Petites (Les),0
302,Les Petites,11
303,Phildar,0
304,PIERRE CARDIN,24
305,Pimkie,16
306,Pinko,352
307,Point Mariage,0
308,Moncler,17
309,Prada,464
310,PrettyLittleThing,0
311,Primark,0
312,Princesse Tam.Tam,0
313,Promise,0
314,Promod,7
315,Pronuptia Paris,0
316,Pull & Bear,132
317,Pullin,0
318,Punt Roma,0
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,248
321,Polo Ralph Lauren,292
322,Repetto,0
323,RICK OWENS,41
324,Riu Paris,0
325,ROCHAS,0
326,Rougegorge,0
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,5
330,Saint James,2
331,Saint Laurent,944
332,Salamander,0
333,Salvatore Ferragamo,8
334,San Marina,0
335,Sandro,370
336,Scotch & Soda,105
337,Scottage,0
338,Serge Blanco,1
339,Sergent Major,0
340,Sézane - Octobre,0
341,Shein,0
342,SHIATZY CHEN,0
343,Simone Pérèle,0
344,Skechers,0
345,Slip français,0
346,Le Slip français,0
347,Soeur,10
348,Sonia Rykiel,31
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,494
352,Stokomani,0
353,Stradivarius,80
354,Sud Express,7
355,Superdry,26
356,Sym,0
357,Tally Weijl,45
358,Tamaris,0
359,Tanneur (Le),0
360,Le Tanneur,0
361,TAPE A L'OEIL,0
362,Tara Jarmon,9
363,Tati,0
364,Tbs,0
365,Le Temps Des Cerises,48
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,0
369,The Kooples,276
370,THOM BROWNE,3
371,Tod's France,0
372,Tommy Hilfiger,501
373,Toscane,0
374,Triumph,0
375,TSUMORI CHISATO,12
376,Un Jour Ailleurs,2
377,UNDERCOVER,29
378,Undiz,0
379,Uniqlo,61
380,Valège,0
381,VALENTIN YUDASHKIN,0
382,VALENTINO,278
383,Vans,8
384,VERONIQUE LEROY,0
385,Vert Baudet,0
386,VICTORIA TOMAS,0
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,1
390,VIVIENNE WESTWOOD,59
391,Weill,0
392,Wolford,0
393,WOOYOUNGMI,0
394,X And O,0
395,Y/PROJECT,24
396,YANG LI,0
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,8
399,Ysé,0
400,YVES SAINT LAURENT,107
401,Z,30
402,Zadig & Voltaire,223
403,Zapa,21
404,Zara,1472
405,Zeeman,0
