,brand,incidence
0,& Other Stories,38
1,AALTO,1
2,ACNE,310
3,Reebok,51
4,Adidas,626
5,AF VANDEVORST,2
6,AGANOVICH,1
7,AGNES B,28
8,Aigle,0
9,AKRIS,4
10,Alain Figaret,0
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,219
13,ALTUZZARA,0
14,American Vintage,131
15,AMI,34
16,André,0
17,ANDREW GN,21
18,ANN DEMEULEMEESTER,24
19,Antonelle,2
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,4
24,Armand Thiery,4
25,Armor Lux,4
26,Arthur,2
27,Asos,23
28,ATLEIN,5
29,Aubade,4
30,Autour Du Monde,0
31,AZZARO,1
32,Ba&Sh,27
33,Babou,0
34,La Bagagerie,0
35,Balenciaga,349
36,Balibaris,1
37,BALMAIN,300
38,Banana Moon,1
39,BARBARA BUI,26
40,Bayard,0
41,Belair,0
42,Benetton,6
43,Bérénice,12
44,BERLUTI,3
45,Bershka,50
46,Besson,0
47,Best Mountain,7
48,Bizzbee,0
49,Blackstore,0
50,Blanc du Nil,0
51,Bleu Cerise,0
52,Blue Box,1
53,Bocage,0
54,Bonobo,1
55,Bonpoint,4
56,Boohoo,0
57,BORIS BIDJAN SABERI,3
58,Bottega Veneta,82
59,Bréal ,12
60,Brice,0
61,Brunello Cucinelli,131
62,Bruno St Hilaire,0
63,Burberry,640
64,Burton Of London,0
65,C&A,0
66,Cache Cache,3
67,Café Coton,0
68,Atelier Coton,0
69,Calvin Klein,175
70,Calzedonia,8
71,Camaïeu,12
72,Carhartt,37
73,Caroll,23
74,CARVEN,44
75,Catimini,0
76,CCV,0
77,Celine,211
78,Celio,2
79,CERRUTI 1881,0
80,Chanel,145
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,0
85,Chevignon,2
86,Chloé,65
87,CHRISTIAN DIOR,21
88,Dior homme,116
89,Dior,252
90,Christine Laure,7
