,brand,incidence
0,& Other Stories,7
1,AALTO,10
2,ACNE,40
3,Reebok,2
4,Adidas,31
5,AF VANDEVORST,4
6,AGANOVICH,3
7,AGNES B,5
8,Aigle,0
9,AKRIS,8
10,Alain Figaret,0
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,32
13,ALTUZZARA,0
14,American Vintage,4
15,AMI,1
16,André,0
17,ANDREW GN,2
18,ANN DEMEULEMEESTER,7
19,Antonelle,4
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,0
24,Armand Thiery,2
25,Armor Lux,5
26,Arthur,1
27,Asos,6
28,ATLEIN,0
29,Aubade,1
30,Autour Du Monde,0
31,AZZARO,1
32,Ba&Sh,3
33,Babou,0
34,La Bagagerie,0
35,Balenciaga,28
36,Balibaris,7
37,BALMAIN,44
38,Banana Moon,1
39,BARBARA BUI,13
40,Bayard,0
41,Belair,0
42,Benetton,2
43,Bérénice,43
44,BERLUTI,3
45,Bershka,276
46,Besson,0
47,Best Mountain,7
48,Bizzbee,0
49,Blackstore,0
50,Blanc du Nil,0
51,Bleu Cerise,0
52,Blue Box,0
53,Bocage,0
54,Bonobo,7
55,Bonpoint,29
56,Boohoo,0
57,BORIS BIDJAN SABERI,0
58,Bottega Veneta,16
59,Bréal ,5
60,Brice,0
61,Brunello Cucinelli,34
62,Bruno St Hilaire,0
63,Burberry,168
64,Burton Of London,0
65,C&A,0
66,Cache Cache,0
67,Café Coton,0
68,Atelier Coton,0
69,Calvin Klein,22
70,Calzedonia,0
71,Camaïeu,16
72,Carhartt,3
73,Caroll,3
74,CARVEN,8
75,Catimini,0
76,CCV,0
77,Celine,37
78,Celio,2
79,CERRUTI 1881,0
80,Chanel,301
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,0
85,Chevignon,4
86,Chloé,15
87,CHRISTIAN DIOR,4
88,Dior homme,22
89,Dior,80
90,Christine Laure,6
91,Claudie Pierlot,8
92,La Compagnie des Petits,0
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,12
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,18
99,Coq Sportif,0
100,COS,0
101,Cosmoparis,0
102,Cotélac - Acoté,0
103,Courir,0
104,COURREGES,10
105,Cyrillus,3
106,Dalery,0
107,Damart,0
108,Darjeeling,1
109,DDP,0
110,Decathlon,0
111,Decimas,0
112,Derhy,13
113,Des Petits Hauts,33
114,Desigual,1
115,Devernois,1
116,Devianne,0
117,Devred,3
118,Diesel,9
119,Dim,0
120,Eres,0
121,Distri Center,0
122,Doré Doré 1819,0
123,DRIES VAN NOTEN,23
124,Du Pareil au Même,0
125,DUNHILL,6
126,Eden Park,1
127,Ekyog,3
128,ELIE SAAB,4
129,ELLERY,13
130,EMANUEL UNGARO,19
131,Éminence ,0
132,Athena,3
133,Distribem,0
134,Endurance Shop,0
135,Éram,0
136,Giorgio Armani,87
137,Eric Bompard,13
138,Escada,110
139,Espace Foot,0
140,Esprit,7
141,Etam,0
142,Etam Lingerie,0
143,ETUDES,18
144,Façonnable,3
145,Father And Sons,0
146,Fée Maraboutée,0
147,La Fée Maraboutée,30
148,Fiesta Révolution,0
149,Finsbury,0
150,Foot Locker,0
151,Formul,0
152,FRANCESCO SMALTO,20
153,Free Lance,0
154,Furla,0
155,Fusalp,32
156,Gant,0
157,Gap,0
158,Gémo,0
159,Geox,0
160,Gerard Darel,18
161,GIAMBATTISTA VALLI,4
162,Gucci,162
163,Givenchy,63
164,Go Sport,0
165,Grain De Malice,0
166,GRES,1
167,G-Star Raw,3
168,J.M. Weston,0
169,Guess,5
170,GUY LAROCHE,15
171,H&M,18
172,HAIDER ACKERMANN,6
173,Halle,0
174,La Halle,0
175,HENRIK VIBSKOV,13
176,Hermès,25
177,Heyraud,0
178,Hollister,88
179,Hugo Boss,80
180,Hunkemöller,2
181,I.Code,0
182,Ikks,0
183,Indies,0
184,Intersport,0
185,Intimissimi,17
186,Iro,13
187,Isabel Marant,12
188,ISSEY MIYAKE,6
189,Izac,0
190,Jimmy Choo,1
191,Jacadi,0
192,Jack & Jones,2
193,JACQUEMUS,5
194,Janine Robin,0
195,Jd - Size?,0
196,JEAN-CLAUDE JITROIS,0
197,Jennyfer,27
198,Joseph,34
199,JOHN GALLIANO,10
200,JOHN RIBBE,0
201,Jonak,0
202,Loro Piana,28
203,Jott,0
204,Jules,0
205,JUNKO SHIMADA,10
206,JUUN.J,0
207,Kaporal,29
208,Karl Marc John,19
209,Kenzo,46
210,Khaan,0
211,Kiabi,0
212,Kiwi,0
213,KOCHE,0
214,Kookai,3
215,Lacoste,5
216,Eider,14
217,Millet,0
218,Lafuma,0
219,Lancel,6
220,LANVIN,43
221,Laurence Tavernier,1
222,Le Bourget,0
223,LEMAIRE,2
224,Leonard,5
225,Levi's,0
226,Levis,0
227,Levi's Store,0
228,Ligne'S,0
229,Liu Jo,0
230,Livy,0
231,Loavies,1
232,Loding,0
233,LOEWE,8
234,Lolë,0
235,Lollipops,0
236,Longchamp,1
237,Louboutin,0
238,Louis Vuitton,32
239,LPB Woman,0
240,LUCIEN PELLAT-FINET,20
241,LUTZ POLUX,0
242,Mado et les Autres,0
243,Maison 123,89
244,Maison Lejaby,0
245,MAISON MARGIELA,17
246,MAISON RABIH KAYROUZ,1
247,Maje,18
248,Majestic Filatures,55
249,Manfield - Fairmount,0
250,Mango,29
251,MANISH ARORA THREE CLOTHING,0
252,Marina Rinaldi - Persona,0
253,MARINE SERRE,3
254,Massimo Dutti,28
255,Max Mara,153
256,Mellow Yellow,1
257,Mephisto Shop,0
258,Michael Kors,13
259,MIHARAYASUHIRO,0
260,Minelli,2
261,Mise au Green,4
262,Missguided,0
263,Mistigriff,0
264,Miu Miu,18
265,Morgan,3
266,Ms Mode,2
267,MUGLER,19
268,Naf Naf,5
269,Napapijri,7
270,Nasty Gal,16
271,New Look,0
272,New Yorker,7
273,Newco (Ex Styleco),0
274,Nice Things,12
275,Converse,38
276,Nike,37
277,NINA RICCI,15
278,Novmod (Ex Defi-Mode),0
279,OAMC,32
280,Odlo,0
281,OFFICINE GENERALE,1
282,Okaïdi,0
283,Oliver Grant,0
284,Ollygan,0
285,One Step,1
286,Orcanta,0
287,Orchestra,0
288,Oxbow,3
289,Oysho,1
290,Pablo,0
291,PACO RABANNE,3
292,Pain de sucre,0
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,1
295,Passionata,0
296,PATOU,0
297,Paul Smith,49
298,PAULE KA,8
299,Pepe Jeans,166
300,Petit Bateau,14
301,Petites (Les),0
302,Les Petites,77
303,Phildar,0
304,PIERRE CARDIN,20
305,Pimkie,46
306,Pinko,40
307,Point Mariage,0
308,Moncler,53
309,Prada,107
310,PrettyLittleThing,0
311,Primark,0
312,Princesse Tam.Tam,0
313,Promise,0
314,Promod,66
315,Pronuptia Paris,0
316,Pull & Bear,1
317,Pullin,0
318,Punt Roma,0
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,22
