,brand,prix,Segment de marché,min,max
0,isabel marant,94.95,luxe & création,720.0,890.0
1,isabel marant,35.00,luxe & création,720.0,890.0
2,isabel marant,60.00,luxe & création,720.0,890.0
3,isabel marant,50.00,luxe & création,720.0,890.0
4,isabel marant,45.00,luxe & création,720.0,890.0
5,isabel marant,140.00,luxe & création,720.0,890.0
6,isabel marant,45.00,luxe & création,720.0,890.0
7,isabel marant,60.00,luxe & création,720.0,890.0
8,isabel marant,95.00,luxe & création,720.0,890.0
9,isabel marant,20.00,luxe & création,720.0,890.0
10,isabel marant,60.00,luxe & création,720.0,890.0
11,isabel marant,29.00,luxe & création,720.0,890.0
12,isabel marant,59.00,luxe & création,720.0,890.0
13,isabel marant,70.00,luxe & création,720.0,890.0
14,isabel marant,30.00,luxe & création,720.0,890.0
15,isabel marant,80.00,luxe & création,720.0,890.0
16,isabel marant,48.00,luxe & création,720.0,890.0
17,isabel marant,45.00,luxe & création,720.0,890.0
18,isabel marant,20.00,luxe & création,720.0,890.0
19,isabel marant,35.00,luxe & création,720.0,890.0
20,isabel marant,19.00,luxe & création,720.0,890.0
21,isabel marant,70.00,luxe & création,720.0,890.0
22,isabel marant,25.00,luxe & création,720.0,890.0
23,isabel marant,17.00,luxe & création,720.0,890.0
24,isabel marant,140.00,luxe & création,720.0,890.0
25,isabel marant,30.00,luxe & création,720.0,890.0
26,isabel marant,45.00,luxe & création,720.0,890.0
27,isabel marant,30.00,luxe & création,720.0,890.0
28,isabel marant,55.00,luxe & création,720.0,890.0
29,isabel marant,25.00,luxe & création,720.0,890.0
30,isabel marant,45.00,luxe & création,720.0,890.0
31,isabel marant,30.00,luxe & création,720.0,890.0
32,isabel marant,25.00,luxe & création,720.0,890.0
33,isabel marant,95.00,luxe & création,720.0,890.0
34,isabel marant,35.00,luxe & création,720.0,890.0
35,isabel marant,140.00,luxe & création,720.0,890.0
36,isabel marant,20.00,luxe & création,720.0,890.0
37,isabel marant,35.00,luxe & création,720.0,890.0
38,isabel marant,20.00,luxe & création,720.0,890.0
39,isabel marant,33.00,luxe & création,720.0,890.0
40,isabel marant,35.00,luxe & création,720.0,890.0
41,isabel marant,50.00,luxe & création,720.0,890.0
42,isabel marant,35.00,luxe & création,720.0,890.0
43,isabel marant,70.00,luxe & création,720.0,890.0
44,isabel marant,58.00,luxe & création,720.0,890.0
45,isabel marant,15.00,luxe & création,720.0,890.0
46,isabel marant,110.00,luxe & création,720.0,890.0
47,isabel marant,30.00,luxe & création,720.0,890.0
48,isabel marant,40.00,luxe & création,720.0,890.0
49,isabel marant,35.00,luxe & création,720.0,890.0
50,isabel marant,30.00,luxe & création,720.0,890.0
51,isabel marant,45.00,luxe & création,720.0,890.0
52,isabel marant,37.00,luxe & création,720.0,890.0
53,isabel marant,40.00,luxe & création,720.0,890.0
54,isabel marant,59.00,luxe & création,720.0,890.0
55,isabel marant,120.00,luxe & création,720.0,890.0
56,isabel marant,45.00,luxe & création,720.0,890.0
57,isabel marant,25.00,luxe & création,720.0,890.0
58,isabel marant,130.00,luxe & création,720.0,890.0
59,isabel marant,30.00,luxe & création,720.0,890.0
60,isabel marant,30.00,luxe & création,720.0,890.0
61,isabel marant,29.00,luxe & création,720.0,890.0
62,isabel marant,40.00,luxe & création,720.0,890.0
63,isabel marant,40.00,luxe & création,720.0,890.0
64,isabel marant,60.00,luxe & création,720.0,890.0
65,isabel marant,25.00,luxe & création,720.0,890.0
66,isabel marant,35.00,luxe & création,720.0,890.0
67,isabel marant,20.00,luxe & création,720.0,890.0
68,isabel marant,40.00,luxe & création,720.0,890.0
69,isabel marant,20.00,luxe & création,720.0,890.0
70,isabel marant,45.00,luxe & création,720.0,890.0
71,isabel marant,40.00,luxe & création,720.0,890.0
72,isabel marant,49.00,luxe & création,720.0,890.0
73,isabel marant,30.00,luxe & création,720.0,890.0
74,isabel marant,70.00,luxe & création,720.0,890.0
75,isabel marant,20.00,luxe & création,720.0,890.0
76,isabel marant,65.00,luxe & création,720.0,890.0
77,isabel marant,60.00,luxe & création,720.0,890.0
78,isabel marant,40.00,luxe & création,720.0,890.0
79,isabel marant,40.00,luxe & création,720.0,890.0
80,isabel marant,75.00,luxe & création,720.0,890.0
81,isabel marant,30.00,luxe & création,720.0,890.0
82,isabel marant,75.00,luxe & création,720.0,890.0
83,isabel marant,130.00,luxe & création,720.0,890.0
84,isabel marant,22.00,luxe & création,720.0,890.0
85,isabel marant,50.00,luxe & création,720.0,890.0
86,isabel marant,50.00,luxe & création,720.0,890.0
87,isabel marant,45.00,luxe & création,720.0,890.0
88,isabel marant,23.00,luxe & création,720.0,890.0
89,isabel marant,120.00,luxe & création,720.0,890.0
90,isabel marant,90.00,luxe & création,720.0,890.0
91,isabel marant,42.00,luxe & création,720.0,890.0
92,isabel marant,32.00,luxe & création,720.0,890.0
93,isabel marant,46.00,luxe & création,720.0,890.0
94,isabel marant,35.00,luxe & création,720.0,890.0
95,isabel marant,135.00,luxe & création,720.0,890.0
96,isabel marant,25.00,luxe & création,720.0,890.0
97,isabel marant,40.00,luxe & création,720.0,890.0
98,isabel marant,34.95,luxe & création,720.0,890.0
99,isabel marant,125.00,luxe & création,720.0,890.0
100,isabel marant,60.00,luxe & création,720.0,890.0
101,isabel marant,45.00,luxe & création,720.0,890.0
102,isabel marant,39.00,luxe & création,720.0,890.0
103,isabel marant,50.00,luxe & création,720.0,890.0
104,isabel marant,149.00,luxe & création,720.0,890.0
105,isabel marant,40.00,luxe & création,720.0,890.0
106,isabel marant,44.00,luxe & création,720.0,890.0
107,isabel marant,60.00,luxe & création,720.0,890.0
108,isabel marant,95.00,luxe & création,720.0,890.0
109,isabel marant,120.00,luxe & création,720.0,890.0
110,isabel marant,30.00,luxe & création,720.0,890.0
111,isabel marant,50.00,luxe & création,720.0,890.0
112,isabel marant,55.00,luxe & création,720.0,890.0
113,isabel marant,42.00,luxe & création,720.0,890.0
114,isabel marant,50.00,luxe & création,720.0,890.0
115,isabel marant,50.00,luxe & création,720.0,890.0
116,isabel marant,39.00,luxe & création,720.0,890.0
117,isabel marant,60.00,luxe & création,720.0,890.0
118,isabel marant,79.00,luxe & création,720.0,890.0
119,isabel marant,65.00,luxe & création,720.0,890.0
120,isabel marant,65.00,luxe & création,720.0,890.0
121,isabel marant,25.00,luxe & création,720.0,890.0
122,isabel marant,120.00,luxe & création,720.0,890.0
123,isabel marant,38.00,luxe & création,720.0,890.0
124,isabel marant,90.00,luxe & création,720.0,890.0
125,isabel marant,50.00,luxe & création,720.0,890.0
126,isabel marant,25.00,luxe & création,720.0,890.0
127,isabel marant,20.00,luxe & création,720.0,890.0
128,isabel marant,65.00,luxe & création,720.0,890.0
129,isabel marant,175.00,luxe & création,720.0,890.0
130,isabel marant,50.00,luxe & création,720.0,890.0
131,isabel marant,49.00,luxe & création,720.0,890.0
132,isabel marant,60.00,luxe & création,720.0,890.0
133,isabel marant,95.00,luxe & création,720.0,890.0
134,isabel marant,50.00,luxe & création,720.0,890.0
135,isabel marant,50.00,luxe & création,720.0,890.0
136,isabel marant,45.00,luxe & création,720.0,890.0
137,isabel marant,85.00,luxe & création,720.0,890.0
138,isabel marant,60.00,luxe & création,720.0,890.0
139,isabel marant,50.00,luxe & création,720.0,890.0
140,isabel marant,90.00,luxe & création,720.0,890.0
141,isabel marant,50.00,luxe & création,720.0,890.0
142,isabel marant,45.00,luxe & création,720.0,890.0
143,isabel marant,90.00,luxe & création,720.0,890.0
144,isabel marant,48.00,luxe & création,720.0,890.0
145,isabel marant,60.00,luxe & création,720.0,890.0
146,isabel marant,60.00,luxe & création,720.0,890.0
147,isabel marant,70.00,luxe & création,720.0,890.0
148,isabel marant,70.00,luxe & création,720.0,890.0
149,isabel marant,95.00,luxe & création,720.0,890.0
150,isabel marant,37.50,luxe & création,720.0,890.0
151,isabel marant,45.00,luxe & création,720.0,890.0
152,isabel marant,55.00,luxe & création,720.0,890.0
153,isabel marant,80.00,luxe & création,720.0,890.0
154,isabel marant,60.00,luxe & création,720.0,890.0
155,isabel marant,110.00,luxe & création,720.0,890.0
156,isabel marant,87.00,luxe & création,720.0,890.0
157,isabel marant,65.00,luxe & création,720.0,890.0
158,isabel marant,130.00,luxe & création,720.0,890.0
159,isabel marant,50.00,luxe & création,720.0,890.0
160,isabel marant,100.00,luxe & création,720.0,890.0
161,isabel marant,25.00,luxe & création,720.0,890.0
162,isabel marant,6.50,luxe & création,720.0,890.0
163,isabel marant,58.00,luxe & création,720.0,890.0
164,isabel marant,50.00,luxe & création,720.0,890.0
165,isabel marant,50.00,luxe & création,720.0,890.0
166,isabel marant,100.00,luxe & création,720.0,890.0
167,isabel marant,50.00,luxe & création,720.0,890.0
168,isabel marant,20.00,luxe & création,720.0,890.0
169,isabel marant,59.00,luxe & création,720.0,890.0
170,isabel marant,65.00,luxe & création,720.0,890.0
171,isabel marant,100.00,luxe & création,720.0,890.0
172,isabel marant,38.00,luxe & création,720.0,890.0
173,isabel marant,59.95,luxe & création,720.0,890.0
174,isabel marant,58.00,luxe & création,720.0,890.0
175,isabel marant,58.00,luxe & création,720.0,890.0
176,isabel marant,50.00,luxe & création,720.0,890.0
177,isabel marant,90.00,luxe & création,720.0,890.0
178,isabel marant,45.00,luxe & création,720.0,890.0
179,isabel marant,50.00,luxe & création,720.0,890.0
180,isabel marant,48.00,luxe & création,720.0,890.0
181,isabel marant,60.00,luxe & création,720.0,890.0
182,isabel marant,50.00,luxe & création,720.0,890.0
183,isabel marant,95.00,luxe & création,720.0,890.0
184,isabel marant,50.00,luxe & création,720.0,890.0
185,isabel marant,50.00,luxe & création,720.0,890.0
186,isabel marant,160.00,luxe & création,720.0,890.0
187,isabel marant,40.00,luxe & création,720.0,890.0
