,brand,prix,Segment de marché,min,max
0,ralph lauren,28.00,premium / luxe abordable,83.0,269.0
1,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
2,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
3,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
4,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
5,ralph lauren,29.00,premium / luxe abordable,83.0,269.0
6,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
7,ralph lauren,45.00,premium / luxe abordable,83.0,269.0
8,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
9,ralph lauren,60.00,premium / luxe abordable,83.0,269.0
10,ralph lauren,40.00,premium / luxe abordable,83.0,269.0
11,ralph lauren,17.00,premium / luxe abordable,83.0,269.0
12,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
13,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
14,ralph lauren,35.00,premium / luxe abordable,83.0,269.0
15,ralph lauren,29.50,premium / luxe abordable,83.0,269.0
16,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
17,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
18,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
19,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
20,ralph lauren,150.00,premium / luxe abordable,83.0,269.0
21,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
22,ralph lauren,45.00,premium / luxe abordable,83.0,269.0
23,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
24,ralph lauren,35.00,premium / luxe abordable,83.0,269.0
25,ralph lauren,75.00,premium / luxe abordable,83.0,269.0
26,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
27,ralph lauren,67.00,premium / luxe abordable,83.0,269.0
28,ralph lauren,65.00,premium / luxe abordable,83.0,269.0
29,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
30,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
31,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
32,ralph lauren,150.00,premium / luxe abordable,83.0,269.0
33,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
34,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
35,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
36,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
37,ralph lauren,18.00,premium / luxe abordable,83.0,269.0
38,ralph lauren,9.00,premium / luxe abordable,83.0,269.0
39,ralph lauren,11.00,premium / luxe abordable,83.0,269.0
40,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
41,ralph lauren,12.00,premium / luxe abordable,83.0,269.0
42,ralph lauren,6.00,premium / luxe abordable,83.0,269.0
43,ralph lauren,29.00,premium / luxe abordable,83.0,269.0
44,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
45,ralph lauren,17.00,premium / luxe abordable,83.0,269.0
46,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
47,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
