,brand,prix,Segment de marché,min,max
0,balmain,100.00,luxe & création,220.0,650.0
1,balmain,10.00,luxe & création,220.0,650.0
2,balmain,90.00,luxe & création,220.0,650.0
3,balmain,25.00,luxe & création,220.0,650.0
4,balmain,40.00,luxe & création,220.0,650.0
5,balmain,150.00,luxe & création,220.0,650.0
6,balmain,38.00,luxe & création,220.0,650.0
7,balmain,110.00,luxe & création,220.0,650.0
8,balmain,70.00,luxe & création,220.0,650.0
9,balmain,140.00,luxe & création,220.0,650.0
10,balmain,120.00,luxe & création,220.0,650.0
11,balmain,109.90,luxe & création,220.0,650.0
12,balmain,60.00,luxe & création,220.0,650.0
13,balmain,140.00,luxe & création,220.0,650.0
14,balmain,50.00,luxe & création,220.0,650.0
15,balmain,30.00,luxe & création,220.0,650.0
16,balmain,145.00,luxe & création,220.0,650.0
17,balmain,50.00,luxe & création,220.0,650.0
18,balmain,34.50,luxe & création,220.0,650.0
19,balmain,50.00,luxe & création,220.0,650.0
20,balmain,39.00,luxe & création,220.0,650.0
21,balmain,40.00,luxe & création,220.0,650.0
22,balmain,28.00,luxe & création,220.0,650.0
23,balmain,50.00,luxe & création,220.0,650.0
24,balmain,35.00,luxe & création,220.0,650.0
25,balmain,50.00,luxe & création,220.0,650.0
26,balmain,35.00,luxe & création,220.0,650.0
27,balmain,20.00,luxe & création,220.0,650.0
28,balmain,40.00,luxe & création,220.0,650.0
29,balmain,40.00,luxe & création,220.0,650.0
30,balmain,90.00,luxe & création,220.0,650.0
31,balmain,70.00,luxe & création,220.0,650.0
32,balmain,8.00,luxe & création,220.0,650.0
33,balmain,70.00,luxe & création,220.0,650.0
34,balmain,25.00,luxe & création,220.0,650.0
35,balmain,80.00,luxe & création,220.0,650.0
36,balmain,30.00,luxe & création,220.0,650.0
37,balmain,50.00,luxe & création,220.0,650.0
38,balmain,30.00,luxe & création,220.0,650.0
39,balmain,75.00,luxe & création,220.0,650.0
40,balmain,30.00,luxe & création,220.0,650.0
41,balmain,25.00,luxe & création,220.0,650.0
42,balmain,45.00,luxe & création,220.0,650.0
43,balmain,90.00,luxe & création,220.0,650.0
44,balmain,15.00,luxe & création,220.0,650.0
45,balmain,50.00,luxe & création,220.0,650.0
46,balmain,15.00,luxe & création,220.0,650.0
47,balmain,50.00,luxe & création,220.0,650.0
48,balmain,65.00,luxe & création,220.0,650.0
49,balmain,45.00,luxe & création,220.0,650.0
50,balmain,45.00,luxe & création,220.0,650.0
51,balmain,40.00,luxe & création,220.0,650.0
52,balmain,45.00,luxe & création,220.0,650.0
53,balmain,50.00,luxe & création,220.0,650.0
54,balmain,8.00,luxe & création,220.0,650.0
55,balmain,60.00,luxe & création,220.0,650.0
56,balmain,65.00,luxe & création,220.0,650.0
57,balmain,45.00,luxe & création,220.0,650.0
58,balmain,70.00,luxe & création,220.0,650.0
59,balmain,45.00,luxe & création,220.0,650.0
60,balmain,5.00,luxe & création,220.0,650.0
61,balmain,60.00,luxe & création,220.0,650.0
62,balmain,40.00,luxe & création,220.0,650.0
63,balmain,110.00,luxe & création,220.0,650.0
64,balmain,20.00,luxe & création,220.0,650.0
65,balmain,50.00,luxe & création,220.0,650.0
66,balmain,60.00,luxe & création,220.0,650.0
67,balmain,55.00,luxe & création,220.0,650.0
68,balmain,81.00,luxe & création,220.0,650.0
69,balmain,6.50,luxe & création,220.0,650.0
70,balmain,25.00,luxe & création,220.0,650.0
71,balmain,75.00,luxe & création,220.0,650.0
72,balmain,45.00,luxe & création,220.0,650.0
73,balmain,20.00,luxe & création,220.0,650.0
74,balmain,60.00,luxe & création,220.0,650.0
75,balmain,20.00,luxe & création,220.0,650.0
76,balmain,60.00,luxe & création,220.0,650.0
77,balmain,85.00,luxe & création,220.0,650.0
78,balmain,40.00,luxe & création,220.0,650.0
79,balmain,50.00,luxe & création,220.0,650.0
80,balmain,70.00,luxe & création,220.0,650.0
81,balmain,130.00,luxe & création,220.0,650.0
82,balmain,100.00,luxe & création,220.0,650.0
83,balmain,8.00,luxe & création,220.0,650.0
84,balmain,115.00,luxe & création,220.0,650.0
85,balmain,150.00,luxe & création,220.0,650.0
86,balmain,35.00,luxe & création,220.0,650.0
87,balmain,49.00,luxe & création,220.0,650.0
88,balmain,110.00,luxe & création,220.0,650.0
89,balmain,60.00,luxe & création,220.0,650.0
