,brand,incidence
0,adidas,11533365
1,ASOS,2717249
2,Atmosphere,1634364
3,Abercrombie & Fitch,986738
4,Amisu,868709
5,Absorba,474986
6,Armand Thiery,414345
7,André,349102
8,Asics,334132
9,American Vintage,267380
10,Alcott,262127
11,Apple,243386
12,AVON,198279
13,Amazon,197874
14,Air Force,186857
15,America Today,180981
16,Alana,177483
17,Airness,169939
18,Anna Field,162435
19,alive,143029
20,American Eagle,142710
21,Accessorize,142001
22,Armani Jeans,128982
23,Adolfo Dominguez,127277
24,ALDO,126837
25,Abendkleid,122333
26,Auchan,119242
27,Argento,118709
28,Angelo Litrico,110521
29,adidas Originals,101805
30,American Apparel,101013
31,Avent,100283
32,AllSaints,98568
33,Argent,95343
34,Alles,93885
35,Aigle,93197
36,Agatha,91121
37,Antony Morato,90333
38,Armani,89358
39,Arena,84632
40,Artigli,80059
41,Aldi,76237
42,Artigianale,75874
43,AX Paris,74208
44,an'ge,72852
45,ASH,70800
46,Asda,68007
47,Artengo,67853
48,Alviero Martini,64821
49,Aéropostale,63692
50,Alvi,63021
51,Autre Ton,61676
52,Accessoires,59643
53,Apricot,58639
54,Action,58107
55,A.P.C.,57945
56,Alexander McQueen,56411
57,Amichi,53506
58,Alphabet,52406
59,Avant Première,50594
60,Apart,46966
61,Autograph,46935
62,Antonelle,46132
63,Afibel,45736
64,ardene,44621
65,Armani Exchange,43854
66,Anne Weyburn,43098
67,Amélie & Amélie,42432
68,Atmosphera,42333
69,Active Wear,41521
70,Alternative,41360
71,adidas Stan Smith,39871
72,Animal Crossing,39170
73,Agnes b,38987
74,Alain Manoukian,38957
75,A Bathing Ape (BAPE),39151
76,Alpinestars,38766
77,Agatha Ruiz de la Prada,37788
78,Ann Summers,37701
79,Arizona,37536
80,Atlas,37375
81,Armor-Lux,37139
82,Art,35780
83,Atlas for Men,35762
84,Asmodee,35138
85,angry birds,34521
86,ARKET,33508
87,Aubert Concept,33153
88,Animal,33125
89,Arthur & Aston,31729
90,Acciaio,31745
91,ARMISTICE,31415
92,Ann Christine,31247
93,Almatrichi,30012
94,AMBIKA,29709
95,Alpha Industries,29160
96,ara,28529
97,Anti Blue,28248
98,Armani Junior,28017
99,attentif,27458
100,Armedangels,26413
101,Altaya,25904
102,Antik Batik,25338
103,About you,24900
104,Aster,24637
105,Alpine PRO,24656
106,Athlitech,24086
107,adopt’,23680
108,Avene,23458
109,AJC,23221
110,Azzaro,23225
111,Active,23082
112,Aubade,22942
113,Acne,22859
114,Akoz,22484
115,Affinités,22187
116,Artesano,22170
117,Agathe Velmont,21574
118,Asterix,21237
119,Akè,20990
120,Alvaro Moreno,20481
121,Auzou,20411
122,A.S.98,20145
123,Anna Karel,19935
124,Artisan,19744
125,Antea,19435
126,Angels,19378
127,Alinea,19309
128,Aspesi,19243
129,Arkitect,19224
130,Atelier,19201
131,Anthropologie,18380
132,Acne Studios,18262
133,Angela Thompson,17942
134,Active Touch,17804
135,ANNA,17790
136,Ann Taylor,17783
137,appel's,17591
138,AMI,17540
139,Ashley Brooke,17469
140,Aubisou,17412
141,Angel,17356
142,Albano,16948
143,ALBA MODA,16269
144,Andy & Lucy,16186
145,Aeronautica Militare,16107
146,Australian,16071
147,Affenzahn,15799
148,american outfitters,15473
149,Arrow,15325
150,Amitié,15323
151,Ale-Hop,15226
152,Arcopal,15045
153,Ana Sousa,15002
154,Antica Sartoria,14981
155,aden + anais,14894
156,Armani Collezioni,14802
157,American Retro,14770
158,Acanthe,14630
159,Avenue,14603
160,Alba,14299
161,Atos Lombardini,14041
162,Alviero Martini 1a Classe,13904
163,APM Monaco,13814
164,Anita,13776
165,Airfield,13752
166,Army,13661
167,Activision,13615
168,Anastasia Beverly Hills,13495
169,Aston Martin,13421
170,adams,13378
171,DC,13150
172,Arthur,13089
173,Authentic Style,13014
174,AnnaRita N,12910
175,Amy Gee,12724
176,Aaiko,12641
177,Alexander Wang,12400
178,Aigner,12264
179,AYBL,12200
180,ANANY,12075
181,Alberta Ferretti,11892
182,Anne Geddes,11891
183,Arc'teryx,11925
184,Atelier Fixdesign,11569
185,anello,11585
186,ada gatti,11536
187,Athena,11437
188,Angelcare,11448
189,Atlas for Women,11385
190,Aniye By,11358
191,Ativo,11339
192,Axara,11157
193,Amy & Ivy,11057
194,Alpina,10917
195,Alpe,10778
196,Action man,10531
197,Alex,10501
198,Anine Bing,10500
199,anapurna,10317
200,Aquarelle,10208
201,Arma,10188
202,Aventures Des Toiles,10196
203,Aeropilote,10097
204,AX,10109
205,APRIORI,9973
206,Anthology,9978
207,Alpha,9944
208,Adagio,9859
209,Anonyme,9842
210,Alma en Pena,9794
211,Apostrophe,9777
212,ABC Design,9705
213,Arsene et les pipelettes,9720
214,Armand Ventilo,9712
215,Age,9670
216,Alesya,9487
217,Agnès Flo,9471
218,Anne Klein,9449
219,A l'Heure Anglaise,9392
220,adriano jacometti,9377
221,ArtDeco,9372
222,Arsenal,9359
223,Avanti,9237
224,Allyson,9222
225,Anekke,9194
226,Acote,9176
227,Aller Simplement,9163
228,ALEXANDER,9058
229,Ariane,8979
230,Adrianna Papell,8978
231,Amazonas,8922
232,Alix,8907
233,add,8891
234,Audi,8859
235,ALTRAMAREA,8780
236,agiva,8720
237,Alba Conde,8670
238,Bershka,9604364
239,Boohoo,1661714
240,Bonobo,1249432
241,Burberry,834851
242,Baby Club,719055
243,Bizzbee,712126
244,Butik,592070
245,Bout'chou,575796
246,Brandy Melville,557487
247,Blanco,386860
248,Barbie,381817
249,Bonprix,371433
250,Burton,250467
251,Billabong,234721
252,ba&sh,219834
253,Bata,218789
254,Brice,218351
255,Bodyflirt,214906
256,Blancheporte,213711
257,Boutique Parisienne,199690
258,Bimba Y Lola,196507
259,BEZ,188631
260,Bréal,176771
261,Bench,164207
262,Boss,157701
263,Buffalo,151089
264,Banana Moon,148379
265,Bijou Brigitte,145693
266,Boîte À Malices,140841
267,Boden,141197
268,Bel&Bo,139803
269,Birkenstock,138543
270,Best Mountain,136733
271,Blue Seven,130834
272,Bebe,127939
273,Bóboli,122523
274,Batman,118970
275,Blu-ray,118576
276,Bensimon,118524
277,BaByliss,116788
278,BÉABA,113916
279,Bonpoint,103206
280,Bel-Air,100501
281,Balenciaga,98818
282,Blukids,97225
283,Blue Motion,92483
284,Brave Soul,92220
285,Bébé Confort,91013
286,Babymoov,90236
287,Berenice,89667
288,Bimba,86075
289,Bambino,85593
290,Bambina,85302
291,Besson,79775
292,Betty Barclay,79819
293,Bellerose,78123
294,bpc bonprix collection,76259
295,Bik Bok,76028
296,BTS,74430
297,Bandai,74227
298,Banana Republic,73945
299,Blind Date,72938
300,Big Star,73092
301,Bob der Bär,72482
302,Brums,72348
303,Billieblush,70550
304,BabyGap,68673
305,Bonita,66988
306,Bocage,66132
307,BCBGMAXAZRIA,65013
308,BELLAMY,63953
309,bellybutton,63902
310,Barbour,63679
311,Bébé Rêve,61973
312,Babybjörn,61121
313,BPC Selection,60429
314,Babyface,57198
315,Brownie,56558
316,Basic,56222
317,Bianco,54908
318,Bilook,54271
319,B.P.C,54100
320,Babybotte,53171
321,Bugatti,52562
322,Brioche,51944
323,Blend,49840
324,Bianca,48188
325,Baby by Gémo,47522
326,Bestway,46344
327,Ben Sherman,45439
328,Balmain,44763
329,Bugaboo,44455
330,Blauer,44344
331,b.young,43516
332,Bhs,43004
333,B'Twin,42276
334,B.Nosy,41353
335,Bikkembergs,41048
336,Bleu bonheur,40922
337,Breil,40531
338,Bornino,39806
339,B&C,39791
340,Brotes,37881
341,BDG,37741
342,BIBA,37699
343,BRAX,37550
344,Bambini,37348
345,bopy,36584
346,Blanc du Nil,36067
347,Blumarine,35820
348,Bonmarché,35770
349,Babolat,34876
350,Basic One,34787
351,Buissonnière,34736
352,Box,33979
353,Broadway,33771
354,Belstaff,33752
355,Berlingot,33282
356,Braun,32691
357,Bronx,32651
358,byblos,32479
359,Blu,32364
360,Baby Girl,32148
361,Barts,31922
362,Bonton,31473
363,Bébé 9,31389
364,Baby Born,31055
365,BOY London,30991
366,Bisgaard,30407
367,bon brix,30240
368,BESS,30065
369,badabulle,29910
370,Bouchara,29327
371,Bering,29087
372,Blutsgeschwister,28692
373,Berti,28268
374,Betty Boop,27792
375,Bobo Choses,27786
376,BnK,27521
377,Blue Ridge,27514
378,beloved,27489
379,Babydream,27087
380,Bakkaboe,26511
381,Bordeaux,26280
382,by o la la...!,26292
383,BMW,26101
384,Barbouillage,25946
385,Blooshop,25904
386,BARBAPAPA,25886
387,Bubble Gum,25863
388,Babylove,25731
389,bama,25547
390,Bandolera,25541
391,Bien Bleu,25357
392,Blue,25194
393,Benefit,25068
394,Bogner,25013
395,Biaggini,24815
396,Brosway,24671
397,BKL Wear,24543
398,Bellissima,24148
399,Björn Borg,24070
400,Bexleys,24041
401,Black,24291
402,Bartek,23912
403,Brugi,23552
404,Bobbi Shoes,23437
405,Brentiny Paris,23357
406,Borbonese,23230
407,Banpresto,23175
408,Bayard,23086
409,Baby Nat,23072
410,Bullboxer,23041
411,Bratz,22995
412,Befado,22944
413,Boomerang,22878
414,Braccialini,22721
415,Biomecanics,21638
416,Boutique Belgique,21548
417,Basler,21223
418,Babibou,21213
419,Baby Tex,20977
420,BRUNOTTI,20779
421,Bisou's Project,20766
422,BabySun,20387
423,Belle Women,20265
424,Bruno Banani,20080
425,Baker,20014
426,Blanche,19870
427,Bally,19758
428,babou,19572
429,BALSAMIK,19385
430,bourjois,19356
431,Best Connections,19330
432,Blog by Gémo,19297
433,Bambino Mio,19260
434,Beckaro,19115
435,Bvlgari,18969
436,Bestelle,18768
437,Boy,18567
438,Bougli Bougla,18357
439,Boux Avenue,18367
440,Bronzini,18270
441,Bright Starts,17748
442,BOXEUR DES RUES,17560
443,babidu,17515
444,Blue Bay,17462
445,Barbara Bui,17330
446,Bumba,17215
447,Bobbies,16858
448,Bruno Premi,16748
449,Babystyling,16691
450,Bella,16664
451,Boots,16746
452,BOBUX,16580
453,Baci&Abbracci,16546
454,BlendShe,16477
455,Bruder,16474
456,BM,16170
457,Bamboo,16010
458,BSK,15975
459,Bburago,15902
460,Babygro,15563
461,Briefing,15553
462,Beats,15331
463,Baby Sweets,15325
464,Baldinini,15238
465,Baby one,15214
466,BLUE BOX,15166
467,Bass 10,15092
468,By Clara,15067
469,Berna,15017
470,Bala Boosté,14933
471,Black Bananas,14796
472,BOSS Hugo Boss,14799
473,Baby Boy,14630
474,Camaïeu,4891451
475,C&A,3787640
476,Cache Cache,3167085
477,Calvin Klein,1612119
478,Converse,1436756
479,Catimini,997281
480,CELIO,906547
481,Creeks,850704
482,Carhartt,737019
483,Comptoir des Cotonniers,706846
484,Cool Club,690198
485,Cyrillus,638709
486,Caroll,634082
487,Clockhouse,594795
488,Champion,526302
489,Chicco,495939
490,Cop Copine,466752
491,Calzedonia,425262
492,CROPP,410493
493,cuir,345796
494,Claudie Pierlot,318973
495,COS,304841
496,CoolCat,253241
497,Clarks,248970
498,Claire's,244803
499,Crivit,238358
500,Coccodrillo,237249
501,Chaussea,234973
