,brand,incidence
0,& Other Stories,158
1,AALTO,0
2,ACNE,204
3,Reebok,3000
4,Adidas,3000
5,AF VANDEVORST,0
6,AGANOVICH,0
7,AGNES B,57
8,Aigle,552
9,AKRIS,0
10,Alain Figaret,0
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,3000
13,ALTUZZARA,0
14,American Vintage,15
15,AMI,198
16,André,3000
17,ANDREW GN,0
18,ANN DEMEULEMEESTER,10
19,Antonelle,1
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,71
24,Armand Thiery,2
25,Armor Lux,10
26,Arthur,1
27,Asos,2808
28,ATLEIN,0
29,Aubade,0
30,Autour Du Monde,0
31,AZZARO,130
32,Ba&Sh,138
33,Babou,38
34,La Bagagerie,0
35,Balenciaga,3000
36,Balibaris,11
37,BALMAIN,343
38,Banana Moon,342
39,BARBARA BUI,170
40,Bayard,0
41,Belair,0
42,Benetton,0
43,Bérénice,80
44,BERLUTI,31
45,Bershka,3000
46,Besson,936
47,Best Mountain,51
48,Bizzbee,79
49,Blackstore,0
50,Blanc du Nil,0
51,Bleu Cerise,0
52,Blue Box,552
53,Bocage,864
54,Bonobo,600
55,Bonpoint,10
56,Boohoo,331
57,BORIS BIDJAN SABERI,0
58,Bottega Veneta,98
59,Bréal ,126
60,Brice,15
61,Brunello Cucinelli,70
62,Bruno St Hilaire,0
63,Burberry,1008
64,Burton Of London,0
65,C&A,208
66,Cache Cache,1152
67,Café Coton,4
68,Atelier Coton,0
69,Calvin Klein,3000
70,Calzedonia,14
71,Camaïeu,1440
72,Carhartt,79
73,Caroll,205
74,CARVEN,84
75,Catimini,13
76,CCV,0
77,Celine,403
78,Celio,744
79,CERRUTI 1881,8
80,Chanel,792
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,3000
85,Chevignon,139
86,Chloé,485
87,CHRISTIAN DIOR,183
88,Dior homme,0
89,Dior,2592
90,Christine Laure,30
91,Claudie Pierlot,912
92,La Compagnie des Petits,0
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,600
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,3000
99,Coq Sportif,0
100,COS,132
101,Cosmoparis,409
102,Cotélac - Acoté,0
103,Courir,148
104,COURREGES,5
105,Cyrillus,55
106,Dalery,4
107,Damart,385
108,Darjeeling,2
109,DDP,41
110,Decathlon,3000
111,Decimas,395
112,Derhy,0
113,Des Petits Hauts,17
114,Desigual,1680
115,Devernois,6
116,Devianne,0
117,Devred,143
118,Diesel,3000
119,Dim,22
120,Eres,2
121,Distri Center,0
122,Doré Doré 1819,0
123,DRIES VAN NOTEN,29
124,Du Pareil au Même,50
125,DUNHILL,14
126,Eden Park,121
127,Ekyog,0
128,ELIE SAAB,1
129,ELLERY,0
130,EMANUEL UNGARO,0
131,Éminence ,0
132,Athena,0
133,Distribem,0
134,Endurance Shop,0
135,Éram,3000
136,Giorgio Armani,2304
137,Eric Bompard,0
138,Escada,31
139,Espace Foot,0
140,Esprit,3000
141,Etam,493
142,Etam Lingerie,0
143,ETUDES,0
144,Façonnable,69
145,Father And Sons,0
146,Fée Maraboutée,0
147,La Fée Maraboutée,128
148,Fiesta Révolution,0
149,Finsbury,20
150,Foot Locker,244
151,Formul,0
152,FRANCESCO SMALTO,0
153,Free Lance,113
154,Furla,64
155,Fusalp,21
156,Gant,720
157,Gap,64
158,Gémo,3000
159,Geox,3000
160,Gerard Darel,182
161,GIAMBATTISTA VALLI,0
162,Gucci,3000
163,Givenchy,1680
164,Go Sport,223
165,Grain De Malice,122
166,GRES,0
167,G-Star Raw,696
168,J.M. Weston,41
169,Guess,3000
170,GUY LAROCHE,1
171,H&M,3000
172,HAIDER ACKERMANN,1
173,Halle,0
174,La Halle,3000
175,HENRIK VIBSKOV,0
176,Hermès,343
177,Heyraud,84
178,Hollister,35
179,Hugo Boss,2472
180,Hunkemöller,2
181,I.Code,18
182,Ikks,1056
183,Indies,1
184,Intersport,230
185,Intimissimi,1
186,Iro,184
187,Isabel Marant,3000
188,ISSEY MIYAKE,4
189,Izac,97
190,Jimmy Choo,1560
191,Jacadi,12
192,Jack & Jones,2472
193,JACQUEMUS,4
