,brand,incidence
0,& Other Stories,435
1,AALTO,6
2,ACNE,81
3,Reebok,9
4,Adidas,226
5,AF VANDEVORST,0
6,AGANOVICH,0
7,AGNES B,600
8,Aigle,29
9,AKRIS,55
10,Alain Figaret,121
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,128
13,ALTUZZARA,0
14,American Vintage,1224
15,AMI,57
16,André,36
17,ANDREW GN,4
18,ANN DEMEULEMEESTER,39
19,Antonelle,1512
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,17
24,Armand Thiery,3000
25,Armor Lux,185
26,Arthur,23
27,Asos,3000
28,ATLEIN,0
29,Aubade,1
30,Autour Du Monde,0
31,AZZARO,552
32,Ba&Sh,1200
33,Babou,28
34,La Bagagerie,1
35,Balenciaga,175
36,Balibaris,74
37,BALMAIN,600
38,Banana Moon,90
39,BARBARA BUI,284
40,Bayard,528
41,Belair,0
42,Benetton,0
43,Bérénice,364
44,BERLUTI,14
45,Bershka,3000
46,Besson,3
47,Best Mountain,1248
48,Bizzbee,1512
49,Blackstore,0
50,Blanc du Nil,10
51,Bleu Cerise,0
52,Blue Box,18
53,Bocage,1
54,Bonobo,3000
55,Bonpoint,73
56,Boohoo,3000
57,BORIS BIDJAN SABERI,5
58,Bottega Veneta,40
59,Bréal ,1008
60,Brice,3000
61,Brunello Cucinelli,139
62,Bruno St Hilaire,0
63,Burberry,3000
64,Burton Of London,105
65,C&A,3000
66,Cache Cache,3000
67,Café Coton,1
68,Atelier Coton,0
69,Calvin Klein,2448
70,Calzedonia,34
71,Camaïeu,3000
72,Carhartt,65
73,Caroll,3000
74,CARVEN,444
75,Catimini,9
76,CCV,0
77,Celine,212
78,Celio,3000
79,CERRUTI 1881,401
80,Chanel,201
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,0
85,Chevignon,427
86,Chloé,177
87,CHRISTIAN DIOR,221
88,Dior homme,0
89,Dior,437
90,Christine Laure,1776
91,Claudie Pierlot,1656
92,La Compagnie des Petits,6
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,3000
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,30
99,Coq Sportif,0
100,COS,720
101,Cosmoparis,2
102,Cotélac - Acoté,0
103,Courir,0
104,COURREGES,104
105,Cyrillus,2184
106,Dalery,0
107,Damart,1200
108,Darjeeling,7
109,DDP,1704
110,Decathlon,81
111,Decimas,2
112,Derhy,277
113,Des Petits Hauts,281
114,Desigual,2616
115,Devernois,984
116,Devianne,88
117,Devred,3000
118,Diesel,1200
119,Dim,17
120,Eres,5
121,Distri Center,0
122,Doré Doré 1819,0
123,DRIES VAN NOTEN,234
124,Du Pareil au Même,26
125,DUNHILL,20
126,Eden Park,840
127,Ekyog,213
128,ELIE SAAB,6
129,ELLERY,1
130,EMANUEL UNGARO,97
131,Éminence ,0
132,Athena,5
133,Distribem,0
134,Endurance Shop,0
135,Éram,21
136,Giorgio Armani,3000
137,Eric Bompard,14
138,Escada,1152
139,Espace Foot,0
140,Esprit,3000
141,Etam,3000
142,Etam Lingerie,0
143,ETUDES,3
144,Façonnable,672
145,Father And Sons,0
146,Fée Maraboutée,0
147,La Fée Maraboutée,1224
148,Fiesta Révolution,0
149,Finsbury,0
150,Foot Locker,1
151,Formul,0
152,FRANCESCO SMALTO,0
153,Free Lance,1
154,Furla,0
155,Fusalp,3
156,Gant,1200
157,Gap,1824
158,Gémo,3000
159,Geox,45
160,Gerard Darel,3000
161,GIAMBATTISTA VALLI,20
162,Gucci,792
163,Givenchy,600
164,Go Sport,3
165,Grain De Malice,3000
166,GRES,0
167,G-Star Raw,403
168,J.M. Weston,0
169,Guess,3000
170,GUY LAROCHE,473
171,H&M,3000
172,HAIDER ACKERMANN,17
173,Halle,0
174,La Halle,2904
175,HENRIK VIBSKOV,1
176,Hermès,0
177,Heyraud,0
178,Hollister,0
179,Hugo Boss,3000
180,Hunkemöller,2
181,I.Code,672
182,Ikks,3000
183,Indies,154
184,Intersport,12
185,Intimissimi,960
186,Iro,475
187,Isabel Marant,936
188,ISSEY MIYAKE,20
189,Izac,1848
190,Jimmy Choo,2
191,Jacadi,19
192,Jack & Jones,1800
193,JACQUEMUS,22
194,Janine Robin,0
195,Jd - Size?,0
196,JEAN-CLAUDE JITROIS,0
197,Jennyfer,3000
198,Joseph,321
199,JOHN GALLIANO,135
200,JOHN RIBBE,0
201,Jonak,0
202,Loro Piana,600
203,Jott,8
204,Jules,3000
205,JUNKO SHIMADA,0
206,JUUN.J,2
207,Kaporal,1656
208,Karl Marc John,390
209,Kenzo,3000
210,Khaan,343
211,Kiabi,3000
212,Kiwi,12
213,KOCHE,1
214,Kookai,3000
215,Lacoste,493
216,Eider,1
