,brand,incidence
0,& Other Stories,2424
1,AALTO,23
2,ACNE,3000
3,Reebok,81
4,Adidas,960
5,AF VANDEVORST,0
6,AGANOVICH,0
7,AGNES B,278
8,Aigle,454
9,AKRIS,0
10,Alain Figaret,3
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,288
13,ALTUZZARA,0
14,American Vintage,2520
15,AMI,203
16,André,11
17,ANDREW GN,0
18,ANN DEMEULEMEESTER,7
19,Antonelle,768
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,11
24,Armand Thiery,3000
25,Armor Lux,576
26,Arthur,4
27,Asos,3000
28,ATLEIN,0
29,Aubade,0
30,Autour Du Monde,0
31,AZZARO,126
32,Ba&Sh,2832
33,Babou,208
34,La Bagagerie,0
35,Balenciaga,472
36,Balibaris,196
37,BALMAIN,1488
38,Banana Moon,227
39,BARBARA BUI,429
40,Bayard,116
41,Belair,0
42,Benetton,0
43,Bérénice,2136
44,BERLUTI,1
45,Bershka,3000
46,Besson,11
47,Best Mountain,3000
48,Bizzbee,3000
49,Blackstore,0
50,Blanc du Nil,7
51,Bleu Cerise,0
52,Blue Box,137
53,Bocage,11
54,Bonobo,3000
55,Bonpoint,131
56,Boohoo,3000
57,BORIS BIDJAN SABERI,4
58,Bottega Veneta,20
59,Bréal ,3000
60,Brice,3000
61,Brunello Cucinelli,106
62,Bruno St Hilaire,0
63,Burberry,3000
64,Burton Of London,158
65,C&A,3000
66,Cache Cache,3000
67,Café Coton,1
68,Atelier Coton,0
69,Calvin Klein,3000
70,Calzedonia,3000
71,Camaïeu,3000
72,Carhartt,3000
73,Caroll,3000
74,CARVEN,94
75,Catimini,103
76,CCV,0
77,Celine,149
78,Celio,3000
79,CERRUTI 1881,281
80,Chanel,56
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,1
85,Chevignon,3000
86,Chloé,431
87,CHRISTIAN DIOR,70
88,Dior homme,0
89,Dior,792
90,Christine Laure,552
91,Claudie Pierlot,3000
92,La Compagnie des Petits,9
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,3000
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,36
99,Coq Sportif,0
100,COS,1704
101,Cosmoparis,7
102,Cotélac - Acoté,0
103,Courir,1
104,COURREGES,7
105,Cyrillus,1224
106,Dalery,1
107,Damart,1968
108,Darjeeling,4
109,DDP,3000
110,Decathlon,178
111,Decimas,3
112,Derhy,61
113,Des Petits Hauts,936
114,Desigual,3000
115,Devernois,118
116,Devianne,64
117,Devred,3000
118,Diesel,3000
119,Dim,186
120,Eres,4
121,Distri Center,0
122,Doré Doré 1819,0
123,DRIES VAN NOTEN,43
124,Du Pareil au Même,152
125,DUNHILL,4
126,Eden Park,1200
127,Ekyog,193
128,ELIE SAAB,1
129,ELLERY,6
130,EMANUEL UNGARO,15
131,Éminence ,1
132,Athena,9
133,Distribem,0
134,Endurance Shop,0
135,Éram,18
136,Giorgio Armani,3000
137,Eric Bompard,3
138,Escada,936
139,Espace Foot,0
140,Esprit,3000
141,Etam,3000
142,Etam Lingerie,0
143,ETUDES,56
144,Façonnable,720
145,Father And Sons,0
146,Fée Maraboutée,0
147,La Fée Maraboutée,816
148,Fiesta Révolution,0
149,Finsbury,0
150,Foot Locker,10
151,Formul,0
152,FRANCESCO SMALTO,0
153,Free Lance,6
154,Furla,2
155,Fusalp,3
156,Gant,2208
157,Gap,3000
158,Gémo,3000
159,Geox,490
160,Gerard Darel,1272
161,GIAMBATTISTA VALLI,16
162,Gucci,1512
163,Givenchy,372
164,Go Sport,18
165,Grain De Malice,3000
