,brand,incidence
0,& Other Stories,2976
1,AALTO,10
2,ACNE,337
3,Reebok,3000
4,Adidas,3000
5,AF VANDEVORST,0
6,AGANOVICH,0
7,AGNES B,768
8,Aigle,1032
9,AKRIS,17
10,Alain Figaret,15
11,ALECA DICE KAYEK,0
12,ALEXANDER MCQUEEN,624
13,ALTUZZARA,0
14,American Vintage,3000
15,AMI,380
16,André,29
17,ANDREW GN,0
18,ANN DEMEULEMEESTER,20
19,Antonelle,2400
20,APC - Vanessa Seward,0
21,Apostrophe - Georges Rech,0
22,Arbell,0
23,Arena,792
24,Armand Thiery,3000
25,Armor Lux,1896
26,Arthur,194
27,Asos,3000
28,ATLEIN,0
29,Aubade,10
30,Autour Du Monde,0
31,AZZARO,205
32,Ba&Sh,1776
33,Babou,552
34,La Bagagerie,2
35,Balenciaga,1800
36,Balibaris,90
37,BALMAIN,2256
38,Banana Moon,2256
39,BARBARA BUI,247
40,Bayard,27
41,Belair,0
42,Benetton,0
43,Bérénice,3000
44,BERLUTI,12
45,Bershka,3000
46,Besson,15
47,Best Mountain,3000
48,Bizzbee,3000
49,Blackstore,0
50,Blanc du Nil,648
51,Bleu Cerise,0
52,Blue Box,293
53,Bocage,4
54,Bonobo,3000
55,Bonpoint,152
56,Boohoo,3000
57,BORIS BIDJAN SABERI,11
58,Bottega Veneta,41
59,Bréal ,3000
60,Brice,3000
61,Brunello Cucinelli,159
62,Bruno St Hilaire,0
63,Burberry,3000
64,Burton Of London,170
65,C&A,3000
66,Cache Cache,3000
67,Café Coton,22
68,Atelier Coton,0
69,Calvin Klein,3000
70,Calzedonia,319
71,Camaïeu,3000
72,Carhartt,3000
73,Caroll,3000
74,CARVEN,355
75,Catimini,150
76,CCV,0
77,Celine,160
78,Celio,3000
79,CERRUTI 1881,236
80,Chanel,72
81,Charl'Ine,0
82,Chausport,0
83,Chauss Expo,0
84,Chausséa,16
85,Chevignon,3000
86,Chloé,378
87,CHRISTIAN DIOR,172
88,Dior homme,0
89,Dior,744
90,Christine Laure,3000
91,Claudie Pierlot,3000
92,La Compagnie des Petits,14
93,Compagnie des Petits,0
94,Comptoir des Cotonniers,3000
95,Comptoir Irlandais,0
96,Le Comptoir Irlandais,0
97,Cop. Copine,0
98,Le Coq Sportif,3000
99,Coq Sportif,0
100,COS,3000
101,Cosmoparis,8
102,Cotélac - Acoté,0
103,Courir,3000
104,COURREGES,59
105,Cyrillus,2760
106,Dalery,0
107,Damart,3000
108,Darjeeling,200
109,DDP,3000
110,Decathlon,3000
111,Decimas,500
112,Derhy,888
113,Des Petits Hauts,2160
114,Desigual,3000
115,Devernois,648
116,Devianne,79
